source_table,event_index,visualization_label,physical_element,source_storage_ip,previous_global_frame,current_global_frame,previous_kstep,previous_kinc,current_kstep,current_kinc,previous_phase_after_u1,current_phase_after_u1,phase_drop,prior_category,diagnostic_category
sdv15_unresolved_event_mapping,52,84141,16437,4,188,189,     2,   126,     2,   128,0.9874309307938318,0.9956171810411205,-0.008186250247288696,insufficient_output_evidence,sdv15_completed_increment_monotone
sdv15_unresolved_event_mapping,53,84677,16973,1,193,194,     2,   133,     2,   135,1.0003717533433552,1.0012111547448097,-0.0008394014014545537,insufficient_output_evidence,sdv15_completed_increment_monotone
sdv15_unresolved_event_mapping,55,84142,16438,3,189,190,     2,   128,     2,   129,0.9863849470241633,0.992107369544035,-0.0057224225198716505,insufficient_output_evidence,sdv15_completed_increment_monotone
sdv15_unresolved_event_mapping,56,84139,16435,3,188,189,     2,   126,     2,   128,0.9955560245302609,0.9978154414410239,-0.0022594169107629236,insufficient_output_evidence,sdv15_completed_increment_monotone
sdv15_unresolved_event_mapping,57,84135,16431,4,183,184,     2,   119,     2,   121,0.9940618259276177,0.9970480710857864,-0.002986245158168699,insufficient_output_evidence,sdv15_completed_increment_monotone
sdv15_unresolved_event_mapping,59,84142,16438,4,189,190,     2,   128,     2,   129,0.9910757182851176,0.9947436872442894,-0.0036679689591717635,insufficient_output_evidence,sdv15_completed_increment_monotone
sdv15_unresolved_event_mapping,60,84136,16432,4,186,187,     2,   123,     2,   125,0.9975231460551449,0.9980786867620168,-0.0005555407068719154,insufficient_output_evidence,sdv15_completed_increment_monotone
sdv15_unresolved_event_mapping,61,84131,16427,4,199,200,     2,   142,     2,   144,1.0023409063268596,1.0022589382687581,8.196805810145591e-05,insufficient_output_evidence,sdv15_completed_increment_possible_violation
sdv15_unresolved_event_mapping,62,84132,16428,3,182,183,     2,   117,     2,   119,0.9963216879057398,0.997579569386313,-0.001257881480573153,insufficient_output_evidence,sdv15_completed_increment_monotone
sdv15_unresolved_event_mapping,63,84130,16426,3,198,199,     2,   140,     2,   142,0.9769020460377755,0.9771059635075988,-0.0002039174698232893,insufficient_output_evidence,sdv15_completed_increment_monotone
sdv15_unresolved_event_mapping,64,84143,16439,4,189,190,     2,   128,     2,   129,0.9815138496365985,0.9890770423344715,-0.007563192697872978,insufficient_output_evidence,sdv15_completed_increment_monotone
sdv15_unresolved_event_mapping,65,84141,16437,3,189,190,     2,   128,     2,   129,0.9935494879342964,0.9960890937630272,-0.0025396058287308065,insufficient_output_evidence,sdv15_completed_increment_monotone
sdv15_unresolved_event_mapping,66,84145,16441,3,191,192,     2,   130,     2,   132,0.9633371858981681,0.9863646231582981,-0.023027437260130013,insufficient_output_evidence,sdv15_completed_increment_monotone
