physical_element,source_storage_ip,previous_kstep,previous_kinc,current_kstep,current_kinc,previous_time2,current_time2,previous_phase_after_u1,current_phase_after_u1,phase_drop,previous_sdv16_history,current_sdv16_history,sdv16_drop
16440,4,2,157,2,158,1.9235294117647026,1.929411764705879,0.9988598095824787,0.998833425049142,2.6384533336698546e-05,201.16105489491835,201.16105489491835,0.0
16440,4,2,158,2,159,1.929411764705879,1.9352941176470555,0.998833425049142,0.9988127731223317,2.065192681022232e-05,201.16105489491835,201.16105489491835,0.0
16440,4,2,159,2,160,1.9352941176470555,1.941176470588232,0.9988127731223317,0.9987947494049606,1.8023717371140613e-05,201.16105489491835,201.16105489491835,0.0
16440,4,2,160,2,161,1.941176470588232,1.9470588235294084,0.9987947494049606,0.9987788618936065,1.588751135406241e-05,201.16105489491835,201.16105489491835,0.0
16440,4,2,161,2,162,1.9470588235294084,1.9529411764705848,0.9987788618936065,0.9987638144767746,1.504741683189259e-05,201.16105489491835,201.16105489491835,0.0
16440,4,2,162,2,163,1.9529411764705848,1.9588235294117613,0.9987638144767746,0.9987498449150417,1.3969561732940505e-05,201.16105489491835,201.16105489491835,0.0
16440,4,2,163,2,164,1.9588235294117613,1.9647058823529377,0.9987498449150417,0.9987362392321566,1.3605682885109438e-05,201.16105489491835,201.16105489491835,0.0
16440,4,2,164,2,165,1.9647058823529377,1.9705882352941142,0.9987362392321566,0.998723405519524,1.2833712632609462e-05,201.16105489491835,201.16105489491835,0.0
16440,4,2,165,2,166,1.9705882352941142,1.9764705882352906,0.998723405519524,0.9987108094148476,1.2596104676410036e-05,201.16105489491835,201.16105489491835,0.0
16440,4,2,166,2,167,1.9764705882352906,1.982352941176467,0.9987108094148476,0.9986988677056756,1.1941709171958692e-05,201.16105489491835,201.16105489491835,0.0
16440,4,2,167,2,168,1.982352941176467,1.9882352941176435,0.9986988677056756,0.9986871176388864,1.1750066789217861e-05,201.16105489491835,201.16105489491835,0.0
16440,4,2,168,2,169,1.9882352941176435,1.99411764705882,0.9986871176388864,0.9986759488943121,1.1168744574296952e-05,201.16105489491835,201.16105489491835,0.0
16440,4,2,169,2,170,1.99411764705882,1.9999999999999964,0.9986759488943121,0.9986649438437641,1.100505054796308e-05,201.16105489491835,201.16105489491835,0.0
16976,1,2,144,2,145,1.8470588235294088,1.8529411764705852,1.000559838363876,1.000550052635235,9.785728640965274e-06,740.1154496031345,837.5481688902817,-97.43271928714717
16976,1,2,145,2,146,1.8529411764705852,1.8588235294117617,1.000550052635235,1.0005352657174684,1.4786917766684837e-05,837.5481688902817,921.1527895707205,-83.60462068043887
16976,1,2,146,2,147,1.8588235294117617,1.864705882352938,1.0005352657174684,1.000521012673273,1.4253044195333686e-05,921.1527895707205,985.9554121124921,-64.8026225417716
16976,1,2,147,2,148,1.864705882352938,1.8705882352941146,1.000521012673273,1.0005078946504877,1.3118022785363337e-05,985.9554121124921,1039.4682747443576,-53.51286263186546
16976,1,2,148,2,149,1.8705882352941146,1.876470588235291,1.0005078946504877,1.0004966172326497,1.1277417838018167e-05,1039.4682747443576,1083.3174780888417,-43.84920334448407
16976,1,2,149,2,150,1.876470588235291,1.8823529411764675,1.0004966172326497,1.0004863332764402,1.0283956209500289e-05,1083.3174780888417,1123.1309067263237,-39.81342863748205
16976,1,2,150,2,151,1.8823529411764675,1.888235294117644,1.0004863332764402,1.0004772375561086,9.095720331586676e-06,1123.1309067263237,1159.2836659563097,-36.15275922998603
16976,1,2,151,2,152,1.888235294117644,1.8941176470588204,1.0004772375561086,1.000468703306845,8.534249263725258e-06,1159.2836659563097,1194.6826554611916,-35.39898950488191
16976,1,2,152,2,153,1.8941176470588204,1.8999999999999968,1.000468703306845,1.000460940769767,7.762537077793397e-06,1194.6826554611916,1228.5559496602102,-33.873294199018574
16976,1,2,153,2,154,1.8999999999999968,1.9058823529411733,1.000460940769767,1.000453500970918,7.43979884920698e-06,1228.5559496602102,1262.7064274616018,-34.15047780139162
