index,baseline_u2_mm,baseline_rf2_kN,diagnostic_u2_mm,diagnostic_rf2_kN,rf2_difference
67,0.00334999989718,0.442792624235,0.0033499998971819878,0.4427926242351532,1.532107773982716e-13
68,0.00340000004508,0.449166089296,0.0034000000450760126,0.44916608929634094,3.4094949086238557e-13
69,0.00344999996014,0.455528885126,0.003449999960139394,0.4555288851261139,1.1390888232654106e-13
70,0.00350000010803,0.461880743504,0.0035000001080334187,0.46188074350357056,-4.2943426592501055e-13
71,0.0035500000231,0.468221545219,0.0035500000230968,0.4682215452194214,4.2138514899647816e-13
72,0.00359999993816,0.474551081657,0.003599999938160181,0.47455108165740967,4.0967229608668276e-13
73,0.00365000008605,0.480869174004,0.003650000086054206,0.4808691740036011,-3.9890313274781874e-13
74,0.00370000000112,0.487175613642,0.003700000001117587,0.4871756136417389,-2.611244553918368e-13
75,0.00374999991618,0.493470221758,0.0037499999161809683,0.4934702217578888,-1.1118883591620943e-13
76,0.00380000006407,0.499752789736,0.003800000064074993,0.49975278973579407,-2.0594637106796654e-13
77,0.00384999997914,0.506023108959,0.0038499999791383743,0.506023108959198,1.979527652906654e-13
78,0.0038999998942,0.51228094101,0.0038999998942017555,0.5122809410095215,-4.785061236134425e-13
79,0.00394999980927,0.518526136875,0.003949999809265137,0.5185261368751526,1.525446435834965e-13
80,0.00400000018999,0.524758458138,0.004000000189989805,0.5247584581375122,-4.878319970202938e-13
81,0.00405000010505,0.530977666378,0.004050000105053186,0.5309776663780212,2.120525977034049e-14
82,0.00410000002012,0.537183523178,0.004100000020116568,0.5371835231781006,1.0058620603103918e-13
83,0.00414999993518,0.543375790119,0.004149999935179949,0.5433757901191711,1.7119639039719914e-13
84,0.00419999985024,0.549554288387,0.00419999985024333,0.5495542883872986,2.985389713217046e-13
85,0.00425000023097,0.555718719959,0.0042500002309679985,0.555718719959259,2.59015031645049e-13
86,0.00430000014603,0.561868846416,0.00430000014603138,0.5618688464164734,4.733990977001667e-13
87,0.00435000006109,0.568004369736,0.004350000061094761,0.5680043697357178,-2.822186928597148e-13
88,0.00439999997616,0.574124991894,0.004399999976158142,0.5741249918937683,-2.3170354523927017e-13
89,0.00444999989122,0.580230474472,0.004449999891221523,0.5802304744720459,4.5852210917018965e-14
90,0.00449999980628,0.586320519447,0.0044999998062849045,0.5863205194473267,3.2662761384472105e-13
91,0.00455000018701,0.592394769192,0.004550000187009573,0.5923947691917419,-2.580158309228864e-13
92,0.00460000010207,0.598452925682,0.004600000102072954,0.5984529256820679,6.783462680459706e-14
93,0.00465000001714,0.60449463129,0.004650000017136335,0.6044946312904358,4.3576253716537394e-13
94,0.0046999999322,0.61051940918,0.004699999932199717,0.6105194091796875,-3.1252778143198157e-13
95,0.00474999984726,0.616526961327,0.004749999847263098,0.6165269613265991,-4.0090153419214403e-13
96,0.00480000022799,0.622516870499,0.004800000227987766,0.6225168704986572,-3.427258477017858e-13
97,0.00485000014305,0.628488600254,0.0048500001430511475,0.6284886002540588,5.88418203051333e-14
98,0.00490000005811,0.634441614151,0.004900000058114529,0.634441614151001,9.992007221626409e-16
99,0.00494999997318,0.640375494957,0.00494999997317791,0.6403754949569702,-2.9753977059954195e-14
100,0.00499999988824,0.646289527416,0.004999999888241291,0.6462895274162292,2.2926105458509483e-13
101,0.00499999988824,0.646289527416,0.004999999888241291,0.6462895274162292,2.2926105458509483e-13
102,0.00502000004053,0.648649454117,0.0050200000405311584,0.6486494541168213,-1.787459069646502e-13
103,0.00504000019282,0.651006042957,0.005040000192821026,0.6510060429573059,3.0586644328423063e-13
104,0.00505999987945,0.653359234333,0.005059999879449606,0.6533592343330383,3.83026943495679e-14
105,0.00506999995559,0.654534578323,0.00506999995559454,0.6545345783233643,3.6426417437951386e-13
106,0.00509000010788,0.6568826437,0.005090000107884407,0.656882643699646,-3.540501225529624e-13
107,0.00510999979451,0.659227192402,0.005109999794512987,0.659227192401886,-1.1401990462900358e-13
108,0.00511999987066,0.660398125648,0.005119999870657921,0.6603981256484985,4.984901380566953e-13
109,0.00514000002295,0.662737369537,0.005140000022947788,0.6627373695373535,3.5349501104064984e-13
110,0.00516000017524,0.665072917938,0.005160000175237656,0.6650729179382324,2.3236967905404526e-13
111,0.00516999978572,0.666239261627,0.005169999785721302,0.6662392616271973,1.9728663147589032e-13
112,0.00518999993801,0.668569207191,0.005189999938011169,0.6685692071914673,4.672928710647284e-13
113,0.0052100000903,0.670895338058,0.005210000090301037,0.6708953380584717,4.71733763163229e-13
114,0.00522999977693,0.673217594624,0.005229999776929617,0.6732175946235657,-4.3431924723336124e-13
115,0.00523999985307,0.674377202988,0.005239999853074551,0.6743772029876709,-3.290701044988964e-13
116,0.00526000000536,0.676693439484,0.005260000005364418,0.6766934394836426,-3.573807916268379e-13
117,0.00528000015765,0.679005503654,0.005280000157654285,0.67900550365448,4.799494135454552e-13
118,0.00528999976814,0.680159986019,0.005289999768137932,0.6801599860191345,1.3455903058456897e-13
119,0.00530999992043,0.682465791702,0.005309999920427799,0.6824657917022705,2.7056135110115065e-13
120,0.00533000007272,0.684767186642,0.005330000072717667,0.6847671866416931,-3.0686564400639327e-13
121,0.00534000014886,0.685916244984,0.0053400001488626,0.6859162449836731,-3.268496584496461e-13
122,0.00535999983549,0.688210904598,0.00535999983549118,0.6882109045982361,2.360334150353083e-13
123,0.00537999998778,0.690500915051,0.005379999987781048,0.6905009150505066,-4.933831121434196e-13
124,0.00540000014007,0.692786097527,0.005400000140070915,0.6927860975265503,-4.497513472756509e-13
125,0.00541000021622,0.693926870823,0.005410000216215849,0.6939268708229065,-9.348077867343818e-14
126,0.00542999990284,0.696204602718,0.005429999902844429,0.6962046027183533,3.532729664357248e-13
127,0.00545000005513,0.69847714901,0.005450000055134296,0.6984771490097046,-2.9543034685275416e-13
128,0.00546000013128,0.6996114254,0.00546000013127923,0.6996114253997803,-2.1971313657331848e-13
129,0.00547999981791,0.701875805855,0.00547999981790781,0.7018758058547974,-2.0261570199409107e-13
130,0.0054999999702,0.704134523869,0.005499999970197678,0.7041345238685608,-4.3920422854171193e-13
131,0.00551000004634,0.705261647701,0.005510000046342611,0.7052616477012634,2.6345592374354965e-13
132,0.00553000019863,0.707511425018,0.005530000198632479,0.7075114250183105,3.105293799876563e-13
133,0.00554999988526,0.709754824638,0.005549999885261059,0.7097548246383667,3.667066650336892e-13
134,0.00557000003755,0.711991608143,0.005570000037550926,0.7119916081428528,-1.4721557306529576e-13
135,0.0055800001137,0.713107407093,0.00558000011369586,0.7131074070930481,4.807265696626928e-14
136,0.00559999980032,0.715333580971,0.00559999980032444,0.7153335809707642,-2.3581137043038325e-13
137,0.00561999995261,0.717552125454,0.005619999952614307,0.717552125453949,-5.10702591327572e-14
138,0.00563000002876,0.718658328056,0.005630000028759241,0.7186583280563354,3.353983757392598e-13
139,0.00565000018105,0.720864534378,0.0056500001810491085,0.7208645343780518,5.1736392947532295e-14
