step,frame,step_time,u1,rf1,d_max
Step-1,290,0.28999999165534973,0.002899999963119626,0.1322997808456421,0.04406635835766792
Step-1,300,0.30000001192092896,0.003000000026077032,0.13677923381328583,0.04730350896716118
Step-1,310,0.3100000023841858,0.003100000089034438,0.1412501186132431,0.05067117139697075
Step-1,320,0.3199999928474426,0.0031999999191612005,0.14571209251880646,0.054171785712242126
Step-1,330,0.33000001311302185,0.0032999999821186066,0.15016484260559082,0.057807955890893936
Step-1,340,0.3400000035762787,0.0034000000450760126,0.15460804104804993,0.061582453548908234
Step-1,350,0.3499999940395355,0.0035000001080334187,0.15904134511947632,0.0654982328414917
Step-1,360,0.36000001430511475,0.003599999938160181,0.16346442699432373,0.06955843418836594
Step-1,370,0.3700000047683716,0.003700000001117587,0.1678769439458847,0.07376642525196075
Step-1,380,0.3799999952316284,0.003800000064074993,0.1722785383462906,0.07812578231096268
Step-1,390,0.38999998569488525,0.0038999998942017555,0.17666885256767273,0.08264033496379852
Step-1,400,0.4000000059604645,0.004000000189989805,0.18104751408100128,0.087314173579216
Step-1,410,0.4099999964237213,0.004100000020116568,0.1854141503572464,0.09215167909860611
Step-1,420,0.41999998688697815,0.00419999985024333,0.18976838886737823,0.0971575379371643
Step-1,430,0.4300000071525574,0.00430000014603138,0.19410982728004456,0.10233677923679352
Step-1,440,0.4399999976158142,0.004399999976158142,0.19843806326389313,0.10769481211900711
Step-1,450,0.44999998807907104,0.0044999998062849045,0.20275267958641052,0.11323743313550949
Step-1,460,0.46000000834465027,0.004600000102072954,0.20705324411392212,0.11897090822458267
Step-1,470,0.4699999988079071,0.004699999932199717,0.2113393098115921,0.12490198016166687
Step-1,480,0.47999998927116394,0.004800000227987766,0.21561039984226227,0.13103793561458588
Step-1,490,0.49000000953674316,0.004900000058114529,0.2198660671710968,0.13738667964935303
Step-1,500,0.5,0.004999999888241291,0.22410579025745392,0.1439567506313324
Step-2,100,0.009999999776482582,0.005249999929219484,0.23459996283054352,0.1624363362789154
Step-2,200,0.019999999552965164,0.005499999970197678,0.24500907957553864,0.18168529868125916
Step-2,300,0.029999999329447746,0.005750000011175871,0.25529924035072327,0.2025565803050995
Step-2,400,0.03999999910593033,0.006000000052154064,0.2654464840888977,0.22601504623889923
Step-2,500,0.05000000074505806,0.0062500000931322575,0.2754451632499695,0.2520989775657654
Step-2,600,0.05999999865889549,0.006500000134110451,0.28527748584747314,0.28104135394096375
Step-2,700,0.07000000029802322,0.006750000175088644,0.294903039932251,0.3145941197872162
Step-2,800,0.07999999821186066,0.007000000216066837,0.30429112911224365,0.3533136248588562
Step-2,900,0.09000000357627869,0.007249999791383743,0.3133782744407654,0.39907634258270264
Step-2,1000,0.10000000149011612,0.007499999832361937,0.3220227360725403,0.4578368365764618
Step-2,1100,0.10999999940395355,0.00774999987334013,0.32987532019615173,0.539966881275177
Step-2,1200,0.11999999731779099,0.00800000037997961,0.33533424139022827,0.6912911534309387
Step-2,1300,0.12999999523162842,0.008249999955296516,0.3365108072757721,0.8947912454605103
Step-2,1400,0.14000000059604645,0.008500000461935997,0.34036824107170105,0.9741978645324707
Step-2,1500,0.15000000596046448,0.008750000037252903,0.3458424210548401,0.9868116974830627
Step-2,1600,0.1599999964237213,0.008999999612569809,0.35106897354125977,0.9925677180290222
Step-2,1700,0.17000000178813934,0.00925000011920929,0.3556407690048218,0.9955340623855591
Step-2,1800,0.18000000715255737,0.009499999694526196,0.359722375869751,0.9970189929008484
Step-2,1854,0.18529999256134033,0.009632499888539314,0.36165672540664673,0.997519314289093
