node,x,y,active_lower_bound,d_lower_bound,d_F0,d_F1,d_F2,d_F3,F3_minus_F1,F3_minus_lower_bound
1422,0.050000000000000044,-0.2875,False,0.009030853225697261,0.00910335583269031,0.00910335583269031,0.0091704147674374,0.009170414767597432,6.705893490712225e-05,0.00013956154190017042
1423,0.0625,-0.2875,False,0.009507951465943309,0.009581645510515654,0.009581645510515654,0.009640149313603434,0.009640149314379204,5.850380386355006e-05,0.00013219784843589502
1424,0.07499999999999996,-0.2875,False,0.009615070956109372,0.009982778348586754,0.009982778348586754,0.010049047782201986,0.01004904778394971,6.626943536295477e-05,0.00043397682784033706
1425,0.08750000000000002,-0.2875,False,0.010343448275172655,0.01035115137399744,0.01035115137399744,0.010409978927842376,0.010409978932270702,5.882755827326183e-05,6.653065709804652e-05
1426,0.09999999999999998,-0.2875,False,0.010540515875779853,0.010670913404300103,0.010670913404300103,0.010739889148541282,0.010739889154516511,6.897575021640873e-05,0.00019937327873665797
1428,0.125,-0.2875,False,0.011001521391803697,0.011238509541756097,0.011238509541756096,0.011293863107937365,0.011293863144282927,5.535360252683155e-05,0.00029234175247922975
1430,0.15000000000000002,-0.2875,False,0.011543247229960769,0.011657916158291651,0.011657916158291651,0.01172257483369335,0.01172257501750316,6.465885921150792e-05,0.00017932778754239063
1432,0.17500000000000004,-0.2875,False,0.011921913859562691,0.011957170065986308,0.01195717006598631,0.011996143197725968,0.01199614393960325,3.897387361694038e-05,7.423008004055903e-05
1433,0.1875,-0.2875,False,0.01196620420268391,0.012032577763996717,0.01203257776399672,0.01208180488086404,0.012081809424393285,4.923166039656583e-05,0.00011560522170937435
1434,0.19999999999999996,-0.2875,False,0.012099429792395781,0.012104818212994622,0.012104818212994622,0.012148246758082824,0.012148257751054348,4.3439538059726265e-05,4.882795865856701e-05
1435,0.21250000000000002,-0.2875,False,0.012144669935117716,0.012152305500925734,0.012152305500925734,0.01220170339592718,0.012201731979470559,4.942647854482528e-05,5.7062044352842664e-05
1437,0.23750000000000004,-0.2875,False,0.012191519443749622,0.012201389168953827,0.012201389168953827,0.01226086529741982,0.012261213030217004,5.982386126317761e-05,6.969358646738248e-05
1438,0.25,-0.2875,False,0.012196193713542695,0.012207211646570085,0.012207211646570085,0.012276556955407372,0.012277200657403953,6.998901083386799e-05,8.100694386125804e-05
1439,0.26249999999999996,-0.2875,False,0.012196238624913808,0.012204820178080032,0.012204820178080032,0.01227662084272925,0.012277475992593826,7.265581451379455e-05,8.1237367680018e-05
1440,0.275,-0.2875,False,0.012184525924424167,0.012195624835106852,0.012195624835106852,0.012261498374844616,0.012262370962088839,6.67461269819869e-05,7.784503766467173e-05
1441,0.2875,-0.2875,False,0.012177366584273867,0.012180249575650337,0.012180249575650337,0.012243375461864117,0.012244236805369657,6.398722971931968e-05,6.687022109578937e-05
1442,0.30000000000000004,-0.2875,False,0.012142262109499386,0.012158942565594294,0.012158942565594294,0.012214537188660946,0.012215266477613226,5.6323912018931346e-05,7.300436811383954e-05
1443,0.3125,-0.2875,False,0.012120136181657942,0.012138256523146828,0.012138256523146828,0.012191472142544988,0.012192173477306232,5.3916954159403604e-05,7.203729564828933e-05
1444,0.32499999999999996,-0.2875,False,0.012083751043886657,0.012110069370985474,0.012110069370985474,0.012166529017289974,0.012167248666414178,5.7179295428703286e-05,8.349762252752094e-05
1445,0.3375,-0.2875,False,0.01206148863995017,0.01209020562322891,0.012090205623228906,0.012144454589782286,0.012145190459685137,5.4984836456231645e-05,8.370181973496767e-05
1446,0.35,-0.2875,False,0.012047496353244128,0.012075565202662614,0.012075565202662616,0.012127706964795818,0.012128454611718508,5.2889409055892e-05,8.095825847437982e-05
1447,0.36250000000000004,-0.2875,False,0.01202653833330419,0.012059246669630869,0.012059246669630869,0.012107638137769276,0.012108303829858849,4.905716022798011e-05,8.17654965546595e-05
1448,0.375,-0.2875,False,0.01202298019022338,0.01204775160320648,0.01204775160320648,0.012091437595699452,0.012091940851610373,4.4189248403892975e-05,6.896066138699364e-05
1453,0.4375,-0.2875,False,0.012015324137112945,0.012069383464725213,0.012069383464725211,0.012114019287892389,0.012114230090946598,4.4846626221386673e-05,9.890595383365251e-05
1456,0.475,-0.2875,False,0.01222756717615916,0.012235063573389578,0.012235063573389575,0.012278884668263733,0.012279223873832543,4.41603004429688e-05,5.1656697673383226e-05
1457,0.48750000000000004,-0.2875,False,0.012210284617238476,0.012228637687205512,0.012228637687205512,0.012301340048708727,0.012301749473334098,7.311178612858654e-05,9.146485609562265e-05
1458,0.5,-0.2875,False,0.012116316804844887,0.012231593607508846,0.012231593607508846,0.012315853492939524,0.012316231585051914,8.463797754306758e-05,0.0001999147802070264
1459,-0.5,-0.275,False,0.00023184955421957785,0.0002427989311112996,0.0002427989311112996,0.00026380127500395025,0.000263801275869882,2.1002344758582386e-05,3.1951721650304136e-05
1460,-0.4875,-0.275,False,0.00022241338368586845,0.00023745032429684288,0.0002374503242968429,0.00024977826474408617,0.000249778265811119,1.2327941514276122e-05,2.7364882125250576e-05
1461,-0.475,-0.275,False,0.00020852879170400507,0.00021702940841446545,0.0002170294084144654,0.00022143170339330716,0.00022143171020613488,4.402301791669484e-06,1.2902918502129816e-05
1462,-0.4625,-0.275,False,0.00017087166636165098,0.00018684070163973692,0.00018684070163973695,0.00018855004830263907,0.00018855005377272472,1.709352132987774e-06,1.7678387411073737e-05
1464,-0.4375,-0.275,False,0.00013234198890512485,0.00013556755216730888,0.00013556755216730888,0.00013618960228139985,0.0001361921422303684,6.245900630595159e-07,3.850153325243546e-06
1465,-0.425,-0.275,False,9.604119750170038e-05,0.0001101292923171603,0.0001101292923171603,0.00011172208230560371,0.00011172905581356162,1.5997634964013243e-06,1.5687858311861242e-05
1466,-0.4125,-0.275,False,9.47462351370789e-05,9.535422141959027e-05,9.535422141959026e-05,9.603888723736664e-05,9.604367171361526e-05,6.894502940250013e-07,1.2974365765363541e-06
1467,-0.4,-0.275,False,7.395093878306903e-05,7.888315503871221e-05,7.888315503871221e-05,8.004462578216183e-05,8.005595449865754e-05,1.1727994599453284e-06,6.105015715588509e-06
