node,x,y,active_lower_bound,d_F1,d_lower_bound,bound_error,residual_Kd_minus_f,multiplier_if_active
3724,-0.025000000000000022,0.0625,False,0.015055789464403614,0.014599883578753364,0.00045590588565025056,-4.235164736271502e-22,
3725,-0.012500000000000011,0.0625,False,0.019258915452134005,0.018935531206188492,0.00032338424594551343,-5.293955920339377e-22,
3726,0.0,0.0625,False,0.022877706534109095,0.021843665915215596,0.001034040618893499,3.1763735522036263e-22,
3727,0.012499999999999956,0.0625,False,0.024924645606890332,0.02383189041545195,0.0010927551914383833,9.529120656610879e-22,
3728,0.025000000000000022,0.0625,False,0.02508559300858193,0.024376934230117,0.0007086587784649288,-7.411538288475128e-22,
3729,0.03749999999999998,0.0625,False,0.023873911555676235,0.02380050427438802,7.340728128821597e-05,1.2705494208814505e-21,
3730,0.050000000000000044,0.0625,False,0.02194622197485223,0.021725333767653933,0.00022088820719829566,-5.293955920339377e-22,
3731,0.0625,0.0625,True,0.019976406541916368,0.019976406541916368,0.0,1.1877662538095375e-08,1.1877662538095375e-08
3732,0.07499999999999996,0.0625,False,0.01803204560325218,0.018013223867444354,1.882173580782659e-05,-7.411538288475128e-22,
3733,0.08750000000000002,0.0625,False,0.01645557611893158,0.016302620917517628,0.00015295520141395125,-1.0587911840678754e-22,
3734,0.09999999999999998,0.0625,False,0.015154286546809254,0.015107077101432387,4.7209445376866777e-05,2.117582368135751e-22,
3735,0.11250000000000004,0.0625,True,0.014148017132578307,0.014148017132578305,1.734723475976807e-18,7.592276859840378e-09,7.592276859840378e-09
3736,0.125,0.0625,False,0.013253808324382218,0.013148483048588561,0.00010532527579365687,-6.88214269644119e-22,
3737,0.13749999999999996,0.0625,False,0.012547879582999626,0.012522910654191638,2.496892880798733e-05,0.0,
3738,0.15000000000000002,0.0625,True,0.012024819553227309,0.012024819553227309,0.0,1.966140837360874e-09,1.966140837360874e-09
3739,0.16249999999999998,0.0625,False,0.011591886180829278,0.011522049583416589,6.983659741268897e-05,-1.0587911840678754e-22,
3740,0.17500000000000004,0.0625,False,0.01124080036479328,0.011238481034592298,2.3193302009817673e-06,3.705769144237564e-22,
3741,0.1875,0.0625,False,0.010972086714617663,0.010942111442269978,2.997527234768413e-05,5.293955920339377e-23,
3742,0.19999999999999996,0.0625,False,0.010756789426172648,0.010738865893293429,1.7923532879219467e-05,0.0,
3743,0.21250000000000002,0.0625,False,0.010591364761926786,0.010554199660322746,3.716510160403988e-05,6.88214269644119e-22,
3744,0.22499999999999998,0.0625,False,0.010461379906332662,0.010424051516682667,3.732838964999423e-05,-4.764560328305439e-22,
3745,0.23750000000000004,0.0625,False,0.010357593793268989,0.010331484268959261,2.6109524309727433e-05,2.117582368135751e-22,
3746,0.25,0.0625,True,0.01028043227058835,0.010280432270588351,-1.734723475976807e-18,1.4366461047554775e-09,1.4366461047554775e-09
3747,0.26249999999999996,0.0625,True,0.01021295706257367,0.010212957062573672,-1.734723475976807e-18,9.108886690118389e-10,9.108886690118389e-10
3748,0.275,0.0625,False,0.010157502037985634,0.010143663653790368,1.383838419526627e-05,4.235164736271502e-22,
3749,0.2875,0.0625,False,0.010117759909032558,0.010105497391193492,1.2262517839065762e-05,-6.352747104407253e-22,
3750,0.30000000000000004,0.0625,False,0.010082830934653892,0.010075481995314065,7.348939339827179e-06,-5.293955920339377e-23,
3751,0.3125,0.0625,False,0.010052199093684946,0.010048711861199575,3.4872324853711667e-06,-5.293955920339377e-23,
3752,0.32499999999999996,0.0625,False,0.010023184728988943,0.010011899893551465,1.1284835437478172e-05,-3.1763735522036263e-22,
3753,0.3375,0.0625,True,0.009995330119653315,0.009995330119653313,1.734723475976807e-18,5.566528431373149e-10,5.566528431373149e-10
3754,0.35,0.0625,False,0.00995466117491615,0.00991931547186329,3.534570305285985e-05,-6.352747104407253e-22,
3755,0.36250000000000004,0.0625,True,0.009917740733681242,0.009917740733681242,0.0,9.023146031639474e-10,9.023146031639474e-10
3756,0.375,0.0625,False,0.009856168599725882,0.00983493519827164,2.1233401454242087e-05,-1.0587911840678754e-22,
3757,0.38749999999999996,0.0625,False,0.009791132297931441,0.009780931714520708,1.0200583410733058e-05,-5.293955920339377e-23,
3758,0.4,0.0625,False,0.009710144390312809,0.009682582142592704,2.7562247720104918e-05,1.5881867761018131e-22,
3759,0.4125,0.0625,False,0.009612203717456646,0.009588334458937775,2.386925851887052e-05,1.5881867761018131e-22,
3760,0.42500000000000004,0.0625,False,0.009487898278851974,0.009460648130203659,2.7250148648315375e-05,-7.411538288475128e-22,
3761,0.4375,0.0625,False,0.009344113422461452,0.00930800765592996,3.610576653149261e-05,1.5881867761018131e-22,
3762,0.44999999999999996,0.0625,False,0.009182910717378479,0.009137740334593296,4.517038278518265e-05,1.0587911840678754e-22,
3763,0.4625,0.0625,False,0.009017373408340308,0.00898996339633748,2.7410012002827833e-05,1.0587911840678754e-22,
3764,0.475,0.0625,True,0.008885586293891384,0.008885586293891384,0.0,4.790379855113619e-09,4.790379855113619e-09
3765,0.48750000000000004,0.0625,False,0.008703283691114762,0.008656920095415261,4.63635956995008e-05,5.293955920339377e-23,
3766,0.5,0.0625,False,0.008645833063659096,0.008644283969836896,1.549093822200004e-06,2.6469779601696886e-23,
3767,-0.5,0.07499999999999996,True,1.5500822299060336e-05,1.5500822299060336e-05,0.0,6.465395733581621e-11,6.465395733581621e-11
3768,-0.4875,0.07499999999999996,False,1.486903454200015e-05,1.3366553874607857e-05,1.5024806673922922e-06,-1.550963648536927e-25,
