element,umat_element,integration_point,x,y,SDV15_d,SDV16_H,S,E,LE
18,7878,1,0.36047955602407455,-0.48035552352666855,0.012642797082662582,0.0011518485844135284,,,
18,7878,2,0.36047955602407455,-0.48035552352666855,0.012635339051485062,0.0011511538177728653,,,
18,7878,3,0.36047955602407455,-0.48035552352666855,0.012453791685402393,0.0011343704536557198,,,
18,7878,4,0.36047955602407455,-0.48035552352666855,0.012449342757463455,0.001133973360992968,,,
19,7879,1,0.4008484110236168,-0.4807678610086441,0.012797300703823566,0.00116548512596637,,,
19,7879,2,0.4008484110236168,-0.4807678610086441,0.012806608341634274,0.0011665752390399575,,,
19,7879,3,0.4008484110236168,-0.4807678610086441,0.013053793460130692,0.0011890910100191832,,,
19,7879,4,0.4008484110236168,-0.4807678610086441,0.013065146282315254,0.0011903082486242056,,,
20,7880,1,0.3614055961370468,-0.4406895264983177,0.012442407198250294,0.0011323986109346151,,,
20,7880,2,0.3614055961370468,-0.4406895264983177,0.01262622606009245,0.0011496698716655374,,,
20,7880,3,0.3614055961370468,-0.4406895264983177,0.012427907437086105,0.0011320228222757578,,,
20,7880,4,0.3614055961370468,-0.4406895264983177,0.012608787976205349,0.0011483688140287995,,,
21,7881,1,-0.44208796322345734,-0.023398928543429065,1.1436172826506663e-05,3.967162740536878e-07,,,
21,7881,2,-0.44208796322345734,-0.023398928543429065,5.099635927763302e-06,4.01832807028768e-07,,,
21,7881,3,-0.44208796322345734,-0.023398928543429065,1.8559130694484338e-05,4.2867165461757395e-07,,,
21,7881,4,-0.44208796322345734,-0.023398928543429065,9.366304766444955e-06,4.2861987026299175e-07,,,
22,7882,1,-0.48078780621290207,-0.0215276694871136,2.308065177203389e-06,2.2046968695121905e-08,,,
22,7882,2,-0.48078780621290207,-0.0215276694871136,1.0178895308854408e-06,1.3931782838483286e-08,,,
22,7882,3,-0.48078780621290207,-0.0215276694871136,5.021795459470013e-06,1.555346784698486e-08,,,
22,7882,4,-0.48078780621290207,-0.0215276694871136,2.3452034838555846e-06,8.253323358076159e-09,,,
23,7883,1,-0.4016295075416565,-0.027073155460129783,3.529625610099174e-05,2.3109976154955802e-06,,,
