physical_element,u1_label,u2_label,cps4_label,source_storage_ip,odb_ip,source_category,connectivity,centroid_x,centroid_y,distance_from_notch_tip
16428,16428,50280,84132,4,3,edge_sharing_neighbour_of_worst_event+insufficient_output_evidence+staggered_sync_effect,16458 16459 17052 17051,0.0015,-0.00050000035,0.00158113894076
16429,16429,50281,84133,3,4,insufficient_output_evidence+staggered_sync_effect,16459 16460 17053 17052,0.0025,-0.00050000035,0.00254950982544
16429,16429,50281,84133,4,3,insufficient_output_evidence+staggered_sync_effect,16459 16460 17053 17052,0.0025,-0.00050000035,0.00254950982544
16430,16430,50282,84134,3,4,insufficient_output_evidence+staggered_sync_effect,16460 16461 17054 17053,0.0035,-0.00050000035,0.00353553395543
16430,16430,50282,84134,4,3,insufficient_output_evidence+staggered_sync_effect,16460 16461 17054 17053,0.0035,-0.00050000035,0.00353553395543
16431,16431,50283,84135,3,4,insufficient_output_evidence+staggered_sync_effect,16461 16462 17055 17054,0.0045,-0.00050000035,0.00452769260772
16431,16431,50283,84135,4,3,insufficient_output_evidence+staggered_sync_effect,16461 16462 17055 17054,0.0045,-0.00050000035,0.00452769260772
16432,16432,50284,84136,3,4,insufficient_output_evidence+staggered_sync_effect,16462 16463 17056 17055,0.0055,-0.00050000035,0.00552268054028
16432,16432,50284,84136,4,3,insufficient_output_evidence+staggered_sync_effect,16462 16463 17056 17055,0.0055,-0.00050000035,0.00552268054028
16433,16433,50285,84137,3,4,insufficient_output_evidence+staggered_sync_effect,16463 16464 17057 17056,0.0065,-0.00050000035,0.00651920243205
16433,16433,50285,84137,4,3,insufficient_output_evidence+staggered_sync_effect,16463 16464 17057 17056,0.0065,-0.00050000035,0.00651920243205
16434,16434,50286,84138,3,4,insufficient_output_evidence+staggered_sync_effect,16464 16465 17058 17057,0.0075,-0.00050000035,0.00751664821247
16434,16434,50286,84138,4,3,insufficient_output_evidence+staggered_sync_effect,16464 16465 17058 17057,0.0075,-0.00050000035,0.00751664821247
16435,16435,50287,84139,3,4,insufficient_output_evidence+staggered_sync_effect,16465 16466 17059 17058,0.0085,-0.00050000035,0.00851469320352
16435,16435,50287,84139,4,3,insufficient_output_evidence+staggered_sync_effect,16465 16466 17059 17058,0.0085,-0.00050000035,0.00851469320352
16436,16436,50288,84140,3,4,insufficient_output_evidence+staggered_sync_effect,16466 16467 17060 17059,0.0095,-0.00050000035,0.00951314881362
16436,16436,50288,84140,4,3,insufficient_output_evidence+staggered_sync_effect,16466 16467 17060 17059,0.0095,-0.00050000035,0.00951314881362
16437,16437,50289,84141,3,4,insufficient_output_evidence+staggered_sync_effect,16467 16468 17061 17060,0.0105,-0.00050000035,0.0105118980375
16437,16437,50289,84141,4,3,insufficient_output_evidence+staggered_sync_effect,16467 16468 17061 17060,0.0105,-0.00050000035,0.0105118980375
16438,16438,50290,84142,3,4,insufficient_output_evidence+staggered_sync_effect,16468 16469 17062 17061,0.0115,-0.00050000035,0.0115108644484
16438,16438,50290,84142,4,3,insufficient_output_evidence+staggered_sync_effect,16468 16469 17062 17061,0.0115,-0.00050000035,0.0115108644484
16439,16439,50291,84143,3,4,insufficient_output_evidence+staggered_sync_effect,16469 16470 17063 17062,0.0125,-0.00050000035,0.0125099960172
16439,16439,50291,84143,4,3,insufficient_output_evidence+staggered_sync_effect,16469 16470 17063 17062,0.0125,-0.00050000035,0.0125099960172
16440,16440,50292,84144,3,4,insufficient_output_evidence+staggered_sync_effect,16470 16471 17064 17063,0.0135,-0.00050000035,0.0135092560991
16440,16440,50292,84144,4,3,insufficient_output_evidence+staggered_sync_effect,16470 16471 17064 17063,0.0135,-0.00050000035,0.0135092560991
16441,16441,50293,84145,3,4,insufficient_output_evidence+staggered_sync_effect,16471 16472 17065 17064,0.0145,-0.00050000035,0.0145086181406
16441,16441,50293,84145,4,3,insufficient_output_evidence+staggered_sync_effect,16471 16472 17065 17064,0.0145,-0.00050000035,0.0145086181406
16442,16442,50294,84146,3,4,insufficient_output_evidence+staggered_sync_effect,16472 16473 17066 17065,0.0155,-0.00050000035,0.0155080624306
16442,16442,50294,84146,4,3,insufficient_output_evidence+staggered_sync_effect,16472 16473 17066 17065,0.0155,-0.00050000035,0.0155080624306
16443,16443,50295,84147,3,4,insufficient_output_evidence+staggered_sync_effect,16473 16474 17067 17066,0.0165,-0.00050000035,0.0165075740298
16443,16443,50295,84147,4,3,insufficient_output_evidence+staggered_sync_effect,16473 16474 17067 17066,0.0165,-0.00050000035,0.0165075740298
