step,frame,u2_mm,rf2_kN
Step-1,54,0.00270000007004,0.359043180943
Step-1,55,0.0027499999851,0.365539968014
Step-1,56,0.00279999990016,0.372028291225
Step-1,57,0.00285000004806,0.378507971764
Step-1,58,0.00289999996312,0.384978830814
Step-1,59,0.00295000011101,0.391440749168
Step-1,60,0.00300000002608,0.397893488407
Step-1,61,0.00304999994114,0.404336959124
Step-1,62,0.00310000008903,0.410770922899
Step-1,63,0.0031500000041,0.417195260525
Step-1,64,0.00319999991916,0.423609763384
Step-1,65,0.00325000006706,0.430014282465
Step-1,66,0.00329999998212,0.436408638954
Step-1,67,0.00334999989718,0.442792624235
Step-1,68,0.00340000004508,0.449166089296
Step-1,69,0.00344999996014,0.455528885126
Step-1,70,0.00350000010803,0.461880743504
Step-1,71,0.0035500000231,0.468221545219
Step-1,72,0.00359999993816,0.474551081657
Step-1,73,0.00365000008605,0.480869174004
Step-1,74,0.00370000000112,0.487175613642
Step-1,75,0.00374999991618,0.493470221758
Step-1,76,0.00380000006407,0.499752789736
Step-1,77,0.00384999997914,0.506023108959
Step-1,78,0.0038999998942,0.51228094101
Step-1,79,0.00394999980927,0.518526136875
Step-1,80,0.00400000018999,0.524758458138
Step-1,81,0.00405000010505,0.530977666378
Step-1,82,0.00410000002012,0.537183523178
Step-1,83,0.00414999993518,0.543375790119
Step-1,84,0.00419999985024,0.549554288387
Step-1,85,0.00425000023097,0.555718719959
Step-1,86,0.00430000014603,0.561868846416
Step-1,87,0.00435000006109,0.568004369736
Step-1,88,0.00439999997616,0.574124991894
Step-1,89,0.00444999989122,0.580230474472
Step-1,90,0.00449999980628,0.586320519447
Step-1,91,0.00455000018701,0.592394769192
Step-1,92,0.00460000010207,0.598452925682
Step-1,93,0.00465000001714,0.60449463129
Step-1,94,0.0046999999322,0.61051940918
Step-1,95,0.00474999984726,0.616526961327
Step-1,96,0.00480000022799,0.622516870499
Step-1,97,0.00485000014305,0.628488600254
Step-1,98,0.00490000005811,0.634441614151
Step-1,99,0.00494999997318,0.640375494957
Step-1,100,0.00499999988824,0.646289527416
Step-2,0,0.00499999988824,0.646289527416
Step-2,1,0.00502000004053,0.648649454117
Step-2,2,0.00504000019282,0.651006042957
Step-2,3,0.00505999987945,0.653359234333
Step-2,4,0.00506999995559,0.654534578323
Step-2,5,0.00509000010788,0.6568826437
Step-2,6,0.00510999979451,0.659227192402
Step-2,7,0.00511999987066,0.660398125648
Step-2,8,0.00514000002295,0.662737369537
Step-2,9,0.00516000017524,0.665072917938
Step-2,10,0.00516999978572,0.666239261627
Step-2,11,0.00518999993801,0.668569207191
Step-2,12,0.0052100000903,0.670895338058
Step-2,13,0.00522999977693,0.673217594624
Step-2,14,0.00523999985307,0.674377202988
Step-2,15,0.00526000000536,0.676693439484
Step-2,16,0.00528000015765,0.679005503654
Step-2,17,0.00528999976814,0.680159986019
Step-2,18,0.00530999992043,0.682465791702
Step-2,19,0.00533000007272,0.684767186642
Step-2,20,0.00534000014886,0.685916244984
Step-2,21,0.00535999983549,0.688210904598
Step-2,22,0.00537999998778,0.690500915051
Step-2,23,0.00540000014007,0.692786097527
Step-2,24,0.00541000021622,0.693926870823
Step-2,25,0.00542999990284,0.696204602718
Step-2,26,0.00545000005513,0.69847714901
Step-2,27,0.00546000013128,0.6996114254
Step-2,28,0.00547999981791,0.701875805855
Step-2,29,0.0054999999702,0.704134523869
Step-2,30,0.00551000004634,0.705261647701
Step-2,31,0.00553000019863,0.707511425018
Step-2,32,0.00554999988526,0.709754824638
Step-2,33,0.00557000003755,0.711991608143
Step-2,34,0.0055800001137,0.713107407093
Step-2,35,0.00559999980032,0.715333580971
Step-2,36,0.00561999995261,0.717552125454
Step-2,37,0.00563000002876,0.718658328056
Step-2,38,0.00565000018105,0.720864534378
Step-2,39,0.00566999986768,0.723061800003
Step-2,40,0.00567999994382,0.724156916142
Step-2,41,0.00570000009611,0.726339459419
Step-2,42,0.00571999978274,0.728511095047
