step,frame,step_time,target_abs_u2,rp_u2,rp_rf2,element,integration_point,sdv14,sdv15,sdv16
Step-1,50,0.5,0.005,0.004999999888241291,0.626645028591156,7873,4,0.02983877807855606,0.02995450235903263,0.0027839234098792076
Step-1,50,0.5,0.005,0.004999999888241291,0.626645028591156,7874,1,0.03241867944598198,0.03254591301083565,0.003019469091668725
Step-1,50,0.5,0.005,0.004999999888241291,0.626645028591156,7874,2,0.03198124095797539,0.03210657089948654,0.0030168925877660513
Step-1,50,0.5,0.005,0.004999999888241291,0.626645028591156,7874,3,0.03247325122356415,0.03260074183344841,0.003012720961123705
Step-1,50,0.5,0.005,0.004999999888241291,0.626645028591156,7874,4,0.032101523131132126,0.03222742676734924,0.003010043641552329
Step-1,50,0.5,0.005,0.004999999888241291,0.626645028591156,7875,1,0.033674243837594986,0.03380699083209038,0.0031438020523637533
Step-1,50,0.5,0.005,0.004999999888241291,0.626645028591156,7875,2,0.03403053805232048,0.034164804965257645,0.0031654234044253826
Step-1,50,0.5,0.005,0.004999999888241291,0.626645028591156,7875,3,0.03394598141312599,0.034079957753419876,0.0031984096858650446
Step-1,50,0.5,0.005,0.004999999888241291,0.626645028591156,7875,4,0.03440358117222786,0.03453957661986351,0.0032123378477990627
Step-1,50,0.5,0.005,0.004999999888241291,0.626645028591156,7876,1,0.03427311033010483,0.03440839797258377,0.003213014919310808
Step-1,50,0.5,0.005,0.004999999888241291,0.626645028591156,7876,2,0.03457952290773392,0.03471609577536583,0.0032200675923377275
Step-1,50,0.5,0.005,0.004999999888241291,0.626645028591156,7876,3,0.03471137210726738,0.03484872356057167,0.0032663075253367424
Step-1,50,0.5,0.005,0.004999999888241291,0.626645028591156,7876,4,0.035094670951366425,0.03523370251059532,0.0032739751040935516
Step-1,50,0.5,0.005,0.004999999888241291,0.626645028591156,7877,1,0.03668893501162529,0.03683514893054962,0.0034590375144034624
Step-1,50,0.5,0.005,0.004999999888241291,0.626645028591156,7877,2,0.03584587946534157,0.03598831593990326,0.0033654894214123487
Step-1,50,0.5,0.005,0.004999999888241291,0.626645028591156,7877,3,0.03711767494678497,0.03726581484079361,0.003465065034106374
Step-1,50,0.5,0.005,0.004999999888241291,0.626645028591156,7877,4,0.036167703568935394,0.0363115631043911,0.00337403011508286
Step-1,50,0.5,0.005,0.004999999888241291,0.626645028591156,7878,1,0.034594208002090454,0.03473025560379028,0.003236799268051982
Step-1,50,0.5,0.005,0.004999999888241291,0.626645028591156,7878,2,0.03457595780491829,0.03471195325255394,0.00323440320789814
Step-1,50,0.5,0.005,0.004999999888241291,0.626645028591156,7878,3,0.03396986424922943,0.0341026596724987,0.0031760530546307564
Step-1,50,0.5,0.005,0.004999999888241291,0.626645028591156,7878,4,0.03396039083600044,0.03409317508339882,0.003174695186316967
Step-1,50,0.5,0.005,0.004999999888241291,0.626645028591156,7879,1,0.035094261169433594,0.03523285686969757,0.0032833025325089693
Step-1,50,0.5,0.005,0.004999999888241291,0.626645028591156,7879,2,0.035118650645017624,0.035257332026958466,0.0032868757843971252
Step-1,50,0.5,0.005,0.004999999888241291,0.626645028591156,7879,3,0.0358947217464447,0.036037202924489975,0.0033611541148275137
Step-1,50,0.5,0.005,0.004999999888241291,0.626645028591156,7879,4,0.03592711687088013,0.036069732159376144,0.003365154378116131
