node_id,x,y
621,0.027,-0.4752504596
622,0.028,-0.4752504596
623,0.029,-0.4752504596
624,0.03,-0.4752504596
625,0.031,-0.4752504596
626,0.032,-0.4752504596
627,0.033,-0.4752504596
628,0.034,-0.4752504596
629,0.035,-0.4752504596
630,0.036,-0.4752504596
631,0.037,-0.4752504596
632,0.038,-0.4752504596
633,0.039,-0.4752504596
634,0.04,-0.4752504596
635,0.041,-0.4752504596
636,0.042,-0.4752504596
637,0.043,-0.4752504596
638,0.044,-0.4752504596
639,0.045,-0.4752504596
640,0.046,-0.4752504596
641,0.047,-0.4752504596
642,0.048,-0.4752504596
643,0.049,-0.4752504596
644,0.05,-0.4752504596
645,0.051,-0.4752504596
646,0.052,-0.4752504596
647,0.053,-0.4752504596
648,0.054,-0.4752504596
649,0.055,-0.4752504596
650,0.056,-0.4752504596
651,0.057,-0.4752504596
652,0.058,-0.4752504596
653,0.059,-0.4752504596
654,0.06,-0.4752504596
655,0.061,-0.4752504596
656,0.062,-0.4752504596
657,0.063,-0.4752504596
658,0.064,-0.4752504596
659,0.065,-0.4752504596
660,0.066,-0.4752504596
661,0.067,-0.4752504596
662,0.068,-0.4752504596
663,0.069,-0.4752504596
664,0.07,-0.4752504596
665,0.071,-0.4752504596
666,0.072,-0.4752504596
667,0.073,-0.4752504596
668,0.074,-0.4752504596
669,0.075,-0.4752504596
670,0.076,-0.4752504596
671,0.077,-0.4752504596
672,0.078,-0.4752504596
673,0.079,-0.4752504596
674,0.08,-0.4752504596
675,0.081,-0.4752504596
676,0.082,-0.4752504596
677,0.083,-0.4752504596
678,0.084,-0.4752504596
679,0.085,-0.4752504596
680,0.086,-0.4752504596
681,0.087,-0.4752504596
682,0.088,-0.4752504596
683,0.089,-0.4752504596
684,0.09,-0.4752504596
685,0.091,-0.4752504596
686,0.092,-0.4752504596
687,0.093,-0.4752504596
688,0.094,-0.4752504596
689,0.095,-0.4752504596
690,0.096,-0.4752504596
691,0.097,-0.4752504596
692,0.098,-0.4752504596
693,0.099,-0.4752504596
694,0.1,-0.4752504596
695,0.101,-0.4752504596
696,0.102,-0.4752504596
697,0.103,-0.4752504596
698,0.104,-0.4752504596
699,0.105,-0.4752504596
700,0.106,-0.4752504596
701,0.107,-0.4752504596
702,0.108,-0.4752504596
703,0.109,-0.4752504596
704,0.11,-0.4752504596
705,0.111,-0.4752504596
706,0.112,-0.4752504596
707,0.113,-0.4752504596
708,0.114,-0.4752504596
709,0.115,-0.4752504596
710,0.116,-0.4752504596
711,0.117,-0.4752504596
712,0.118,-0.4752504596
713,0.119,-0.4752504596
714,0.12,-0.4752504596
715,0.121,-0.4752504596
716,0.122,-0.4752504596
717,0.123,-0.4752504596
718,0.124,-0.4752504596
719,0.125,-0.4752504596
720,0.126,-0.4752504596
721,0.127,-0.4752504596
722,0.128,-0.4752504596
723,0.129,-0.4752504596
724,0.13,-0.4752504596
725,0.131,-0.4752504596
726,0.132,-0.4752504596
727,0.133,-0.4752504596
728,0.134,-0.4752504596
729,0.135,-0.4752504596
730,0.136,-0.4752504596
731,0.137,-0.4752504596
732,0.138,-0.4752504596
733,0.139,-0.4752504596
734,0.14,-0.4752504596
735,0.141,-0.4752504596
736,0.142,-0.4752504596
737,0.143,-0.4752504596
738,0.144,-0.4752504596
739,0.145,-0.4752504596
740,0.146,-0.4752504596
741,0.147,-0.4752504596
742,0.148,-0.4752504596
743,0.149,-0.4752504596
744,0.15,-0.4752504596
745,0.151,-0.4752504596
746,0.152,-0.4752504596
747,0.153,-0.4752504596
748,0.154,-0.4752504596
749,0.155,-0.4752504596
750,0.156,-0.4752504596
751,0.157,-0.4752504596
752,0.158,-0.4752504596
753,0.159,-0.4752504596
754,0.16,-0.4752504596
755,0.161,-0.4752504596
756,0.162,-0.4752504596
757,0.163,-0.4752504596
758,0.164,-0.4752504596
759,0.165,-0.4752504596
760,0.166,-0.4752504596
761,0.167,-0.4752504596
762,0.168,-0.4752504596
763,0.169,-0.4752504596
764,0.17,-0.4752504596
765,0.171,-0.4752504596
766,0.172,-0.4752504596
767,0.173,-0.4752504596
768,0.174,-0.4752504596
769,0.175,-0.4752504596
770,0.176,-0.4752504596
771,0.177,-0.4752504596
772,0.178,-0.4752504596
773,0.179,-0.4752504596
774,0.18,-0.4752504596
775,0.181,-0.4752504596
776,0.182,-0.4752504596
777,0.183,-0.4752504596
778,0.184,-0.4752504596
779,0.185,-0.4752504596
780,0.186,-0.4752504596
781,0.187,-0.4752504596
782,0.188,-0.4752504596
783,0.189,-0.4752504596
784,0.19,-0.4752504596
785,0.191,-0.4752504596
786,0.192,-0.4752504596
787,0.193,-0.4752504596
788,0.194,-0.4752504596
789,0.195,-0.4752504596
790,0.196,-0.4752504596
791,0.197,-0.4752504596
792,0.198,-0.4752504596
793,0.199,-0.4752504596
794,0.2,-0.4752504596
795,0.201,-0.4752504596
796,0.202,-0.4752504596
797,0.203,-0.4752504596
798,0.204,-0.4752504596
799,0.205,-0.4752504596
800,0.206,-0.4752504596
801,0.207,-0.4752504596
