element,integration_point,H_old,H_actual,H_actual_minus_H_old,abs_H_actual_minus_H_old
792,1,0.001148823702832031,0.001148823702832031,0.0,0.0
792,2,0.0011589204435609977,0.0011589204435609977,0.0,0.0
792,3,0.0011456904903606718,0.0011456904903606718,0.0,0.0
792,4,0.0011408583742874559,0.0011408583742874559,0.0,0.0
793,1,0.0011585032496765268,0.0011585032496765268,0.0,0.0
793,2,0.0011578414983887575,0.0011578414983887575,0.0,0.0
793,3,0.001153143358712187,0.001153143358712187,0.0,0.0
793,4,0.001154064357568431,0.001154064357568431,0.0,0.0
794,1,0.0011575387964992663,0.0011575387964992663,0.0,0.0
794,2,0.0011574914956438878,0.0011574914956438878,0.0,0.0
794,3,0.0011590031117944407,0.0011590031117944407,0.0,0.0
794,4,0.0011532739280558358,0.0011532739280558358,0.0,0.0
795,1,0.0011655975886766235,0.0011655975886766235,0.0,0.0
795,2,0.0011925380554252377,0.0011925380554252377,0.0,0.0
795,3,0.0011736337290844056,0.0011736337290844056,0.0,0.0
795,4,0.0011650229390231886,0.0011650229390231886,0.0,0.0
796,1,0.001191857653679386,0.001191857653679386,0.0,0.0
796,2,0.0011910956973467497,0.0011910956973467497,0.0,0.0
796,3,0.0011840157658661113,0.0011840157658661113,0.0,0.0
796,4,0.001185103791624321,0.001185103791624321,0.0,0.0
797,1,0.0011909910087130105,0.0011909910087130105,0.0,0.0
797,2,0.0011913474710172867,0.0011913474710172867,0.0,0.0
797,3,0.001194692230898888,0.001194692230898888,0.0,0.0
797,4,0.0011845709882699863,0.0011845709882699863,0.0,0.0
798,1,0.0012040209063791324,0.0012040209063791324,0.0,0.0
798,2,0.0012454228101187025,0.0012454228101187025,0.0,0.0
798,3,0.0012167236218144587,0.0012167236218144587,0.0,0.0
798,4,0.0012043884458254146,0.0012043884458254146,0.0,0.0
799,1,0.0012450606366650563,0.0012450606366650563,0.0,0.0
799,2,0.0012447430783861725,0.0012447430783861725,0.0,0.0
799,3,0.001233114280674703,0.001233114280674703,0.0,0.0
799,4,0.001233696184475806,0.001233696184475806,0.0,0.0
800,1,0.001244769820496904,0.001244769820496904,0.0,0.0
800,2,0.00124501831654385,0.00124501831654385,0.0,0.0
800,3,0.00123734748408263,0.00123734748408263,0.0,0.0
800,4,0.0012344966116312195,0.0012344966116312195,0.0,0.0
801,1,3.303199039035735e-05,3.303199039035735e-05,0.0,0.0
801,2,3.2208837384539883e-05,3.2208837384539883e-05,0.0,0.0
801,3,3.1636957130678276e-05,3.1636957130678276e-05,0.0,0.0
801,4,3.3008887153704584e-05,3.3008887153704584e-05,0.0,0.0
802,1,3.225027189701911e-05,3.225027189701911e-05,0.0,0.0
802,2,3.2268367692391207e-05,3.2268367692391207e-05,0.0,0.0
802,3,3.164641045755815e-05,3.164641045755815e-05,0.0,0.0
802,4,3.160606848373642e-05,3.160606848373642e-05,0.0,0.0
803,1,3.224989385284634e-05,3.224989385284634e-05,0.0,0.0
803,2,2.2904613011640706e-05,2.2904613011640706e-05,0.0,0.0
803,3,2.3238740293658186e-05,2.3238740293658186e-05,0.0,0.0
803,4,3.1719510539524325e-05,3.1719510539524325e-05,0.0,0.0
804,1,1.979319743553763e-05,1.979319743553763e-05,0.0,0.0
804,2,1.6201461224507462e-05,1.6201461224507462e-05,0.0,0.0
804,3,1.6162858421051017e-05,1.6162858421051017e-05,0.0,0.0
804,4,1.6594067320461814e-05,1.6594067320461814e-05,0.0,0.0
805,1,1.621052428490548e-05,1.621052428490548e-05,0.0,0.0
805,2,1.558987398519088e-05,1.558987398519088e-05,0.0,0.0
805,3,1.4311797280256849e-05,1.4311797280256849e-05,0.0,0.0
805,4,1.6172762674427712e-05,1.6172762674427712e-05,0.0,0.0
806,1,1.4109790770426577e-05,1.4109790770426577e-05,0.0,0.0
806,2,1.0694895359399362e-05,1.0694895359399362e-05,0.0,0.0
806,3,9.367589468389635e-06,9.367589468389635e-06,0.0,0.0
806,4,1.2629764465229858e-05,1.2629764465229858e-05,0.0,0.0
807,1,6.97536156970694e-06,6.981136331561817e-06,5.7747618548775745e-09,5.7747618548775745e-09
807,2,6.379552459802659e-06,6.379552459802659e-06,0.0,0.0
807,3,6.831869430866711e-06,6.831869430866711e-06,0.0,0.0
807,4,6.761765245868128e-06,6.767402831459937e-06,5.637585591809073e-09,5.637585591809073e-09
808,1,6.181658216207399e-06,6.181658216207399e-06,0.0,0.0
808,2,5.825714358103474e-06,5.825714358103474e-06,0.0,0.0
808,3,5.138285576893332e-06,5.138285576893332e-06,0.0,0.0
808,4,6.73805758180666e-06,6.73805758180666e-06,0.0,0.0
809,1,3.3964680224567784e-06,3.3964680224567784e-06,0.0,0.0
809,2,2.3722118216719893e-06,2.3790969169726586e-06,6.885095300669299e-09,6.885095300669299e-09
809,3,2.6584466595486777e-06,2.6584466595486777e-06,0.0,0.0
809,4,3.5831586377377865e-06,3.5831586377377865e-06,0.0,0.0
810,1,2.195405777000283e-06,2.195405777000283e-06,0.0,0.0
810,2,1.6255384298957417e-06,1.6255384298957417e-06,0.0,0.0
810,3,2.1620751039298347e-06,2.1620751039298347e-06,0.0,0.0
810,4,2.5514213583184747e-06,2.5514213583184747e-06,0.0,0.0
811,1,1.2919505578385332e-06,1.2919505578385332e-06,0.0,0.0
811,2,1.2135708020939676e-06,1.2135708020939676e-06,0.0,0.0
811,3,1.5386242929127439e-06,1.5386242929127439e-06,0.0,0.0
811,4,1.7967373631575881e-06,1.7967373631575881e-06,0.0,0.0
812,1,1.0915954234456112e-06,1.0915954234456112e-06,0.0,0.0
812,2,1.218091821589571e-06,1.218091821589571e-06,0.0,0.0
812,3,1.2352512413676063e-06,1.2352512413676063e-06,0.0,0.0
812,4,1.1401803588743193e-06,1.1401803588743193e-06,0.0,0.0
813,1,1.284501766827648e-06,1.284501766827648e-06,0.0,0.0
813,2,1.3094722453083432e-06,1.3094722453083432e-06,0.0,0.0
813,3,1.3052601756702335e-06,1.3052601756702335e-06,0.0,0.0
813,4,1.2842904204086905e-06,1.2842904204086905e-06,0.0,0.0
814,1,1.4773179160394171e-06,1.4773179160394171e-06,0.0,0.0
814,2,2.3232769495678504e-06,2.3232769495678504e-06,0.0,0.0
814,3,2.4885349749544935e-06,2.4885349749544935e-06,0.0,0.0
814,4,1.5624489639217736e-06,1.5624489639217736e-06,0.0,0.0
815,1,3.4689494409527678e-06,3.4689494409527678e-06,0.0,0.0
815,2,5.0433945772419e-06,5.0433945772419e-06,0.0,0.0
815,3,5.359368907809229e-06,5.359368907809229e-06,0.0,0.0
815,4,3.7238619413273943e-06,3.7238619413273943e-06,0.0,0.0
816,1,5.709868860696741e-06,5.709868860696741e-06,0.0,0.0
816,2,6.239151480617441e-06,6.239151480617441e-06,0.0,0.0
816,3,6.205475595911207e-06,6.205475595911207e-06,0.0,0.0
816,4,5.993223949271424e-06,5.993223949271424e-06,0.0,0.0
817,1,7.240350302206132e-06,7.240350302206132e-06,0.0,0.0
817,2,9.423010129001456e-06,9.423010129001456e-06,0.0,0.0
817,3,9.081625902461804e-06,9.081625902461804e-06,0.0,0.0
817,4,6.6517204889870195e-06,6.6517204889870195e-06,0.0,0.0
818,1,1.182556232094899e-05,1.182556232094899e-05,0.0,0.0
818,2,1.4392723525007888e-05,1.4392723525007888e-05,0.0,0.0
818,3,1.4948007747742247e-05,1.4948007747742247e-05,0.0,0.0
818,4,1.1985379739817483e-05,1.1985379739817483e-05,0.0,0.0
819,1,1.5996763383768085e-05,1.5996763383768085e-05,0.0,0.0
819,2,1.725141156838518e-05,1.725141156838518e-05,0.0,0.0
819,3,1.62719557889242e-05,1.62719557889242e-05,0.0,0.0
819,4,1.5683961422749537e-05,1.5683961422749537e-05,0.0,0.0
820,1,1.9352664238364595e-05,1.9352664238364595e-05,0.0,0.0
820,2,2.4023471868628637e-05,2.4023471868628637e-05,0.0,0.0
820,3,2.5271918092613204e-05,2.5271918092613204e-05,0.0,0.0
820,4,1.883333373827725e-05,1.883333373827725e-05,0.0,0.0
821,1,2.674271061790414e-05,2.674271061790414e-05,0.0,0.0
821,2,3.176663493992989e-05,3.176663493992989e-05,0.0,0.0
821,3,2.956435756815986e-05,2.956435756815986e-05,0.0,0.0
821,4,2.8544265418069745e-05,2.8544265418069745e-05,0.0,0.0
822,1,3.24373142332016e-05,3.24373142332016e-05,0.0,0.0
822,2,3.377551278991179e-05,3.377551278991179e-05,0.0,0.0
822,3,3.478089599220055e-05,3.478089599220055e-05,0.0,0.0
822,4,3.105394612608309e-05,3.105394612608309e-05,0.0,0.0
823,1,4.789305556987406e-05,4.789305556987406e-05,0.0,0.0
823,2,6.294033733481062e-05,6.294033733481062e-05,0.0,0.0
823,3,5.831151018568572e-05,5.831151018568572e-05,0.0,0.0
823,4,3.8385621463297753e-05,3.8385621463297753e-05,0.0,0.0
824,1,6.538065102669794e-05,6.538065102669794e-05,0.0,0.0
824,2,6.773282588291115e-05,6.773282588291115e-05,0.0,0.0
824,3,6.38279562744311e-05,6.38279562744311e-05,0.0,0.0
824,4,6.064785233370865e-05,6.064785233370865e-05,0.0,0.0
825,1,6.798388861205071e-05,6.798388861205071e-05,0.0,0.0
825,2,7.277829168771501e-05,7.277829168771501e-05,0.0,0.0
825,3,7.886958333240174e-05,7.886958333240174e-05,0.0,0.0
825,4,6.48317297677793e-05,6.48317297677793e-05,0.0,0.0
826,1,7.843216818390698e-05,7.843216818390698e-05,0.0,0.0
826,2,8.6879067006881e-05,8.6879067006881e-05,0.0,0.0
826,3,9.418734223437536e-05,9.418734223437536e-05,0.0,0.0
826,4,8.578330761253609e-05,8.578330761253609e-05,0.0,0.0
827,1,0.00011594534535995171,0.00011594534535995171,0.0,0.0
827,2,0.00012272367587785302,0.00012272367587785302,0.0,0.0
827,3,0.00011321122829478379,0.00011321122829478379,0.0,0.0
827,4,0.00010791353678133074,0.00010791353678133074,0.0,0.0
828,1,0.00012728011644959355,0.00012728011644959355,0.0,0.0
828,2,0.00012867496770492672,0.00012867496770492672,0.0,0.0
828,3,0.00012351369679037243,0.00012351369679037243,0.0,0.0
828,4,0.00011925596631139103,0.00011925596631139103,0.0,0.0
829,1,0.00013444317700651804,0.00013444317700651804,0.0,0.0
829,2,0.00014786655783710482,0.00014786655783710482,0.0,0.0
829,3,0.00015869857198718646,0.00015869857198718646,0.0,0.0
829,4,0.00014291496217317355,0.00014291496217317355,0.0,0.0
830,1,0.00015899798053958426,0.00015899798053958426,0.0,0.0
830,2,0.00018852510656378177,0.00018852510656378177,0.0,0.0
830,3,0.00017541281930737258,0.00017541281930737258,0.0,0.0
830,4,0.00016943696060648733,0.00016943696060648733,0.0,0.0
831,1,0.00019177784620923757,0.00019177784620923757,0.0,0.0
831,2,0.00019872370984547056,0.00019872370984547056,0.0,0.0
831,3,0.0001874151571696554,0.0001874151571696554,0.0,0.0
831,4,0.00018167207777006422,0.00018167207777006422,0.0,0.0
832,1,0.00020277839089961777,0.00020277839089961777,0.0,0.0
832,2,0.0002051732189812577,0.0002051732189812577,0.0,0.0
832,3,0.00019746892430884134,0.00019746892430884134,0.0,0.0
832,4,0.00019246279138699908,0.00019246279138699908,0.0,0.0
833,1,0.00026029469098029403,0.00026029469098029403,0.0,0.0
833,2,0.000283125441964312,0.000283125441964312,0.0,0.0
833,3,0.00029402411338094557,0.00029402411338094557,0.0,0.0
833,4,0.00027500517251353556,0.00027500517251353556,0.0,0.0
834,1,0.00029609234104071165,0.00029609234104071165,0.0,0.0
834,2,0.0003160684487048246,0.0003160684487048246,0.0,0.0
834,3,0.00031061235337885617,0.00031061235337885617,0.0,0.0
834,4,0.0003054783303653817,0.0003054783303653817,0.0,0.0
835,1,0.0003182571513758977,0.0003182571513758977,0.0,0.0
835,2,0.00033051429164259014,0.00033051429164259014,0.0,0.0
835,3,0.0003192912295340113,0.0003192912295340113,0.0,0.0
835,4,0.0003111295305589158,0.0003111295305589158,0.0,0.0
836,1,0.00034531263857893535,0.00034531263857893535,0.0,0.0
836,2,0.000363046256012878,0.000363046256012878,0.0,0.0
836,3,0.0003471979134039406,0.0003471979134039406,0.0,0.0
836,4,0.0003306909127947192,0.0003306909127947192,0.0,0.0
837,1,0.00041364855913275417,0.00041364855913275417,0.0,0.0
837,2,0.0004267196846899131,0.0004267196846899131,0.0,0.0
837,3,0.0004479392936154869,0.0004479392936154869,0.0,0.0
837,4,0.0004324735171727173,0.0004324735171727173,0.0,0.0
838,1,0.0004402292908393164,0.0004402292908393164,0.0,0.0
838,2,0.00045519047857444,0.00045519047857444,0.0,0.0
838,3,0.0004826455752697241,0.0004826455752697241,0.0,0.0
838,4,0.0004601604351102235,0.0004601604351102235,0.0,0.0
839,1,0.0004995758048896581,0.0004995758048896581,0.0,0.0
839,2,0.0005188041887643965,0.0005188041887643965,0.0,0.0
839,3,0.0005008333987705993,0.0005008333987705993,0.0,0.0
839,4,0.00048391392061827447,0.00048391392061827447,0.0,0.0
840,1,0.0005381176555951028,0.0005381176555951028,0.0,0.0
840,2,0.0005533885494019076,0.0005533885494019076,0.0,0.0
840,3,0.0005468124639680916,0.0005468124639680916,0.0,0.0
840,4,0.0005247643560687996,0.0005247643560687996,0.0,0.0
841,1,0.0005551696379504799,0.0005551696379504799,0.0,0.0
841,2,0.0005694014722108545,0.0005694014722108545,0.0,0.0
841,3,0.0005716329499894738,0.0005716329499894738,0.0,0.0
841,4,0.0005608046403708081,0.0005608046403708081,0.0,0.0
842,1,0.0005950904314635253,0.0005950904314635253,0.0,0.0
842,2,0.0006271071950879126,0.0006271071950879126,0.0,0.0
842,3,0.0006320178571289777,0.0006320178571289777,0.0,0.0
842,4,0.0005815989292280806,0.0005815989292280806,0.0,0.0
843,1,0.0006478601569040015,0.0006478601569040015,0.0,0.0
843,2,0.0006517309125456821,0.0006517309125456821,0.0,0.0
843,3,0.0006715484895071359,0.0006715484895071359,0.0,0.0
843,4,0.0006649091895038194,0.0006649091895038194,0.0,0.0
844,1,0.0006577680993365594,0.0006577680993365594,0.0,0.0
844,2,0.0006964194025308836,0.0006964194025308836,0.0,0.0
844,3,0.0007280357656458783,0.0007280357656458783,0.0,0.0
844,4,0.000675217063272355,0.000675217063272355,0.0,0.0
845,1,0.0007452822103047686,0.0007452822103047686,0.0,0.0
845,2,0.0007466084902422945,0.0007466084902422945,0.0,0.0
845,3,0.0007655410770954062,0.0007655410770954062,0.0,0.0
845,4,0.0007600914110095935,0.0007600914110095935,0.0,0.0
846,1,0.0007498243742705836,0.0007498243742705836,0.0,0.0
846,2,0.0007538993508664452,0.0007538993508664452,0.0,0.0
846,3,0.0007977583911942965,0.0007977583911942965,0.0,0.0
846,4,0.0007676971835084423,0.0007676971835084423,0.0,0.0
847,1,0.0008342985606630972,0.0008342985606630972,0.0,0.0
847,2,0.0008359137139866712,0.0008359137139866712,0.0,0.0
847,3,0.0008488926667258516,0.0008488926667258516,0.0,0.0
847,4,0.0008166521136760416,0.0008166521136760416,0.0,0.0
848,1,0.0008380413505858882,0.0008380413505858882,0.0,0.0
848,2,0.0008401218600433221,0.0008401218600433221,0.0,0.0
848,3,0.0008621822471220844,0.0008621822471220844,0.0,0.0
848,4,0.0008518885497133477,0.0008518885497133477,0.0,0.0
849,1,0.000881257033576098,0.000881257033576098,0.0,0.0
849,2,0.0009064764725397671,0.0009064764725397671,0.0,0.0
849,3,0.0009020749962235543,0.0009020749962235543,0.0,0.0
849,4,0.000874386406306466,0.000874386406306466,0.0,0.0
850,1,0.0009096038694658443,0.0009096038694658443,0.0,0.0
850,2,0.0009126030247143485,0.0009126030247143485,0.0,0.0
850,3,0.0009206232405307483,0.0009206232405307483,0.0,0.0
850,4,0.0009160239028354301,0.0009160239028354301,0.0,0.0
851,1,0.000912191616370914,0.000912191616370914,0.0,0.0
851,2,0.0009511573152617912,0.0009511573152617912,0.0,0.0
851,3,0.0009460811373050148,0.0009460811373050148,0.0,0.0
851,4,0.0009262707273516642,0.0009262707273516642,0.0,0.0
852,1,0.0009642998702538784,0.0009642998702538784,0.0,0.0
852,2,0.0009716987038549659,0.0009716987038549659,0.0,0.0
852,3,0.0009715013810529499,0.0009715013810529499,0.0,0.0
852,4,0.0009626499662475836,0.0009626499662475836,0.0,0.0
853,1,0.0009743904672659063,0.0009743904672659063,0.0,0.0
853,2,0.0009850718708408744,0.0009850718708408744,0.0,0.0
853,3,0.000982324568480697,0.000982324568480697,0.0,0.0
853,4,0.0009740332476791913,0.0009740332476791913,0.0,0.0
854,1,0.000998612249616453,0.000998612249616453,0.0,0.0
854,2,0.0010100647648534852,0.0010100647648534852,0.0,0.0
854,3,0.0010212856649406753,0.0010212856649406753,0.0,0.0
854,4,0.000992951721870291,0.000992951721870291,0.0,0.0
855,1,0.001013656832590251,0.001013656832590251,0.0,0.0
855,2,0.0010176417058976705,0.0010176417058976705,0.0,0.0
855,3,0.0010245748523468258,0.0010245748523468258,0.0,0.0
855,4,0.0010218773419837161,0.0010218773419837161,0.0,0.0
856,1,0.0010257747007620215,0.0010257747007620215,0.0,0.0
856,2,0.001038103896727497,0.001038103896727497,0.0,0.0
856,3,0.0010567958508418105,0.0010567958508418105,0.0,0.0
856,4,0.0010263277092719303,0.0010263277092719303,0.0,0.0
857,1,0.0010493637244576074,0.0010493637244576074,0.0,0.0
857,2,0.0010494623560328865,0.0010494623560328865,0.0,0.0
857,3,0.0010567319820485653,0.0010567319820485653,0.0,0.0
857,4,0.0010568089597913616,0.0010568089597913616,0.0,0.0
858,1,0.0010527537498032855,0.0010527537498032855,0.0,0.0
858,2,0.0010613411013291817,0.0010613411013291817,0.0,0.0
858,3,0.00107929075465235,0.00107929075465235,0.0,0.0
858,4,0.0010566468217240415,0.0010566468217240415,0.0,0.0
859,1,0.0010672430025959224,0.0010672430025959224,0.0,0.0
859,2,0.0010745915755165211,0.0010745915755165211,0.0,0.0
859,3,0.0010784779881448897,0.0010784779881448897,0.0,0.0
859,4,0.0010790108888612793,0.0010790108888612793,0.0,0.0
860,1,0.001074660446566369,0.001074660446566369,0.0,0.0
860,2,0.001079584145775719,0.001079584145775719,0.0,0.0
860,3,0.0010781349121614246,0.0010781349121614246,0.0,0.0
860,4,0.001078199293448899,0.001078199293448899,0.0,0.0
861,1,0.0010848177996369101,0.0010848177996369101,0.0,0.0
861,2,0.0010908939666843085,0.0010908939666843085,0.0,0.0
861,3,0.0010967942424582149,0.0010967942424582149,0.0,0.0
861,4,0.0010971755915363147,0.0010971755915363147,0.0,0.0
862,1,0.0010945632612135397,0.0010945632612135397,0.0,0.0
862,2,0.0010955792792921042,0.0010955792792921042,0.0,0.0
862,3,0.0010962303396434142,0.0010962303396434142,0.0,0.0
862,4,0.0010964573037113268,0.0010964573037113268,0.0,0.0
863,1,0.0010980223890609394,0.0010980223890609394,0.0,0.0
863,2,0.0011036558689645664,0.0011036558689645664,0.0,0.0
863,3,0.001108241353220035,0.001108241353220035,0.0,0.0
863,4,0.0010995577308566295,0.0010995577308566295,0.0,0.0
864,1,0.0011067490120509858,0.0011067490120509858,0.0,0.0
864,2,0.0011081627893752323,0.0011081627893752323,0.0,0.0
864,3,0.0011081538865583263,0.0011081538865583263,0.0,0.0
864,4,0.0011081951015077091,0.0011081951015077091,0.0,0.0
865,1,0.0011087045433238445,0.0011087045433238445,0.0,0.0
865,2,0.0011118796837659263,0.0011118796837659263,0.0,0.0
865,3,0.0011129821973562995,0.0011129821973562995,0.0,0.0
865,4,0.0011100157461551232,0.0011100157461551232,0.0,0.0
866,1,0.001114588593138679,0.001114588593138679,0.0,0.0
866,2,0.0011165184277746479,0.0011165184277746479,0.0,0.0
866,3,0.0011162612586384675,0.0011162612586384675,0.0,0.0
866,4,0.0011151573484607048,0.0011151573484607048,0.0,0.0
867,1,0.0011171435273180695,0.0011171435273180695,0.0,0.0
867,2,0.0011203690112304896,0.0011203690112304896,0.0,0.0
867,3,0.0011208638184789232,0.0011208638184789232,0.0,0.0
867,4,0.00111689134319883,0.00111689134319883,0.0,0.0
868,1,0.001122830163404088,0.001122830163404088,0.0,0.0
868,2,0.0011244789632558528,0.0011244789632558528,0.0,0.0
868,3,0.001124515557446863,0.001124515557446863,0.0,0.0
868,4,0.0011237329456984556,0.0011237329456984556,0.0,0.0
869,1,0.0011260036386297157,0.0011260036386297157,0.0,0.0
869,2,0.0011291440182452117,0.0011291440182452117,0.0,0.0
869,3,0.0011288757464460823,0.0011288757464460823,0.0,0.0
869,4,0.0011253196607628195,0.0011253196607628195,0.0,0.0
870,1,0.0011318613999612784,0.0011318613999612784,0.0,0.0
870,2,0.0011337316316121007,0.0011337316316121007,0.0,0.0
870,3,0.0011341178332019844,0.0011341178332019844,0.0,0.0
870,4,0.001132103146582338,0.001132103146582338,0.0,0.0
871,1,0.0011344759831170496,0.0011344759831170496,0.0,0.0
871,2,0.0011368336556981207,0.0011368336556981207,0.0,0.0
871,3,0.0011363038562535316,0.0011363038562535316,0.0,0.0
871,4,0.0011341421422223846,0.0011341421422223846,0.0,0.0
872,1,0.001140329558295855,0.001140329558295855,0.0,0.0
872,2,0.001146328326082632,0.001146328326082632,0.0,0.0
872,3,0.001146525718029767,0.001146525718029767,0.0,0.0
872,4,0.0011400095564980917,0.0011400095564980917,0.0,0.0
873,1,0.0011493343586841485,0.0011493343586841485,0.0,0.0
873,2,0.0011515510102554924,0.0011515510102554924,0.0,0.0
873,3,0.001151084195684492,0.001151084195684492,0.0,0.0
873,4,0.0011497050775211176,0.0011497050775211176,0.0,0.0
874,1,0.0011524587340846057,0.0011524587340846057,0.0,0.0
874,2,0.0011573535369732448,0.0011573535369732448,0.0,0.0
874,3,0.001156665951767412,0.001156665951767412,0.0,0.0
874,4,0.001151806116862967,0.001151806116862967,0.0,0.0
875,1,0.0011645134571563274,0.0011645134571563274,0.0,0.0
875,2,0.001174910464925473,0.001174910464925473,0.0,0.0
875,3,0.0011750077154554128,0.0011750077154554128,0.0,0.0
875,4,0.0011640997849724811,0.0011640997849724811,0.0,0.0
876,1,0.0011793559581492695,0.0011793559581492695,0.0,0.0
876,2,0.001181857523084844,0.001181857523084844,0.0,0.0
876,3,0.0011812098333172333,0.0011812098333172333,0.0,0.0
876,4,0.0011795967743682108,0.0011795967743682108,0.0,0.0
877,1,0.0011837992888517146,0.0011837992888517146,0.0,0.0
877,2,0.001193007616171317,0.001193007616171317,0.0,0.0
877,3,0.0011930533260034212,0.0011930533260034212,0.0,0.0
877,4,0.0011834240966955417,0.0011834240966955417,0.0,0.0
878,1,0.0012049055289263966,0.0012049055289263966,0.0,0.0
878,2,0.0012196891848926434,0.0012196891848926434,0.0,0.0
878,3,0.0012211963035381503,0.0012211963035381503,0.0,0.0
878,4,0.001205726299839381,0.001205726299839381,0.0,0.0
879,1,0.0012249735449238305,0.0012249735449238305,0.0,0.0
879,2,0.0012289187610389917,0.0012289187610389917,0.0,0.0
879,3,0.0012272878637568719,0.0012272878637568719,0.0,0.0
879,4,0.0012263693627335413,0.0012263693627335413,0.0,0.0
880,1,0.001230443689044004,0.001230443689044004,0.0,0.0
880,2,0.0012337665519742017,0.0012337665519742017,0.0,0.0
880,3,0.0012214325078829323,0.0012214325078829323,0.0,0.0
880,4,0.0012255266255975633,0.0012255266255975633,0.0,0.0
881,1,3.19901001360106e-05,3.19901001360106e-05,0.0,0.0
881,2,3.1335473031709184e-05,3.1335473031709184e-05,0.0,0.0
881,3,3.115436852768685e-05,3.115436852768685e-05,0.0,0.0
881,4,3.1964216372709545e-05,3.1964216372709545e-05,0.0,0.0
882,1,3.1277718398960205e-05,3.1277718398960205e-05,0.0,0.0
882,2,3.132206275617511e-05,3.132206275617511e-05,0.0,0.0
882,3,3.0505576056704583e-05,3.0505576056704583e-05,0.0,0.0
882,4,3.1098877999335046e-05,3.1098877999335046e-05,0.0,0.0
883,1,2.8235041962053423e-05,2.8235041962053423e-05,0.0,0.0
883,2,2.5201492050634116e-05,2.5201492050634116e-05,0.0,0.0
883,3,2.441702569317495e-05,2.441702569317495e-05,0.0,0.0
883,4,2.880684720329376e-05,2.880684720329376e-05,0.0,0.0
884,1,1.63028469268483e-05,1.63028469268483e-05,0.0,0.0
884,2,1.6107393000041334e-05,1.6107393000041334e-05,0.0,0.0
884,3,1.602575703997916e-05,1.602575703997916e-05,0.0,0.0
884,4,2.105931045201093e-05,2.105931045201093e-05,0.0,0.0
885,1,1.6114222063565888e-05,1.6114222063565888e-05,0.0,0.0
885,2,1.611829276934386e-05,1.611829276934386e-05,0.0,0.0
885,3,1.6040957318714077e-05,1.6040957318714077e-05,0.0,0.0
885,4,1.6026142249041453e-05,1.6026142249041453e-05,0.0,0.0
886,1,1.1636305032468405e-05,1.1636305032468405e-05,0.0,0.0
886,2,8.998331322301982e-06,8.998331322301982e-06,0.0,0.0
886,3,9.765436611700242e-06,9.765436611700242e-06,0.0,0.0
886,4,1.2272412620025936e-05,1.2272412620025936e-05,0.0,0.0
887,1,7.607379685856197e-06,7.607379685856197e-06,0.0,0.0
887,2,6.759910045317333e-06,6.759910045317333e-06,0.0,0.0
887,3,6.883331129388323e-06,6.883331129388323e-06,0.0,0.0
887,4,6.893348068022722e-06,6.893348068022722e-06,0.0,0.0
888,1,6.542652525240477e-06,6.542652525240477e-06,0.0,0.0
888,2,5.087081701811939e-06,5.087081701811939e-06,0.0,0.0
888,3,4.931314994421411e-06,4.931314994421411e-06,0.0,0.0
888,4,6.887644999784933e-06,6.887644999784933e-06,0.0,0.0
889,1,3.6067724609380335e-06,3.6067724609380335e-06,0.0,0.0
889,2,2.7014187420671575e-06,2.7014187420671575e-06,0.0,0.0
889,3,2.594184672571124e-06,2.594184672571124e-06,0.0,0.0
889,4,3.954330483566818e-06,3.954330483566818e-06,0.0,0.0
890,1,2.5501587507525157e-06,2.5501587507525157e-06,0.0,0.0
890,2,2.2877232502348238e-06,2.2877232502348238e-06,0.0,0.0
890,3,2.5886640209082804e-06,2.5886640209082804e-06,0.0,0.0
890,4,2.5931524697178412e-06,2.5931524697178412e-06,0.0,0.0
891,1,2.0108713520638772e-06,2.0108713520638772e-06,0.0,0.0
891,2,1.7402384752938618e-06,1.7402384752938618e-06,0.0,0.0
891,3,2.581849314225373e-06,2.581849314225373e-06,0.0,0.0
891,4,2.585125807793509e-06,2.585125807793509e-06,0.0,0.0
892,1,1.1609190301857865e-06,1.1609190301857865e-06,0.0,0.0
892,2,1.2307409321707883e-06,1.2307409321707883e-06,0.0,0.0
892,3,1.4140863745387558e-06,1.4140863745387558e-06,0.0,0.0
892,4,1.4217165985760486e-06,1.4217165985760486e-06,0.0,0.0
893,1,1.3456177792502717e-06,1.3456177792502717e-06,0.0,0.0
893,2,1.335862444636161e-06,1.335862444636161e-06,0.0,0.0
893,3,1.3992298519542824e-06,1.3992298519542824e-06,0.0,0.0
893,4,1.4069037070409301e-06,1.4069037070409301e-06,0.0,0.0
894,1,1.3405225479272957e-06,1.3405225479272957e-06,0.0,0.0
894,2,2.7945969520326356e-06,2.7945969520326356e-06,0.0,0.0
894,3,3.212720662103519e-06,3.212720662103519e-06,0.0,0.0
894,4,1.3982293371057392e-06,1.3982293371057392e-06,0.0,0.0
895,1,3.9030360963579055e-06,3.9030360963579055e-06,0.0,0.0
895,2,5.3401903040311985e-06,5.3401903040311985e-06,0.0,0.0
895,3,5.703154048755292e-06,5.703154048755292e-06,0.0,0.0
895,4,4.033100005737526e-06,4.033100005737526e-06,0.0,0.0
896,1,5.920524868547599e-06,5.920524868547599e-06,0.0,0.0
896,2,6.378789334635901e-06,6.378789334635901e-06,0.0,0.0
896,3,5.886150871956974e-06,5.886150871956974e-06,0.0,0.0
896,4,5.816452337890389e-06,5.816452337890389e-06,0.0,0.0
897,1,6.860586345887014e-06,6.860586345887014e-06,0.0,0.0
