element,integration_point,H_old,H_actual,H_actual_minus_H_old,abs_H_actual_minus_H_old
68,1,0.001128790719855488,0.001128790719855488,0.0,0.0
68,2,0.0011342525862598476,0.0011342525862598476,0.0,0.0
68,3,0.001136141515792393,0.001136141515792393,0.0,0.0
68,4,0.0011288093794747083,0.0011288093794747083,0.0,0.0
69,1,0.0011371111527614178,0.0011371111527614178,0.0,0.0
69,2,0.001139124265657581,0.001139124265657581,0.0,0.0
69,3,0.0011413403465182917,0.0011413403465182917,0.0,0.0
69,4,0.0011395276278758281,0.0011395276278758281,0.0,0.0
70,1,0.0011486869746561046,0.0011486869746561046,0.0,0.0
70,2,0.001152769397563834,0.001152769397563834,0.0,0.0
70,3,0.0011501378387642257,0.0011501378387642257,0.0,0.0
70,4,0.001145616890199018,0.001145616890199018,0.0,0.0
71,1,0.001157465976446549,0.001157465976446549,0.0,0.0
71,2,0.0011647158223214824,0.0011647158223214824,0.0,0.0
71,3,0.0011662227399353627,0.0011662227399353627,0.0,0.0
71,4,0.0011562832554682257,0.0011562832554682257,0.0,0.0
72,1,0.0011691037838208486,0.0011691037838208486,0.0,0.0
72,2,0.0011726659938162932,0.0011726659938162932,0.0,0.0
72,3,0.0011756124916874131,0.0011756124916874131,0.0,0.0
72,4,0.001171843924087767,0.001171843924087767,0.0,0.0
73,1,0.0011848603239583446,0.0011848603239583446,0.0,0.0
73,2,0.0011892039626962285,0.0011892039626962285,0.0,0.0
73,3,0.0011848924036573808,0.0011848924036573808,0.0,0.0
73,4,0.001180673653296494,0.001180673653296494,0.0,0.0
74,1,0.0011950318943886036,0.0011950318943886036,0.0,0.0
74,2,0.001205455856311298,0.001205455856311298,0.0,0.0
74,3,0.0012062924070487817,0.0012062924070487817,0.0,0.0
74,4,0.001192078263480657,0.001192078263480657,0.0,0.0
75,1,0.0012127053871973555,0.0012127053871973555,0.0,0.0
75,2,0.0012193696950850547,0.0012193696950850547,0.0,0.0
75,3,0.0012237523674542045,0.0012237523674542045,0.0,0.0
75,4,0.0012160042575285958,0.0012160042575285958,0.0,0.0
76,1,0.0012216809783823644,0.0012216809783823644,0.0,0.0
76,2,0.0012418380281747322,0.0012418380281747322,0.0,0.0
76,3,0.0012352734788092462,0.0012352734788092462,0.0,0.0
76,4,0.001225662178532182,0.001225662178532182,0.0,0.0
77,1,0.001248964653200606,0.001248964653200606,0.0,0.0
77,2,0.0012634803202769382,0.0012634803202769382,0.0,0.0
77,3,0.0012629024426539415,0.0012629024426539415,0.0,0.0
77,4,0.0012434790532352188,0.0012434790532352188,0.0,0.0
78,1,0.0012749188912682934,0.0012749188912682934,0.0,0.0
78,2,0.001286720154665525,0.001286720154665525,0.0,0.0
78,3,0.0012932430641181274,0.0012932430641181274,0.0,0.0
78,4,0.0012786144585519108,0.0012786144585519108,0.0,0.0
79,1,0.0012913975183608964,0.0012913975183608964,0.0,0.0
79,2,0.0012935819948183855,0.0012935819948183855,0.0,0.0
79,3,0.0012985267935276697,0.0012985267935276697,0.0,0.0
79,4,0.0012977448927280716,0.0012977448927280716,0.0,0.0
80,1,0.0012933482497750454,0.0012933482497750454,0.0,0.0
80,2,0.0013003982946167736,0.0013003982946167736,0.0,0.0
80,3,0.001300607045122079,0.001300607045122079,0.0,0.0
80,4,0.0013013087269557082,0.0013013087269557082,0.0,0.0
81,1,3.7762322948316576e-05,3.7762322948316576e-05,0.0,0.0
81,2,3.349185407551186e-05,3.349185407551186e-05,0.0,0.0
81,3,3.348759158454974e-05,3.348759158454974e-05,0.0,0.0
81,4,3.7759529044696976e-05,3.7759529044696976e-05,0.0,0.0
82,1,3.137917014073506e-05,3.137917014073506e-05,0.0,0.0
82,2,3.1596993103474036e-05,3.1596993103474036e-05,0.0,0.0
82,3,3.2287150172796735e-05,3.2287150172796735e-05,0.0,0.0
82,4,3.232476967913685e-05,3.232476967913685e-05,0.0,0.0
83,1,3.1164977350799116e-05,3.1164977350799116e-05,0.0,0.0
83,2,2.9017974356780036e-05,2.9017974356780036e-05,0.0,0.0
83,3,2.9845901171345998e-05,2.9845901171345998e-05,0.0,0.0
83,4,3.200094629304464e-05,3.200094629304464e-05,0.0,0.0
84,1,2.5977136853637047e-05,2.5977136853637047e-05,0.0,0.0
84,2,2.0685427369692054e-05,2.0685427369692054e-05,0.0,0.0
