node,x,y,d_F1,d_D3A5,d_D3A5_minus_d_F1,active_lower_bound,residual_Kd_minus_f
3908,0.25,0.08750000000000002,0.01068907890264199,0.01068907890264199,0.0,True,-6.88214269644119e-22
3909,0.26249999999999996,0.08750000000000002,0.01060736994821464,0.01060736994821464,0.0,True,2.1875862854389064e-09
3910,0.275,0.08750000000000002,0.010517190032940452,0.010517190032940452,0.0,True,1.0587911840678754e-22
3911,0.2875,0.08750000000000002,0.010449145952822675,0.010449145952822675,0.0,True,-5.293955920339377e-23
3912,0.30000000000000004,0.08750000000000002,0.010397709470246201,0.010397709470246201,0.0,True,1.304145742239771e-09
3913,0.3125,0.08750000000000002,0.010328699555522998,0.010328699555522998,0.0,True,1.5881867761018131e-22
3914,0.32499999999999996,0.08750000000000002,0.010275372345067833,0.010275372345067833,0.0,True,-2.117582368135751e-22
3915,0.3375,0.08750000000000002,0.010244943075198453,0.010244943075198453,0.0,True,1.4988748680085521e-09
3916,0.35,0.08750000000000002,0.010206239894378206,0.010206239894378206,0.0,True,2.9157699345268783e-09
3917,0.36250000000000004,0.08750000000000002,0.010127779555385371,0.010127779555385371,0.0,True,3.1763735522036263e-22
3918,0.375,0.08750000000000002,0.010063096256681357,0.010063096256681357,0.0,True,1.5881867761018131e-22
3919,0.38749999999999996,0.08750000000000002,0.009993894613432457,0.009993894613432457,0.0,True,-5.293955920339377e-23
3920,0.4,0.08750000000000002,0.009918130357301677,0.009918130357301677,0.0,True,7.90230655982955e-10
3921,0.4125,0.08750000000000002,0.009819707691603816,0.009819707691603816,0.0,True,-2.117582368135751e-22
3922,0.42500000000000004,0.08750000000000002,0.009742404578532753,0.009742404578532753,0.0,True,5.654368803551269e-09
3923,0.4375,0.08750000000000002,0.009572864009746971,0.009572864009746971,0.0,True,2.060970715265939e-09
3924,0.44999999999999996,0.08750000000000002,0.00939344605249847,0.00939344605249847,0.0,True,0.0
3925,0.4625,0.08750000000000002,0.009253016088075166,0.009253016088075166,0.0,True,3.780699452229454e-09
3926,0.475,0.08750000000000002,0.009096107827905507,0.009096107827905507,0.0,True,2.8306452693904545e-09
3927,0.48750000000000004,0.08750000000000002,0.008985624104328994,0.008985624104328994,0.0,True,5.894673672814594e-09
3928,0.5,0.08750000000000002,0.008906099363103132,0.008906099363103132,0.0,True,1.4175075657224048e-09
3929,-0.5,0.09999999999999998,2.576079168604758e-05,2.576079168604758e-05,0.0,True,-5.169878828456423e-25
3930,-0.4875,0.09999999999999998,2.752104738758879e-05,2.752104738758879e-05,0.0,True,1.149403751173049e-10
3931,-0.475,0.09999999999999998,3.0277881388325926e-05,3.0277881388325926e-05,0.0,True,-8.271806125530277e-25
3932,-0.4625,0.09999999999999998,3.666878786439671e-05,3.666878786439671e-05,0.0,True,-1.0339757656912846e-25
3933,-0.45,0.09999999999999998,4.409088826280126e-05,4.409088826280126e-05,0.0,True,1.946427133682587e-11
3934,-0.4375,0.09999999999999998,5.0531598141818134e-05,5.0531598141818134e-05,0.0,True,1.2407709188295415e-24
3935,-0.425,0.09999999999999998,5.919484095294055e-05,5.919484095294055e-05,0.0,True,-2.0679515313825692e-25
3936,-0.4125,0.09999999999999998,6.814354108420598e-05,6.814354108420598e-05,0.0,True,-8.271806125530277e-25
3937,-0.4,0.09999999999999998,7.525662173981097e-05,7.525662173981097e-05,0.0,True,2.481541837659083e-24
3938,-0.3875,0.09999999999999998,8.344835157839642e-05,8.344835157839642e-05,0.0,True,1.6543612251060553e-24
3939,-0.375,0.09999999999999998,9.132004095593801e-05,9.132004095593801e-05,0.0,True,2.481541837659083e-24
3940,-0.3625,0.09999999999999998,9.661055611794308e-05,9.661055611794308e-05,0.0,True,0.0
3941,-0.35,0.09999999999999998,0.0001016485288047192,0.0001016485288047192,0.0,True,6.617444900424222e-24
3942,-0.3375,0.09999999999999998,0.000105686282089998,0.000105686282089998,0.0,True,-5.37667398159468e-24
3943,-0.325,0.09999999999999998,0.00010705023247154004,0.00010705023247154004,0.0,True,-5.790264287871194e-24
3944,-0.3125,0.09999999999999998,0.00010546650196308992,0.00010546650196308992,0.0,True,-2.481541837659083e-24
3945,-0.3,0.09999999999999998,0.00010221500016464713,0.00010221500016464713,0.0,True,-2.0679515313825692e-24
