event_index,previous_global_frame,current_global_frame,odb_element,odb_integration_point,mapped_physical_element,previous_sdv16,current_sdv16,sdv16_signed_change,sdv16_decrease_gt_tolerance
153,196,197,84152,3,16448,208.39920043945312,208.39920043945312,0,false
154,199,200,84711,2,17007,166.05282592773438,166.05282592773438,0,false
155,188,189,84138,3,16434,201.57673645019531,201.57673645019531,0,false
156,184,185,84135,3,16431,202.22296142578125,202.22296142578125,0,false
157,194,195,84130,4,16426,150.66653442382812,150.66653442382812,0,false
158,198,199,84705,2,17001,172.22897338867188,172.22897338867188,0,false
159,199,200,84708,2,17004,166.87815856933594,166.87815856933594,0,false
160,193,194,84147,4,16443,199.17453002929688,199.17453002929688,0,false
161,189,190,84140,3,16436,202.16455078125,202.16455078125,0,false
162,196,197,84152,4,16448,213.85627746582031,213.85627746582031,0,false
163,188,189,84132,3,16428,268.68121337890625,268.68121337890625,0,false
164,193,194,84151,3,16447,202.69166564941406,202.69166564941406,0,false
165,196,197,84705,2,17001,172.22897338867188,172.22897338867188,0,false
166,196,197,84151,4,16447,205.09544372558594,205.09544372558594,0,false
167,186,187,84133,3,16429,209.57473754882812,209.57473754882812,0,false
168,191,192,84143,3,16439,201.6207275390625,201.6207275390625,0,false
169,188,189,84142,4,16438,201.68635559082031,201.68635559082031,0,false
170,191,192,84147,4,16443,199.17453002929688,199.17453002929688,0,false
171,191,192,84131,4,16427,220.88490295410156,220.88490295410156,0,false
172,189,190,84144,4,16440,200.74501037597656,200.74501037597656,0,false
173,182,183,84134,3,16430,204.5533447265625,204.5533447265625,0,false
174,198,199,84709,2,17005,166.13581848144531,166.13581848144531,0,false
175,198,199,84705,1,17001,174.6923828125,174.6923828125,0,false
176,192,193,84145,3,16441,200.65788269042969,200.65788269042969,0,false
177,192,193,84149,4,16445,199.93708801269531,199.93708801269531,0,false
178,188,189,84137,4,16433,201.32418823242188,201.32418823242188,0,false
179,199,200,84712,1,17008,171.70074462890625,171.70074462890625,0,false
180,199,200,84708,1,17004,170.177734375,170.177734375,0,false
181,186,187,84140,3,16436,202.16455078125,202.16455078125,0,false
182,184,185,84135,4,16431,202.06367492675781,202.06367492675781,0,false
183,189,190,84139,4,16435,201.52493286132812,201.52493286132812,0,false
184,198,199,84704,2,17000,175.920654296875,175.920654296875,0,false
185,185,186,84678,1,16974,712.0478515625,970.1663818359375,258.1185302734375,false
186,183,184,84136,3,16432,201.05180358886719,201.05180358886719,0,false
187,195,196,84150,3,16446,200.54454040527344,200.54454040527344,0,false
188,191,192,84142,4,16438,201.68635559082031,201.68635559082031,0,false
189,193,194,84147,3,16443,199.681640625,199.681640625,0,false
190,195,196,84701,2,16997,192.02128601074219,192.02128601074219,0,false
191,196,197,84706,1,17002,171.89523315429688,171.89523315429688,0,false
192,195,196,84702,1,16998,188.8824462890625,188.8824462890625,0,false
193,187,188,84139,3,16435,202.00167846679688,202.00167846679688,0,false
194,188,189,84678,1,16974,1262.5372314453125,1366.3177490234375,103.780517578125,false
195,198,199,84700,2,16996,201.78329467773438,201.78329467773438,0,false
196,199,200,84707,2,17003,168.27008056640625,168.27008056640625,0,false
197,187,188,84138,4,16434,201.40493774414062,201.40493774414062,0,false
198,198,199,84701,1,16997,197.03854370117188,197.03854370117188,0,false
199,197,198,84131,3,16427,232.453857421875,232.453857421875,0,false
200,195,196,84701,1,16997,197.03854370117188,197.03854370117188,0,false
201,198,199,84704,1,17000,177.920654296875,177.920654296875,0,false
202,192,193,84144,4,16440,200.74501037597656,200.74501037597656,0,false
203,187,188,84139,4,16435,201.52493286132812,201.52493286132812,0,false
204,198,199,84710,1,17006,170.86392211914062,170.86392211914062,0,false
205,187,188,84132,3,16428,268.68121337890625,268.68121337890625,0,false
206,192,193,84131,4,16427,220.88490295410156,220.88490295410156,0,false
207,191,192,84148,3,16444,199.46234130859375,199.46234130859375,0,false
208,182,183,84131,4,16427,220.88490295410156,220.88490295410156,0,false
209,195,196,84702,2,16998,185.27032470703125,185.27032470703125,0,false
210,188,189,84143,3,16439,201.6207275390625,201.6207275390625,0,false
211,184,185,84136,3,16432,201.05180358886719,201.05180358886719,0,false
212,189,190,84145,3,16441,200.65788269042969,200.65788269042969,0,false
213,198,199,84703,2,16999,179.57609558105469,179.57609558105469,0,false
214,195,196,84152,4,16448,213.85627746582031,213.85627746582031,0,false
215,185,186,84138,4,16434,201.40493774414062,201.40493774414062,0,false
216,187,188,84138,3,16434,201.57673645019531,201.57673645019531,0,false
217,188,189,84137,3,16433,201.17720031738281,201.17720031738281,0,false
218,197,198,84130,4,16426,150.66653442382812,150.66653442382812,0,false
219,193,194,84146,4,16442,199.54803466796875,199.54803466796875,0,false
220,187,188,84140,3,16436,202.16455078125,202.16455078125,0,false
221,195,196,84149,4,16445,199.93708801269531,199.93708801269531,0,false
222,198,199,84700,1,16996,211.63626098632812,211.63626098632812,0,false
223,189,190,84139,3,16435,202.00167846679688,202.00167846679688,0,false
224,198,199,84703,1,16999,182.79682922363281,182.79682922363281,0,false
225,199,200,84707,1,17003,170.42758178710938,170.42758178710938,0,false
226,195,196,84703,1,16999,182.79682922363281,182.79682922363281,0,false
227,190,191,84144,3,16440,201.16105651855469,201.16105651855469,0,false
228,191,192,84142,3,16438,201.95980834960938,201.95980834960938,0,false
229,190,191,84143,4,16439,201.2158203125,201.2158203125,0,false
230,192,193,84150,3,16446,200.54454040527344,200.54454040527344,0,false
231,194,195,84677,1,16973,1204.7142333984375,1246.6710205078125,41.956787109375,false
232,198,199,84702,2,16998,185.27032470703125,185.27032470703125,0,false
233,198,199,84701,2,16997,192.02128601074219,192.02128601074219,0,false
234,187,188,84137,4,16433,201.32418823242188,201.32418823242188,0,false
235,200,201,84131,3,16427,232.453857421875,232.453857421875,0,false
236,190,191,84144,4,16440,200.74501037597656,200.74501037597656,0,false
237,194,195,84150,4,16446,201.81407165527344,201.81407165527344,0,false
238,196,197,84151,3,16447,202.69166564941406,202.69166564941406,0,false
239,192,193,84144,3,16440,201.16105651855469,201.16105651855469,0,false
240,188,189,84136,4,16432,201.35389709472656,201.35389709472656,0,false
241,194,195,84151,3,16447,202.69166564941406,202.69166564941406,0,false
242,199,200,84712,2,17008,166.55763244628906,166.55763244628906,0,false
243,190,191,84143,3,16439,201.6207275390625,201.6207275390625,0,false
244,193,194,84131,4,16427,220.88490295410156,220.88490295410156,0,false
245,198,199,84702,1,16998,188.8824462890625,188.8824462890625,0,false
246,182,183,84134,4,16430,203.03425598144531,203.03425598144531,0,false
247,196,197,84706,2,17002,170.25126647949219,170.25126647949219,0,false
