step,frame,global_frame,step_time,rp_u2,rp_rf2,odb_element,odb_integration_point,source_storage_ip,mapped_physical_element,centroid_x,centroid_y,relation_to_worst_event,sdv14,sdv15,sdv16,abs_sdv14_minus_sdv15
Step-2,79,180,0.79411762952804565,0.0063499999232590199,0.7606428861618042,84132,2,2,16428,0.0015,-0.00050000035000000002,face_neighbor+crack_path_context,0.98866945505142212,0.98881196975708008,221.66049194335938,0.00014251470565795898
Step-2,79,180,0.79411762952804565,0.0063499999232590199,0.7606428861618042,84132,3,4,16428,0.0015,-0.00050000035000000002,face_neighbor+crack_path_context,0.99961239099502563,0.99960654973983765,266.5902099609375,5.8412551879882812e-06
Step-2,79,180,0.79411762952804565,0.0063499999232590199,0.7606428861618042,84132,4,3,16428,0.0015,-0.00050000035000000002,face_neighbor+crack_path_context,0.9996953010559082,0.99971777200698853,257.2901611328125,2.2470951080322266e-05
Step-2,79,180,0.79411762952804565,0.0063499999232590199,0.7606428861618042,84676,1,1,16972,-0.00050000000000000001,0.00050000000000000001,crack_path_context,0.89861214160919189,0.90016531944274902,42.356834411621094,0.0015531778335571289
Step-2,79,180,0.79411762952804565,0.0063499999232590199,0.7606428861618042,84676,2,2,16972,-0.00050000000000000001,0.00050000000000000001,crack_path_context,0.97365051507949829,0.97443121671676636,135.29702758789062,0.00078070163726806641
Step-2,79,180,0.79411762952804565,0.0063499999232590199,0.7606428861618042,84676,3,4,16972,-0.00050000000000000001,0.00050000000000000001,crack_path_context,0.86136013269424438,0.86271160840988159,7.7705473899841309,0.001351475715637207
Step-2,79,180,0.79411762952804565,0.0063499999232590199,0.7606428861618042,84676,4,3,16972,-0.00050000000000000001,0.00050000000000000001,crack_path_context,0.94420748949050903,0.94525998830795288,124.96173095703125,0.0010524988174438477
Step-2,79,180,0.79411762952804565,0.0063499999232590199,0.7606428861618042,84677,1,1,16973,0.00050000000000000001,0.00050000000000000001,face_neighbor+crack_path_context,1.0008103847503662,1.0012111663818359,217.54930114746094,0.00040078163146972656
Step-2,79,180,0.79411762952804565,0.0063499999232590199,0.7606428861618042,84677,2,2,16973,0.00050000000000000001,0.00050000000000000001,face_neighbor+crack_path_context,0.99997425079345703,1.0001094341278076,225.63937377929688,0.00013518333435058594
Step-2,79,180,0.79411762952804565,0.0063499999232590199,0.7606428861618042,84677,3,4,16973,0.00050000000000000001,0.00050000000000000001,face_neighbor+crack_path_context,0.97739994525909424,0.97822558879852295,220.78407287597656,0.00082564353942871094
Step-2,79,180,0.79411762952804565,0.0063499999232590199,0.7606428861618042,84677,4,3,16973,0.00050000000000000001,0.00050000000000000001,face_neighbor+crack_path_context,0.98523604869842529,0.98574084043502808,228.95542907714844,0.0005047917366027832
Step-2,79,180,0.79411762952804565,0.0063499999232590199,0.7606428861618042,84678,1,1,16974,0.0015,0.00050000000000000001,crack_path_context,0.99970197677612305,0.99975317716598511,281.7425537109375,5.1200389862060547e-05
Step-2,79,180,0.79411762952804565,0.0063499999232590199,0.7606428861618042,84678,2,2,16974,0.0015,0.00050000000000000001,crack_path_context,0.99979442358016968,0.99988174438476562,275.62094116210938,8.7320804595947266e-05
Step-2,79,180,0.79411762952804565,0.0063499999232590199,0.7606428861618042,84678,3,4,16974,0.0015,0.00050000000000000001,crack_path_context,0.98835480213165283,0.98874139785766602,244.89506530761719,0.00038659572601318359
