event_index,previous_step,previous_frame,previous_global_frame,previous_step_time,previous_rp_u2,previous_rp_rf2,current_step,current_frame,current_global_frame,current_step_time,current_rp_u2,current_rp_rf2,odb_element,odb_integration_point,odb_value_index,source_storage_ip,mapped_physical_element,mapped_u1_element,mapped_u2_element,centroid_x,centroid_y,distance_to_notch_tip,distance_to_ligament_y0,previous_sdv15,current_sdv15,signed_change,decrease_magnitude,previous_sdv14,current_sdv14,previous_sdv16,current_sdv16,sdv16_signed_change,previous_abs_sdv14_minus_sdv15,current_abs_sdv14_minus_sdv15,tolerance_bin,spatial_region,response_region,inside_connected_crack_corridor,preliminary_interpretation
1775,Step-2,97,198,0.97058820724487305,0.0066499998793005943,0.75183159112930298,Step-2,98,199,0.98235291242599487,0.0066700000315904617,0.75078326463699341,92341,2,98545,2,24637,24637,58489,0.020500000000000001,0.091632582700000006,0.093897711432560177,0.091632582700000006,0.038505900651216507,0.038505833595991135,-6.7055225372314453e-08,6.7055225372314453e-08,0.038505930453538895,0.038505863398313522,0.0068018799647688866,0.0068018799647688866,0,2.9802322387695312e-08,2.9802322387695312e-08,le_odb_precision_tol,off_ligament,late_post_peak,false,retained_precision_effect
1776,Step-2,98,199,0.98235291242599487,0.0066700000315904617,0.75078326463699341,Step-2,99,200,0.9941176176071167,0.0066900001838803291,0.74967306852340698,92341,2,98545,2,24637,24637,58489,0.020500000000000001,0.091632582700000006,0.093897711432560177,0.091632582700000006,0.038505833595991135,0.038505766540765762,-6.7055225372314453e-08,6.7055225372314453e-08,0.038505863398313522,0.038505800068378448,0.0068018799647688866,0.0068018799647688866,0,2.9802322387695312e-08,3.3527612686157227e-08,le_odb_precision_tol,off_ligament,late_post_peak,false,retained_precision_effect
1777,Step-2,97,198,0.97058820724487305,0.0066499998793005943,0.75183159112930298,Step-2,98,199,0.98235291242599487,0.0066700000315904617,0.75078326463699341,92342,1,98548,1,24638,24638,58490,0.021500000000000002,0.091632582700000006,0.094121093344012655,0.091632582700000006,0.03864847868680954,0.038648411631584167,-6.7055225372314453e-08,6.7055225372314453e-08,0.038648512214422226,0.038648445159196854,0.0068032657727599144,0.0068032657727599144,0,3.3527612686157227e-08,3.3527612686157227e-08,le_odb_precision_tol,off_ligament,late_post_peak,false,retained_precision_effect
1778,Step-2,97,198,0.97058820724487305,0.0066499998793005943,0.75183159112930298,Step-2,98,199,0.98235291242599487,0.0066700000315904617,0.75078326463699341,92342,2,98549,2,24638,24638,58490,0.021500000000000002,0.091632582700000006,0.094121093344012655,0.091632582700000006,0.03884086012840271,0.038840793073177338,-6.7055225372314453e-08,6.7055225372314453e-08,0.038840893656015396,0.038840826600790024,0.0068537578918039799,0.0068537578918039799,0,3.3527612686157227e-08,3.3527612686157227e-08,le_odb_precision_tol,off_ligament,late_post_peak,false,retained_precision_effect
1779,Step-2,98,199,0.98235291242599487,0.0066700000315904617,0.75078326463699341,Step-2,99,200,0.9941176176071167,0.0066900001838803291,0.74967306852340698,92342,2,98549,2,24638,24638,58490,0.021500000000000002,0.091632582700000006,0.094121093344012655,0.091632582700000006,0.038840793073177338,0.038840726017951965,-6.7055225372314453e-08,6.7055225372314453e-08,0.038840826600790024,0.038840759545564651,0.0068537578918039799,0.0068537578918039799,0,3.3527612686157227e-08,3.3527612686157227e-08,le_odb_precision_tol,off_ligament,late_post_peak,false,retained_precision_effect
1780,Step-2,97,198,0.97058820724487305,0.0066499998793005943,0.75183159112930298,Step-2,98,199,0.98235291242599487,0.0066700000315904617,0.75078326463699341,92343,1,98552,1,24639,24639,58491,0.022499999999999999,0.091632582700000006,0.094354545265569162,0.091632582700000006,0.038979969918727875,0.038979902863502502,-6.7055225372314453e-08,6.7055225372314453e-08,0.038979999721050262,0.038979936391115189,0.00685478700324893,0.00685478700324893,0,2.9802322387695312e-08,3.3527612686157227e-08,le_odb_precision_tol,off_ligament,late_post_peak,false,retained_precision_effect
1781,Step-2,97,198,0.97058820724487305,0.0066499998793005943,0.75183159112930298,Step-2,98,199,0.98235291242599487,0.0066700000315904617,0.75078326463699341,92343,2,98553,2,24639,24639,58491,0.022499999999999999,0.091632582700000006,0.094354545265569162,0.091632582700000006,0.039167638868093491,0.039167571812868118,-6.7055225372314453e-08,6.7055225372314453e-08,0.03916766494512558,0.039167601615190506,0.0069046542048454285,0.0069046542048454285,0,2.6077032089233398e-08,2.9802322387695312e-08,le_odb_precision_tol,off_ligament,late_post_peak,false,retained_precision_effect
1782,Step-2,98,199,0.98235291242599487,0.0066700000315904617,0.75078326463699341,Step-2,99,200,0.9941176176071167,0.0066900001838803291,0.74967306852340698,92345,1,98560,1,24641,24641,58493,0.024500000000000001,0.091632582700000006,0.094851358515692027,0.091632582700000006,0.03961871936917305,0.039618652313947678,-6.7055225372314453e-08,6.7055225372314453e-08,0.039618752896785736,0.039618685841560364,0.0069532855413854122,0.0069532855413854122,0,3.3527612686157227e-08,3.3527612686157227e-08,le_odb_precision_tol,off_ligament,late_post_peak,false,retained_precision_effect
1783,Step-2,98,199,0.98235291242599487,0.0066700000315904617,0.75078326463699341,Step-2,99,200,0.9941176176071167,0.0066900001838803291,0.74967306852340698,92345,2,98561,2,24641,24641,58493,0.024500000000000001,0.091632582700000006,0.094851358515692027,0.091632582700000006,0.039797343313694,0.039797276258468628,-6.7055225372314453e-08,6.7055225372314453e-08,0.039797376841306686,0.039797309786081314,0.007001800462603569,0.007001800462603569,0,3.3527612686157227e-08,3.3527612686157227e-08,le_odb_precision_tol,off_ligament,late_post_peak,false,retained_precision_effect
1784,Step-2,98,199,0.98235291242599487,0.0066700000315904617,0.75078326463699341,Step-2,99,200,0.9941176176071167,0.0066900001838803291,0.74967306852340698,92346,1,98564,1,24642,24642,58494,0.025500000000000002,0.091632582700000006,0.095114563618156511,0.091632582700000006,0.039926540106534958,0.039926473051309586,-6.7055225372314453e-08,6.7055225372314453e-08,0.039926569908857346,0.039926506578922272,0.007001074030995369,0.007001074030995369,0,2.9802322387695312e-08,3.3527612686157227e-08,le_odb_precision_tol,off_ligament,late_post_peak,false,retained_precision_effect
