element,phase_variable,phase_value,threshold,step,frame
28599,SDV15,0.8040363192558289,0.5,Step-2,40
28600,SDV15,0.7428275942802429,0.5,Step-2,40
28601,SDV15,0.6846922636032104,0.5,Step-2,40
28602,SDV15,0.6295156478881836,0.5,Step-2,40
28603,SDV15,0.5773909091949463,0.5,Step-2,40
28604,SDV15,0.5284962058067322,0.5,Step-2,40
28800,SDV15,0.5224533677101135,0.5,Step-2,40
28801,SDV15,0.5710090398788452,0.5,Step-2,40
28802,SDV15,0.619775116443634,0.5,Step-2,40
28803,SDV15,0.6680812835693359,0.5,Step-2,40
28804,SDV15,0.7148687243461609,0.5,Step-2,40
28805,SDV15,0.7625607252120972,0.5,Step-2,40
28806,SDV15,0.8146592974662781,0.5,Step-2,40
28807,SDV15,0.873253583908081,0.5,Step-2,40
28808,SDV15,0.9210672974586487,0.5,Step-2,40
28809,SDV15,0.9419847726821899,0.5,Step-2,40
28810,SDV15,0.9552565217018127,0.5,Step-2,40
28811,SDV15,0.9701311588287354,0.5,Step-2,40
28812,SDV15,0.9892546534538269,0.5,Step-2,40
28813,SDV15,1.000295877456665,0.5,Step-2,40
28814,SDV15,1.0002163648605347,0.5,Step-2,40
28815,SDV15,0.9923976063728333,0.5,Step-2,40
28816,SDV15,0.9939239025115967,0.5,Step-2,40
28817,SDV15,0.9967395067214966,0.5,Step-2,40
28818,SDV15,1.0013041496276855,0.5,Step-2,40
28819,SDV15,1.0018900632858276,0.5,Step-2,40
28820,SDV15,0.9951583743095398,0.5,Step-2,40
28821,SDV15,0.9694970846176147,0.5,Step-2,40
28822,SDV15,0.9388258457183838,0.5,Step-2,40
28823,SDV15,0.9180814027786255,0.5,Step-2,40
28824,SDV15,0.9014430642127991,0.5,Step-2,40
28825,SDV15,0.8845328688621521,0.5,Step-2,40
28826,SDV15,0.8623598217964172,0.5,Step-2,40
28827,SDV15,0.8280547261238098,0.5,Step-2,40
28828,SDV15,0.776885449886322,0.5,Step-2,40
28829,SDV15,0.7143645882606506,0.5,Step-2,40
28830,SDV15,0.6529567241668701,0.5,Step-2,40
28831,SDV15,0.5973828434944153,0.5,Step-2,40
28832,SDV15,0.5473890900611877,0.5,Step-2,40
28833,SDV15,0.502396821975708,0.5,Step-2,40
29030,SDV15,0.5375564694404602,0.5,Step-2,40
29031,SDV15,0.6063287258148193,0.5,Step-2,40
29032,SDV15,0.6756737232208252,0.5,Step-2,40
29033,SDV15,0.7403017282485962,0.5,Step-2,40
29034,SDV15,0.7996163368225098,0.5,Step-2,40
29035,SDV15,0.855901300907135,0.5,Step-2,40
29036,SDV15,0.9121770858764648,0.5,Step-2,40
29037,SDV15,0.9531251192092896,0.5,Step-2,40
29038,SDV15,0.971206784248352,0.5,Step-2,40
29039,SDV15,0.9889034032821655,0.5,Step-2,40
29040,SDV15,1.0003652572631836,0.5,Step-2,40
29041,SDV15,1.0009989738464355,0.5,Step-2,40
29042,SDV15,0.9974405169487,0.5,Step-2,40
29043,SDV15,0.9994799494743347,0.5,Step-2,40
29044,SDV15,1.0034654140472412,0.5,Step-2,40
29045,SDV15,1.0011709928512573,0.5,Step-2,40
29046,SDV15,0.9833513498306274,0.5,Step-2,40
29047,SDV15,0.9590255618095398,0.5,Step-2,40
29048,SDV15,0.9460563063621521,0.5,Step-2,40
29049,SDV15,0.9359714388847351,0.5,Step-2,40
29050,SDV15,0.9247922301292419,0.5,Step-2,40
29051,SDV15,0.9045694470405579,0.5,Step-2,40
29052,SDV15,0.8595195412635803,0.5,Step-2,40
29053,SDV15,0.7898747324943542,0.5,Step-2,40
29054,SDV15,0.728014349937439,0.5,Step-2,40
29055,SDV15,0.6808422207832336,0.5,Step-2,40
29056,SDV15,0.6423602104187012,0.5,Step-2,40
29057,SDV15,0.6085455417633057,0.5,Step-2,40
29058,SDV15,0.5768654942512512,0.5,Step-2,40
29059,SDV15,0.5463972091674805,0.5,Step-2,40
29060,SDV15,0.5172114968299866,0.5,Step-2,40
29261,SDV15,0.5349318981170654,0.5,Step-2,40
29262,SDV15,0.6229181289672852,0.5,Step-2,40
29263,SDV15,0.7156212329864502,0.5,Step-2,40
29264,SDV15,0.8051528930664062,0.5,Step-2,40
29265,SDV15,0.8967206478118896,0.5,Step-2,40
29266,SDV15,0.9575789570808411,0.5,Step-2,40
29267,SDV15,0.9769048094749451,0.5,Step-2,40
29268,SDV15,0.9917827844619751,0.5,Step-2,40
29269,SDV15,1.0003119707107544,0.5,Step-2,40
29270,SDV15,1.0005967617034912,0.5,Step-2,40
29271,SDV15,1.0023572444915771,0.5,Step-2,40
29272,SDV15,1.0011934041976929,0.5,Step-2,40
29273,SDV15,0.9886266589164734,0.5,Step-2,40
29274,SDV15,0.9704272150993347,0.5,Step-2,40
29275,SDV15,0.9617005586624146,0.5,Step-2,40
29276,SDV15,0.9524921178817749,0.5,Step-2,40
29277,SDV15,0.9294033646583557,0.5,Step-2,40
29278,SDV15,0.8680717349052429,0.5,Step-2,40
29279,SDV15,0.8064625859260559,0.5,Step-2,40
29280,SDV15,0.765518844127655,0.5,Step-2,40
29281,SDV15,0.7337064146995544,0.5,Step-2,40
29282,SDV15,0.704430341720581,0.5,Step-2,40
29283,SDV15,0.673701286315918,0.5,Step-2,40
29284,SDV15,0.6416310667991638,0.5,Step-2,40
29285,SDV15,0.6096459627151489,0.5,Step-2,40
29286,SDV15,0.5753160119056702,0.5,Step-2,40
29287,SDV15,0.5413874983787537,0.5,Step-2,40
29288,SDV15,0.5101208686828613,0.5,Step-2,40
29493,SDV15,0.5739325284957886,0.5,Step-2,40
29494,SDV15,0.6824886202812195,0.5,Step-2,40
29495,SDV15,0.7974972724914551,0.5,Step-2,40
29496,SDV15,0.9117063283920288,0.5,Step-2,40
29497,SDV15,0.9807096719741821,0.5,Step-2,40
29498,SDV15,0.9998648762702942,0.5,Step-2,40
29499,SDV15,1.0009446144104004,0.5,Step-2,40
29500,SDV15,1.0015331506729126,0.5,Step-2,40
29501,SDV15,1.000523328781128,0.5,Step-2,40
29502,SDV15,0.9901401996612549,0.5,Step-2,40
29503,SDV15,0.9755472540855408,0.5,Step-2,40
29504,SDV15,0.9602663516998291,0.5,Step-2,40
29505,SDV15,0.9120850563049316,0.5,Step-2,40
29506,SDV15,0.8598269820213318,0.5,Step-2,40
29507,SDV15,0.8271926045417786,0.5,Step-2,40
29508,SDV15,0.798247218132019,0.5,Step-2,40
29509,SDV15,0.7654844522476196,0.5,Step-2,40
29510,SDV15,0.7306114435195923,0.5,Step-2,40
29511,SDV15,0.6932612657546997,0.5,Step-2,40
29512,SDV15,0.6572247743606567,0.5,Step-2,40
29513,SDV15,0.6254026293754578,0.5,Step-2,40
29514,SDV15,0.59625244140625,0.5,Step-2,40
29515,SDV15,0.5684045553207397,0.5,Step-2,40
29516,SDV15,0.5409945845603943,0.5,Step-2,40
29517,SDV15,0.5135404467582703,0.5,Step-2,40
29725,SDV15,0.5994683504104614,0.5,Step-2,40
29726,SDV15,0.7285708785057068,0.5,Step-2,40
29727,SDV15,0.8848587870597839,0.5,Step-2,40
29728,SDV15,0.9825024008750916,0.5,Step-2,40
29729,SDV15,1.0019692182540894,0.5,Step-2,40
29730,SDV15,1.0019060373306274,0.5,Step-2,40
29731,SDV15,0.9919233918190002,0.5,Step-2,40
29732,SDV15,0.979092001914978,0.5,Step-2,40
29733,SDV15,0.9664945602416992,0.5,Step-2,40
29734,SDV15,0.9264068603515625,0.5,Step-2,40
29735,SDV15,0.8806964755058289,0.5,Step-2,40
29736,SDV15,0.8475900292396545,0.5,Step-2,40
29737,SDV15,0.8118455410003662,0.5,Step-2,40
29738,SDV15,0.7744997143745422,0.5,Step-2,40
29739,SDV15,0.7401325106620789,0.5,Step-2,40
29740,SDV15,0.7091375589370728,0.5,Step-2,40
29741,SDV15,0.6786604523658752,0.5,Step-2,40
29742,SDV15,0.6475046277046204,0.5,Step-2,40
29743,SDV15,0.6162435412406921,0.5,Step-2,40
29744,SDV15,0.5859010815620422,0.5,Step-2,40
29745,SDV15,0.5573321580886841,0.5,Step-2,40
29746,SDV15,0.5306034088134766,0.5,Step-2,40
29747,SDV15,0.5051573514938354,0.5,Step-2,40
29956,SDV15,0.5035268664360046,0.5,Step-2,40
29957,SDV15,0.6107250452041626,0.5,Step-2,40
29958,SDV15,0.7499583959579468,0.5,Step-2,40
29959,SDV15,0.9474892616271973,0.5,Step-2,40
29960,SDV15,0.9964172840118408,0.5,Step-2,40
29961,SDV15,1.0029863119125366,0.5,Step-2,40
29962,SDV15,0.9787593483924866,0.5,Step-2,40
29963,SDV15,0.9339292645454407,0.5,Step-2,40
29964,SDV15,0.8877067565917969,0.5,Step-2,40
29965,SDV15,0.8552774786949158,0.5,Step-2,40
29966,SDV15,0.8224189877510071,0.5,Step-2,40
29967,SDV15,0.7878101468086243,0.5,Step-2,40
29968,SDV15,0.7539805769920349,0.5,Step-2,40
29969,SDV15,0.7216927409172058,0.5,Step-2,40
29970,SDV15,0.6899694800376892,0.5,Step-2,40
29971,SDV15,0.6594658493995667,0.5,Step-2,40
29972,SDV15,0.6304538249969482,0.5,Step-2,40
29973,SDV15,0.6024252772331238,0.5,Step-2,40
29974,SDV15,0.5748487710952759,0.5,Step-2,40
29975,SDV15,0.5477355122566223,0.5,Step-2,40
29976,SDV15,0.5214494466781616,0.5,Step-2,40
30191,SDV15,0.5676509141921997,0.5,Step-2,40
30192,SDV15,0.8599709272384644,0.5,Step-2,40
30193,SDV15,0.9225783348083496,0.5,Step-2,40
30194,SDV15,0.8812372088432312,0.5,Step-2,40
30195,SDV15,0.8212168216705322,0.5,Step-2,40
30196,SDV15,0.7864236235618591,0.5,Step-2,40
30197,SDV15,0.7551841139793396,0.5,Step-2,40
30198,SDV15,0.7259829044342041,0.5,Step-2,40
30199,SDV15,0.6969351172447205,0.5,Step-2,40
30200,SDV15,0.668100118637085,0.5,Step-2,40
30201,SDV15,0.6398410797119141,0.5,Step-2,40
30202,SDV15,0.6123367547988892,0.5,Step-2,40
30203,SDV15,0.5856595635414124,0.5,Step-2,40
30204,SDV15,0.559883177280426,0.5,Step-2,40
30205,SDV15,0.5349112749099731,0.5,Step-2,40
30206,SDV15,0.5106019973754883,0.5,Step-2,40
30423,SDV15,0.5267946124076843,0.5,Step-2,40
30424,SDV15,0.6388179063796997,0.5,Step-2,40
30425,SDV15,0.7054822444915771,0.5,Step-2,40
30426,SDV15,0.7155157923698425,0.5,Step-2,40
30427,SDV15,0.7045310735702515,0.5,Step-2,40
30428,SDV15,0.6825188994407654,0.5,Step-2,40
30429,SDV15,0.659911572933197,0.5,Step-2,40
30430,SDV15,0.6366655230522156,0.5,Step-2,40
30431,SDV15,0.6130501627922058,0.5,Step-2,40
30432,SDV15,0.5892185568809509,0.5,Step-2,40
30433,SDV15,0.5654564499855042,0.5,Step-2,40
30434,SDV15,0.542011022567749,0.5,Step-2,40
30435,SDV15,0.5190476775169373,0.5,Step-2,40
30656,SDV15,0.5194061398506165,0.5,Step-2,40
30657,SDV15,0.568939745426178,0.5,Step-2,40
30658,SDV15,0.5896309614181519,0.5,Step-2,40
30659,SDV15,0.5916824340820312,0.5,Step-2,40
30660,SDV15,0.5851800441741943,0.5,Step-2,40
30661,SDV15,0.5716596841812134,0.5,Step-2,40
30662,SDV15,0.5550904273986816,0.5,Step-2,40
30663,SDV15,0.5368959307670593,0.5,Step-2,40
30664,SDV15,0.517828643321991,0.5,Step-2,40
