element,fracture_energy_local_term,fracture_energy_gradient_term,total_fracture_energy
60,2.0351939276796237e-11,1.6127696156648078e-14,2.0368066972952886e-11
61,1.1304554513708681e-11,7.420954671272944e-15,1.1311975468379954e-11
62,1.939696163080662e-12,7.502955249215778e-16,1.9404464586055834e-12
63,1.2342620208931218e-12,2.7548957349699204e-16,1.2345375104666187e-12
64,1.2816608831985307e-12,5.274111452080089e-16,1.2821882943437386e-12
65,1.0844469003845198e-12,2.0703158883440826e-16,1.0846539319733542e-12
66,1.4337142676122601e-12,4.325489842226082e-14,1.476969166034521e-12
67,1.9737161162825568e-12,1.6859875438909978e-14,1.990575991721467e-12
68,6.360916906708697e-12,3.976130811692046e-14,6.400678214825618e-12
69,4.440189303320323e-12,3.008330789309188e-14,4.470272611213415e-12
70,2.585206579416317e-12,1.9539081396007208e-14,2.6047456608123243e-12
71,2.517194269679065e-12,2.228674928916199e-14,2.539481018968227e-12
72,3.4275106262676702e-12,2.987404745252242e-14,3.4573846737201927e-12
73,3.3903352038885602e-12,3.295455299715029e-14,3.4232897568857106e-12
74,1.5829250927539946e-12,1.474542575213343e-14,1.597670518506128e-12
75,4.8438021147422944e-12,3.9694612974503967e-14,4.883496727716798e-12
76,1.1306069492702506e-11,8.609328344407089e-14,1.1392162776146577e-11
77,7.130904819752271e-12,4.6853987138137394e-14,7.177758806890409e-12
78,3.8611737853664746e-12,2.5427992455809455e-14,3.886601777822284e-12
79,2.1045571253589508e-12,2.3954853221169333e-14,2.12851197858012e-12
80,3.5989489608991446e-11,4.0485056664038703e-13,3.6394340175631835e-11
81,4.899649131599908e-11,4.105711704967389e-13,4.940706248649582e-11
82,7.011287298594759e-12,5.674057037489556e-14,7.068027868969655e-12
83,7.061187923158779e-12,5.3599319848767996e-14,7.114787243007548e-12
84,4.642168928481486e-12,3.142421612112044e-14,4.673593144602606e-12
85,2.9167891611639495e-12,3.1114893915926305e-14,2.9479040550798756e-12
86,1.0050281801907043e-12,1.4215020817208416e-14,1.0192432010079127e-12
87,1.4509546308622014e-12,2.0977705015910598e-14,1.471932335878112e-12
88,1.815325101859389e-11,1.4903146911770706e-13,1.8302282487711596e-11
89,2.311017864771919e-11,1.6318392773716217e-13,2.3273362575456352e-11
90,1.2590539269705938e-11,9.55034451858528e-14,1.2686042714891791e-11
91,4.949351526898641e-12,4.075621509805421e-14,4.990107741996695e-12
92,4.896361330559095e-12,5.4579399035671445e-14,4.950940729594767e-12
93,8.324404014245549e-13,1.1906418612476723e-14,8.443468200370317e-13
94,3.1380371005415373e-12,3.975839356604147e-14,3.1777954941075788e-12
95,4.344331807533833e-11,1.5482885012513146e-13,4.359814692546346e-11
96,2.910037675534521e-11,1.4402795271098946e-13,2.9244404708056197e-11
97,1.457557078583198e-11,9.18806002294429e-14,1.4667451386061424e-11
98,8.494753549757084e-12,6.593202088561117e-14,8.560685570642695e-12
99,4.057698665752274e-12,3.7841474350979305e-14,4.095540140103253e-12
100,4.497325382583585e-12,5.265765018669619e-14,4.549983032770281e-12
101,2.455500259298399e-11,7.886513996687231e-14,2.4633867732950862e-11
102,2.549076775023771e-11,1.1738766739115274e-13,2.5608155417628864e-11
103,6.877344403527876e-12,4.605127355223741e-14,6.923395677080114e-12
104,8.051460869094992e-12,6.794047326686884e-14,8.11940134236186e-12
105,3.3921693941474884e-11,7.035530644013712e-14,3.399204924791502e-11
106,4.445211966972779e-11,9.208168316324973e-14,4.454420135289104e-11
107,1.3688648045219082e-11,6.975033415841208e-14,1.3758398379377495e-11
108,1.553087097335493e-11,6.659744422689802e-14,1.559746841758183e-11
109,2.494213196247334e-11,6.744470507989032e-14,2.500957666755323e-11
110,6.52829610452629e-12,4.242708237039505e-14,6.570723186896685e-12
111,6.187118966277604e-12,5.6816745283262884e-14,6.2439357115608666e-12
112,2.3939727612537334e-12,3.9283909105034085e-14,2.4332566703587673e-12
113,1.1418942673209804e-13,8.07712400713021e-15,1.2226655073922825e-13
114,2.67847587768485e-13,1.0879238754776346e-14,2.787268265232614e-13
115,7.623271667603794e-13,1.719368684424422e-14,7.795208536046237e-13
116,1.7788366192786217e-12,2.899454164075618e-14,1.8078311609193779e-12
117,1.0673223894467981e-11,6.05752470192223e-14,1.0733799141487204e-11
118,5.226435350915009e-12,4.762292790470851e-14,5.274058278819717e-12
119,4.753037113719816e-12,5.657957900907351e-14,4.809616692728889e-12
120,1.00098842338539e-12,2.1460030661164143e-14,1.022448454046554e-12
121,1.6197966830274802e-13,9.097077581466358e-15,1.7107674588421439e-13
122,6.936783877101896e-13,1.9803801992869163e-14,7.134821897030588e-13
123,9.294179183302766e-13,2.212075664395413e-14,9.515386749742308e-13
124,6.56303910995416e-12,5.2765377541960674e-14,6.615804487496121e-12
125,6.76163197326922e-12,6.083574585382331e-14,6.822467719123043e-12
126,5.729014716518731e-12,7.232065689822588e-14,5.801335373416957e-12
127,9.86714617007584e-13,2.9271530185963956e-14,1.015986147193548e-12
128,5.711825101492115e-13,2.049965544443007e-14,5.916821655936416e-13
129,5.622356484895227e-14,7.890314980338855e-15,6.411387982929113e-14
130,5.522820171778379e-14,7.221321533904044e-15,6.244952325168783e-14
131,1.0481691688278353e-13,8.884699286099362e-15,1.137016161688829e-13
132,3.5642019109023988e-12,4.0946314784703696e-14,3.6051482256871024e-12
133,3.2434066675881946e-12,3.996547403183411e-14,3.2833721416200287e-12
134,1.6503729239904132e-12,4.261587405486352e-14,1.6929887980452766e-12
135,4.41554616786714e-13,2.2320794039974714e-14,4.638754108266887e-13
136,8.8091367923581e-14,1.2685771405722525e-14,1.0077713932930353e-13
137,9.540169074243852e-15,5.15182669828012e-15,1.469199577252397e-14
138,1.2561667390856791e-14,4.681741547092991e-15,1.724340893794978e-14
139,1.877588997762957e-12,3.1149339734716785e-14,1.908738337497674e-12
140,1.095400524393912e-12,2.979340936688437e-14,1.1251939337607963e-12
141,4.2371581084036393e-13,1.983901952598803e-14,4.4355483036635197e-13
142,2.1902811772325805e-14,9.555301616203617e-16,2.2858341933946166e-14
143,4.376228546946461e-15,2.383621687316262e-15,6.759850234262723e-15
144,3.9132094844314555e-13,1.778716884041612e-14,4.091081172835617e-13
145,2.0092333996882222e-14,4.9628485074109065e-15,2.5055182504293128e-14
146,1.4279111098710142e-14,2.092514898745972e-15,1.6371625997456114e-14
147,3.617132595123927e-14,3.6974961219411047e-16,3.654107556343338e-14
148,4.034938784192279e-13,1.9251666054886376e-14,4.227455444741143e-13
149,1.0673556697544346e-13,1.1438068555876646e-14,1.181736355313201e-13
150,3.3862179092580393e-14,5.526286181991869e-16,3.441480771077958e-14
151,3.993469788069805e-14,2.7266449234287804e-16,4.0207362373040926e-14
152,1.6483090438014944e-14,7.20654064139794e-15,2.3689631079412884e-14
153,2.7376603870296254e-15,2.9407672370645953e-15,5.678427624094221e-15
154,1.913555464199994e-14,1.610876035411803e-15,2.0746430677411743e-14
155,1.1367074414855348e-11,5.5179843946218834e-14,1.1422254258801567e-11
156,1.6053296039912335e-11,5.926269558406704e-14,1.61125587354964e-11
157,1.681129034992738e-11,5.895506710645605e-14,1.6870245417033838e-11
158,1.059769794405608e-11,4.153311616079047e-14,1.0639231060216872e-11
159,9.417483604349485e-12,4.132708575566718e-14,9.458810690105151e-12
160,7.241105481814156e-12,1.7951059120119134e-14,7.259056540934275e-12
161,9.873300330275553e-12,1.812454903214795e-14,9.891424879307702e-12
162,5.835045310316145e-12,8.8613167756076e-15,5.843906627091752e-12
163,7.017973175245692e-13,4.235161627912682e-16,7.022208336873606e-13
164,2.106973934703036e-11,5.982269653905477e-14,2.1129562043569417e-11
165,2.0804255631236824e-11,5.868308631371014e-14,2.0862938717550533e-11
166,2.444962698086784e-11,5.409262341947092e-14,2.450371960428731e-11
167,2.5759511837968497e-11,4.7839034532109575e-14,2.5807350872500608e-11
168,2.2021176223496287e-11,4.8229853765210156e-14,2.2069406077261497e-11
