element,bulk_energy_from_SDV12,bulk_energy_from_stress_strain,undamaged_bulk_energy_from_SDV13,relative_sdv12_vs_stress_strain
3054,2.0877888994112242e-08,2.0877889551387768e-08,2.1294168615452216e-08,2.6692138810831834e-08
3055,2.286476975118069e-08,2.2864769854053897e-08,2.3321729268431105e-08,4.499201504460238e-09
3056,2.0898239520491522e-08,2.0898238753325027e-08,2.1315241511114156e-08,3.67096230500941e-08
3057,2.260446693860792e-08,2.2604466589560863e-08,2.3055914118790095e-08,1.5441508016455884e-08
3058,2.844062803734207e-08,2.8440627094176144e-08,2.9195686821270428e-08,3.316262653063099e-08
3059,2.8795797568068006e-08,2.8795796354279944e-08,2.958134744968895e-08,4.2151569491546875e-08
3060,3.01086588193685e-08,3.0108659222633983e-08,3.0981716481701755e-08,1.339367127612209e-08
3061,2.8424537279336702e-08,2.8424537117449078e-08,2.8989999782324156e-08,5.695347719153765e-09
3062,2.8221433928042762e-08,2.8221434519808236e-08,2.8778203339441217e-08,2.0968653206704536e-08
3063,4.8825587460599636e-08,4.88255879744209e-08,5.095937179193617e-08,1.0523606263101353e-08
3064,4.58943853014386e-08,4.589438665681448e-08,4.8149064424615966e-08,2.9532497941992185e-08
3065,5.0184231252741e-08,5.0184230629935116e-08,5.262105924896511e-08,1.2410390016631224e-08
3066,2.4784458878068505e-08,2.4784459014044656e-08,2.5268534726360938e-08,5.486347355490979e-09
3067,9.881352696570741e-08,9.881352897763326e-08,1.0068726955815858e-07,2.036083386715122e-08
3068,5.902979082984723e-08,5.90297916465452e-08,6.015150564346846e-08,1.3835352425365086e-08
3069,2.980736806663205e-08,2.980736753434924e-08,3.039213368751127e-08,1.7857423994090845e-08
3070,2.9708408434205075e-08,2.9708409261484595e-08,3.0283652021032705e-08,2.7846644797160402e-08
3071,6.00629732461552e-08,6.006297267509585e-08,6.123255139911604e-08,9.507676891451907e-09
3072,6.977700790995745e-08,6.977700844622354e-08,7.364708780978696e-08,7.685426761175197e-09
3073,1.2781529349232947e-07,1.278152916015933e-07,1.3504581564901392e-07,1.4792722529516544e-08
3074,4.654876601055215e-08,4.6548766297860936e-08,4.7420686584589666e-08,6.172210512306392e-09
3075,1.1934418942392745e-07,1.193441828531772e-07,1.2596164556953377e-07,5.505714423266057e-08
3076,1.9398331293669238e-07,1.9398331343819502e-07,2.0267983330889893e-07,2.5852875145467584e-09
3077,1.8120413625742298e-07,1.8120413803023247e-07,1.8452887202446904e-07,9.78349341884869e-09
3078,3.38251730721737e-07,3.382517263515566e-07,3.455740748651127e-07,1.2919905545820931e-08
3079,2.709118390697886e-07,2.7091184558756675e-07,2.8249987140001025e-07,2.4058667937811136e-08
3080,6.675067357089047e-07,6.675067479902144e-07,6.805556600692695e-07,1.839877990867797e-08
3081,7.963924445581228e-08,7.963924566894105e-08,8.121771048141852e-08,1.5232800813589582e-08
3082,2.6919242181064366e-07,2.691924244002273e-07,2.743325471015182e-07,9.619823621367337e-09
3083,5.1767599667884875e-08,5.1767600658027295e-08,5.379680627564446e-08,1.912668168680655e-08
3084,4.742124746170136e-08,4.7421248796920405e-08,4.918881374527422e-08,2.8156555909799497e-08
3085,2.4043215922537558e-08,2.404321597516519e-08,2.452316185334378e-08,2.1888765944407273e-09
3086,2.4495706035704906e-08,2.4495705653497557e-08,2.4981723277688766e-08,1.560303458504566e-08
3087,3.657368586571136e-08,3.6573686240684385e-08,3.72947761494818e-08,1.0252535650079839e-08
3088,2.7393811061517233e-08,2.739381069190209e-08,2.7934789699212818e-08,1.3492651342646084e-08
3089,3.9594139154640924e-08,3.9594139487938516e-08,4.094296645092621e-08,8.417851627216385e-09
3090,3.638302586808566e-08,3.638302556768621e-08,3.7573723754948896e-08,8.256582296287177e-09
3091,2.2108214802466948e-08,2.2108214663283652e-08,2.2553882333289806e-08,6.2955465687097575e-09
3092,2.1372738179365792e-08,2.1372738215251624e-08,2.1800624515215847e-08,1.6790469674310835e-09
3093,2.969546191477607e-08,2.9695461047801368e-08,3.0458946301873785e-08,2.9195528349346703e-08
3094,3.0173523387320294e-08,3.0173522265302004e-08,3.0776831197660274e-08,3.718552437132414e-08
3095,2.897867882034025e-08,2.8978679150516667e-08,2.9707523652403636e-08,1.1393770422256193e-08
3096,2.752372534205617e-08,2.7523725477250057e-08,2.8201855997763552e-08,4.9119036075051895e-09
3097,2.195088951297122e-08,2.1950889331793576e-08,2.239494619029385e-08,8.253772316807095e-09
3098,3.9539123453522586e-08,3.953912326288994e-08,4.136369625230889e-08,4.821367534374943e-09
3099,3.368596266179193e-08,3.3685963416034327e-08,3.47478115778532e-08,2.2390405890772535e-08
3100,3.106361178542568e-08,3.106361183679994e-08,3.199564462519528e-08,1.6538405913359146e-09
3101,2.6040689000682588e-08,2.6040689420234702e-08,2.6670116741854332e-08,1.6111405801051073e-08
3102,2.986217804587134e-08,2.986217794355614e-08,3.0648156328329506e-08,3.426246874451825e-09
3103,3.014489254614014e-08,3.014489273662741e-08,3.0748094229508476e-08,6.319056292259866e-09
3104,2.9870614716625514e-08,2.987061528673869e-08,3.0459831562752165e-08,1.9086087393993614e-08
3105,2.1912969875097686e-08,2.191297024519684e-08,2.2355125881090776e-08,1.6889501998726232e-08
3106,2.2846885367240325e-08,2.2846884968538264e-08,2.3304068835981738e-08,1.7451046595343576e-08
3107,2.5324757581557465e-08,2.5324757639488605e-08,2.5926240767344548e-08,2.2875299234786852e-09
3108,2.1541789132509286e-08,2.1541789550766032e-08,2.197692463277331e-08,1.941606315737519e-08
3109,2.4791955519450853e-08,2.4791954999569916e-08,2.5371593056154678e-08,2.0969743056532987e-08
3110,2.6424581592542605e-08,2.6424581683405944e-08,2.6962886826915436e-08,3.4385913697424647e-09
3111,2.4907918131373593e-08,2.4907918093955582e-08,2.5482170746592208e-08,1.5022536656756007e-09
3112,2.2549729793323058e-08,2.2549729812221382e-08,2.30100470129918e-08,8.380731963145604e-10
3113,2.58083444836525e-08,2.5808343808708785e-08,2.6388951423088778e-08,2.615215073370948e-08
3114,2.6065069390909696e-08,2.6065068921130384e-08,2.659718311296676e-08,1.802332865959151e-08
3115,2.362135700802363e-08,2.3621356720816546e-08,2.4099072927512955e-08,1.2158788522566293e-08
3116,2.4832312297762204e-08,2.483231230061257e-08,2.53404093547905e-08,1.1478452327268426e-10
3117,2.374456648967539e-08,2.3744566673127414e-08,2.423673509083324e-08,7.726063235148492e-09
3118,2.409235441746005e-08,2.409235458704402e-08,2.4593995826362495e-08,7.038912259435694e-09
3119,2.2855798909469e-08,2.285579933719912e-08,2.332107970160183e-08,1.871429268879038e-08
3120,2.3232669281253188e-08,2.3232669793403265e-08,2.370162852731799e-08,2.2044391879312878e-08
3121,2.1925397922843333e-08,2.192539824810277e-08,2.2368942216643868e-08,1.4834824606784835e-08
3122,2.414374758050351e-08,2.4143747229753422e-08,2.466414006947495e-08,1.4527574292032822e-08
3123,2.917786567678294e-08,2.9177866337904672e-08,2.983713035861082e-08,2.2658330275855502e-08
3124,2.445431426206632e-08,2.4454314218513714e-08,2.496605652251601e-08,1.7809783565209277e-09
3125,2.4109453052352512e-08,2.410945298528435e-08,2.462494964894712e-08,2.781820112724616e-09
3126,2.8390776527615202e-08,2.8390777393255333e-08,2.903947247459164e-08,3.04901876513556e-08
3127,2.4826373019012445e-08,2.4826372706361024e-08,2.5348781789074897e-08,1.2593519853599625e-08
3128,2.512564955504877e-08,2.5125649551940046e-08,2.5657573042582047e-08,1.2372708638539136e-10
3129,2.5615841411087097e-08,2.5615841467669934e-08,2.616177829882484e-08,2.208900167426788e-09
3130,2.6309835894233976e-08,2.6309835558987243e-08,2.6884058237226512e-08,1.274225862867842e-08
3131,2.2250341093678625e-08,2.2250339957248384e-08,2.2695270805098886e-08,5.107473345115052e-08
3132,2.9319790819522515e-08,2.9319790081349898e-08,3.014344100210336e-08,2.517659902569298e-08
3133,2.532513948655804e-08,2.5325139266667635e-08,2.582616688240459e-08,8.682692746559262e-09
3134,2.0803829560885737e-08,2.080382969640276e-08,2.1223752153274442e-08,6.514042120766459e-09
3135,1.6587977958284755e-08,1.658797796101058e-08,1.69199116237647e-08,1.6432532178214802e-10
3136,2.023630328689392e-08,2.0236302785599276e-08,2.064171303017527e-08,2.477204646740866e-08
3137,3.066847871622169e-08,3.066847877905863e-08,3.1571020701083134e-08,2.0489096026380097e-09
3138,2.9677169810462134e-08,2.9677169765508136e-08,3.049979095951724e-08,1.5147669929977133e-09
3139,5.5985187702268874e-08,5.598519000275827e-08,5.8301347693689664e-08,4.1091034945501267e-08
3140,2.9957304752734793e-08,2.9957304329201233e-08,3.081195972728708e-08,1.4137906042138814e-08
3141,3.236797836295618e-08,3.2367978759813067e-08,3.301579177102029e-08,1.2260786773195051e-08
3142,1.9814308493258996e-08,1.9814308596605076e-08,2.0206773620702714e-08,5.215729789866115e-09
3143,5.749680340173115e-08,5.749680382535788e-08,6.001575234022042e-08,7.367830882623837e-09
3144,2.425854967938025e-08,2.425855011162655e-08,2.4733767092954802e-08,1.78183072605338e-08
3145,7.515515194257773e-08,7.515515286125619e-08,7.660762561869463e-08,1.2223758804272113e-08
3146,2.4496524740748403e-08,2.4496525355284643e-08,2.497445124990082e-08,2.5086669696921224e-08
3147,8.038737861589334e-08,8.038737779109947e-08,8.452573569574346e-08,1.0260240928766181e-08
3148,1.2030610586540504e-07,1.2030610690336583e-07,1.2699774634992542e-07,8.627665026548048e-09
3149,1.2368477962717734e-07,1.2368477397886146e-07,1.3057518665981373e-07,4.566702469849434e-08
3150,1.4788683979196713e-07,1.4788684130693246e-07,1.555713217384458e-07,1.0244084715214981e-08
3151,1.2517221702851663e-07,1.251722105974511e-07,1.3170259369803856e-07,5.1377739380620685e-08
3152,5.7589930418140176e-08,5.758993249828469e-08,5.8694837691932865e-08,3.611993313524456e-08
3153,1.937366253855469e-07,1.937366207377778e-07,1.9747032142831744e-07,2.3990141703707737e-08
3154,3.242054545982545e-07,3.2420545523383424e-07,3.3420605383690434e-07,1.960422744035696e-09
3155,3.3272235384620126e-07,3.3272236052608e-07,3.440798271675192e-07,2.0076434705177193e-08
3156,3.2159477707345626e-07,3.215947652106752e-07,3.3004705056910017e-07,3.6887356146154184e-08
3157,3.787613073995198e-07,3.7876130202577595e-07,3.8616601791462197e-07,1.4187678954925755e-08
3158,2.84319596711332e-07,2.8431960068992964e-07,2.9020471846839573e-07,1.3993399163477739e-08
