node,x,y,active_lower_bound,d_compatible,d_lb,bound_margin,residual_Kd_minus_f
5696,0.32499999999999996,0.36250000000000004,True,0.012273728523685556,0.012273728523685556,0.0,1.0953253257414077e-09
5697,0.3375,0.36250000000000004,False,0.012298396614799936,0.012271216489057324,2.7180125742612415e-05,2.117582368135751e-22
5698,0.35,0.36250000000000004,False,0.01233637670653957,0.012336099987061033,2.7671947853621925e-07,1.0587911840678754e-22
5699,0.36250000000000004,0.36250000000000004,False,0.012376808254091678,0.012354369754309633,2.2438499782045235e-05,-2.117582368135751e-22
5700,0.375,0.36250000000000004,False,0.01243060468739145,0.012397427670744384,3.3177016647066224e-05,2.6469779601696886e-22
5701,0.38749999999999996,0.36250000000000004,False,0.012493834196550889,0.01249131490552506,2.519291025829609e-06,2.117582368135751e-22
5702,0.4,0.36250000000000004,False,0.012557457381755913,0.012475832790169845,8.162459158606722e-05,-2.117582368135751e-22
5703,0.4125,0.36250000000000004,True,0.012661239270222396,0.012661239270222396,0.0,2.4169006039231845e-09
5704,0.42500000000000004,0.36250000000000004,False,0.012730324165195967,0.012641511368534355,8.881279666161229e-05,-2.6469779601696886e-22
5705,0.4375,0.36250000000000004,False,0.012846279827053888,0.012798295264158353,4.798456289553492e-05,-3.705769144237564e-22
5706,0.44999999999999996,0.36250000000000004,False,0.012975641659963174,0.012934134396111283,4.150726385189138e-05,1.5881867761018131e-22
5707,0.4625,0.36250000000000004,False,0.013116354980877673,0.013010469667447587,0.00010588531343008571,5.293955920339377e-23
5708,0.475,0.36250000000000004,False,0.0132637021195258,0.013262711683084422,9.904364413771544e-07,0.0
5709,0.48750000000000004,0.36250000000000004,False,0.013348028555521222,0.013314689227111924,3.3339328409298305e-05,3.1763735522036263e-22
5710,0.5,0.36250000000000004,False,0.013362195411108073,0.013248591875309513,0.00011360353579856035,-1.0587911840678754e-22
5711,-0.5,0.375,False,0.00033439630250660027,0.0002997973765561607,3.459892595043958e-05,0.0
5712,-0.4875,0.375,False,0.000323746479686988,0.0002992798377294546,2.4466641957533416e-05,-6.617444900424222e-24
