node,x,y,d_F1,d_unconstrained,d_unconstrained_minus_F1,d_F3_minus_F1
87,-0.4375,-0.4875,0.0001666343105137428,0.00017080312262339576,4.168812109652968e-06,8.021007631381838e-06
88,-0.425,-0.4875,0.00013272498877912788,0.00012821949042815683,-4.505498350971057e-06,-2.2928586632644447e-06
89,-0.4125,-0.4875,8.558826301034348e-05,8.920439779917553e-05,3.616134788832047e-06,4.9459310066724455e-06
90,-0.4,-0.4875,5.014382265586622e-05,5.812065721408522e-05,7.976834558219e-06,8.919581131482054e-06
91,-0.3875,-0.4875,4.1185422720723625e-05,3.896838045477441e-05,-2.2170422659492135e-06,-1.7051097021445968e-06
92,-0.375,-0.4875,3.150301512857455e-05,2.736602216104441e-05,-4.136992967530136e-06,-3.84956625184413e-06
93,-0.3625,-0.4875,2.188024451239178e-05,2.2176664418834654e-05,2.9641990644287396e-07,4.943852422826908e-07
94,-0.35,-0.4875,2.3385325638336866e-05,2.6180512915389547e-05,2.7951872770526806e-06,3.0212044347225654e-06
95,-0.3375,-0.4875,4.5154012873906146e-05,4.083710680860547e-05,-4.316906065300679e-06,-3.934471506627097e-06
96,-0.325,-0.4875,7.298711170083482e-05,6.29918778402174e-05,-9.995233860617424e-06,-9.235760189512185e-06
97,-0.3125,-0.4875,8.582317909055843e-05,9.130505390300358e-05,5.481874812445151e-06,6.947298317957684e-06
98,-0.3,-0.4875,0.00013295812454692008,0.0001336418523590067,6.837278120866062e-07,2.6658638798064238e-06
99,-0.2875,-0.4875,0.00021214068275014837,0.0001882089244361774,-2.3931758313970955e-05,-2.113331583157956e-05
100,-0.275,-0.4875,0.00024851650595570014,0.0002461750505134471,-2.341455442253027e-06,2.2113884493622045e-06
101,-0.2625,-0.4875,0.0003101527336622337,0.0003218525706384887,1.169983697625501e-05,1.738644667647574e-05
102,-0.25,-0.4875,0.0004521402963518418,0.0004182302181126388,-3.391007823920299e-05,-2.8558517642532063e-05
103,-0.2375,-0.4875,0.000511481061421946,0.000516609392280421,5.128330858475026e-06,1.2530661780973842e-05
104,-0.22499999999999998,-0.4875,0.0006047726713786936,0.0006289640844660278,2.419141308733421e-05,3.558900089661117e-05
105,-0.21250000000000002,-0.4875,0.0008126453691716612,0.0007704472336290659,-4.219813554259529e-05,-3.13085968911555e-05
106,-0.2,-0.4875,0.0009374062649060704,0.0009142304765776137,-2.317578832845672e-05,-7.502440552990949e-06
107,-0.1875,-0.4875,0.0010451611611736354,0.0010747645089124159,2.9603347738780487e-05,5.161920711526974e-05
108,-0.175,-0.4875,0.0013149768436878637,0.0012769261271998393,-3.8050716488024485e-05,-2.0923887380904817e-05
109,-0.16249999999999998,-0.4875,0.0015462825022044,0.0014881730569776548,-5.810944522674521e-05,-3.9874537765578234e-05
110,-0.15000000000000002,-0.4875,0.0016745205176135858,0.0017011687256969711,2.6648208083385368e-05,5.301039043740033e-05
111,-0.1375,-0.4875,0.001964809504718259,0.0019570514288829023,-7.758075835356728e-06,1.607826135710099e-05
112,-0.125,-0.4875,0.002327146478552984,0.0022402865675860855,-8.68599109668986e-05,-6.571651586665447e-05
113,-0.11249999999999999,-0.4875,0.0025231607718885,0.0025121161823339635,-1.1044589554536684e-05,1.8859752358557375e-05
114,-0.09999999999999998,-0.4875,0.0027965684696512473,0.0028088774082315124,1.2308938580265095e-05,4.849529370545055e-05
115,-0.08750000000000002,-0.4875,0.003269123896724414,0.003144986419412765,-0.00012413747731164883,-8.853058837835024e-05
116,-0.07500000000000001,-0.4875,0.00353877708336216,0.0034653574394399984,-7.34196439221616e-05,-2.1967852087822516e-05
117,-0.0625,-0.4875,0.0037895417562071277,0.0038187789042843237,2.9237148077196004e-05,8.956686414814553e-05
118,-0.04999999999999999,-0.4875,0.004368730521025641,0.004221624011491266,-0.00014710650953437578,-9.983719417840878e-05
119,-0.03749999999999998,-0.4875,0.004606851997801656,0.004592690431339556,-1.4161566462099831e-05,4.44906682148076e-05
120,-0.025000000000000022,-0.4875,0.004891291761466244,0.00497112760553438,7.983584406813602e-05,0.00015757806558121864
121,-0.012500000000000011,-0.4875,0.005541101940046776,0.005411851346563859,-0.00012925059348291735,-7.237775305092911e-05
122,0.0,-0.4875,0.005881547069422739,0.00581239462801029,-6.91524414124494e-05,-2.660782027831196e-06
123,0.012499999999999956,-0.4875,0.006074758408054136,0.006184654299163146,0.00010989589110900998,0.00020877809950780972
124,0.025000000000000022,-0.4875,0.006708441718360719,0.006620611499340693,-8.783021902002575e-05,-7.197620560480192e-06
125,0.03749999999999998,-0.4875,0.007141293582901626,0.0070271886779039935,-0.00011410490499763268,-2.9512886938177184e-05
126,0.050000000000000044,-0.4875,0.007276807109209844,0.0073857732782342325,0.0001089661690243885,0.000228641504832045
127,0.0625,-0.4875,0.007824404250979964,0.007798135701079088,-2.6268549900876e-05,7.596659959972947e-05
128,0.07499999999999996,-0.4875,0.008321589121760866,0.008194451078301312,-0.00012713804345955426,-3.483173945751858e-05
129,0.08750000000000002,-0.4875,0.008437239103066901,0.008519847343852322,8.260824078542076e-05,0.00020964467541969428
130,0.09999999999999998,-0.4875,0.008849017872686566,0.008877314815802177,2.8296943115610484e-05,0.00014894374547926546
131,0.11250000000000004,-0.4875,0.009356665732662178,0.00923776647748942,-0.00011889925517275836,-2.2257783788351415e-05
132,0.125,-0.4875,0.009485398951743391,0.009525034332966344,3.963538122295218e-05,0.00016115659773980988
133,0.13749999999999996,-0.4875,0.009757747870052551,0.009811145933637444,5.33980635848922e-05,0.00018301158801416542
134,0.15000000000000002,-0.4875,0.01021387973107037,0.010108490134776884,-0.00010538959629348595,2.484580444972115e-06
135,0.16249999999999998,-0.4875,0.010355729451784352,0.010346956095389116,-8.773356395236354e-06,0.00011691606536259197
136,0.17500000000000004,-0.4875,0.010519035479609353,0.01057644897343106,5.74134938217067e-05,0.00019001671092012257
137,0.1875,-0.4875,0.010892513759912636,0.010819041814706781,-7.347194520585486e-05,3.30508490346583e-05
138,0.19999999999999996,-0.4875,0.011032992353009762,0.011014046074366395,-1.8946278643367648e-05,9.03618364275216e-05
139,0.21250000000000002,-0.4875,0.011125191840208869,0.011184260918449311,5.906907824044204e-05,0.00017779731161853343
140,0.22499999999999998,-0.4875,0.01140301477194837,0.011365584610844371,-3.743016110399795e-05,6.264661903798881e-05
141,0.23750000000000004,-0.4875,0.011536347414128944,0.011515816874892794,-2.053053923615003e-05,7.670551042976773e-05
142,0.25,-0.4875,0.011592373885908225,0.011637991037081321,4.561715117309614e-05,0.00015398825432955815
143,0.26249999999999996,-0.4875,0.011783803157749632,0.011769450098246356,-1.4353059503275506e-05,8.375083803533953e-05
144,0.275,-0.4875,0.011913074670691776,0.01188582583285647,-2.7248837835305156e-05,6.563561392856042e-05
145,0.2875,-0.4875,0.011951615761605597,0.011981577431305348,2.996166969975074e-05,0.00013001440013026694
146,0.30000000000000004,-0.4875,0.01208336353852901,0.012085647103291255,2.283564762246143e-06,9.502711456813549e-05
147,0.3125,-0.4875,0.012212775446106362,0.012186867546898116,-2.5907899208246418e-05,5.842739497024206e-05
148,0.32499999999999996,-0.4875,0.012253775403450132,0.012273264290189545,1.9488886739412598e-05,0.0001085740409219136
149,0.3375,-0.4875,0.012354506090146945,0.012367591465819724,1.3085375672778829e-05,9.957629700352993e-05
150,0.35,-0.4875,0.012500788796488088,0.012470102495430832,-3.068630105725577e-05,4.798236965049621e-05
151,0.36250000000000004,-0.4875,0.012558840565441086,0.012564764764021552,5.924198580465473e-06,9.026781254351489e-05
152,0.375,-0.4875,0.012648798318781773,0.012675147484625731,2.6349165843958522e-05,0.00010864694818483144
