node,x,y,reconstructed_residual,forensic_residual,residual_error
261,-0.2875,-0.4625,7.095316536227755e-09,7.095316536227743e-09,1.1580528575742387e-23
262,-0.275,-0.4625,6.200435997914154e-10,6.200435997914157e-10,-3.101927297073854e-25
263,-0.2625,-0.4625,-7.785894820216275e-09,-7.785894820216275e-09,0.0
264,-0.25,-0.4625,3.0968111625332782e-09,3.096811162533275e-09,3.308722450212111e-24
265,-0.2375,-0.4625,3.372091623435067e-09,3.3720916234350605e-09,6.617444900424222e-24
266,-0.22499999999999998,-0.4625,-1.065556064504587e-08,-1.0655560645045862e-08,-8.271806125530277e-24
267,-0.21250000000000002,-0.4625,2.8365703675602424e-09,2.8365703675602523e-09,-9.926167350636332e-24
268,-0.2,-0.4625,7.177864888930035e-09,7.177864888930032e-09,3.308722450212111e-24
269,-0.1875,-0.4625,-1.1027430296630073e-08,-1.1027430296630093e-08,1.9852334701272664e-23
270,-0.175,-0.4625,3.4788092302564797e-09,3.4788092302564905e-09,-1.075334796318936e-23
271,-0.16249999999999998,-0.4625,1.3321782543558296e-08,1.3321782543558266e-08,2.9778502051908996e-23
272,-0.15000000000000002,-0.4625,-8.36683745137357e-09,-8.366837451373563e-09,-6.617444900424222e-24
273,-0.1375,-0.4625,9.996264000531232e-09,9.99626400053116e-09,7.279189390466644e-23
274,-0.125,-0.4625,7.55603085105484e-09,7.556030851054924e-09,-8.437242248040882e-23
275,-0.11249999999999999,-0.4625,-3.7325035471002166e-10,-3.7325035470998526e-10,-3.639594695233322e-23
