node,x,y,reconstructed_residual,forensic_residual,residual_error
113,-0.11249999999999999,-0.4875,-2.2565568795276944e-09,-2.2565568795277163e-09,2.1920286232655233e-23
114,-0.09999999999999998,-0.4875,-6.787334436245407e-09,-6.78733443624529e-09,-1.1745964698252993e-22
115,-0.08750000000000002,-0.4875,8.928475767365027e-09,8.928475767364922e-09,1.0422475718168149e-22
116,-0.07500000000000001,-0.4875,2.8023427349247724e-09,2.802342734924766e-09,6.617444900424222e-24
117,-0.0625,-0.4875,-1.1693447808744693e-08,-1.1693447808744669e-08,-2.481541837659083e-23
118,-0.04999999999999999,-0.4875,1.6973617398384097e-08,1.6973617398384027e-08,6.948317145445432e-23
119,-0.03749999999999998,-0.4875,-3.4485228957926965e-11,-3.448522895795995e-11,3.298382692555198e-23
120,-0.025000000000000022,-0.4875,-1.1383973896739196e-08,-1.1383973896739282e-08,8.602678370551488e-23
121,-0.012500000000000011,-0.4875,1.4692370890811e-08,1.469237089081094e-08,5.955700410381799e-23
122,0.0,-0.4875,8.45479124811108e-09,8.45479124811123e-09,-1.5054687148465104e-22
123,0.012499999999999956,-0.4875,-1.4340654788723833e-08,-1.4340654788723674e-08,-1.5881867761018131e-22
124,0.025000000000000022,-0.4875,1.0363940441694032e-08,1.0363940441694062e-08,-2.9778502051908996e-23
125,0.03749999999999998,-0.4875,1.3282517786536606e-08,1.3282517786536419e-08,1.8694281843698425e-22
126,0.050000000000000044,-0.4875,-1.4921461765591242e-08,-1.4921461765591464e-08,2.216844041642114e-22
127,0.0625,-0.4875,2.4056944168596188e-09,2.4056944168596556e-09,-3.680953725860973e-23
128,0.07499999999999996,-0.4875,1.4860979219687888e-08,1.4860979219687875e-08,1.3234889800848443e-23
129,0.08750000000000002,-0.4875,-1.19127407169831e-08,-1.1912740716983258e-08,1.5716431638507526e-22
130,0.09999999999999998,-0.4875,-5.062901870265852e-09,-5.062901870265738e-09,-1.1415092453231782e-22
131,0.11250000000000004,-0.4875,1.333295871130514e-08,1.3332958711305203e-08,-6.28657265540301e-23
132,0.125,-0.4875,-7.305438627390156e-09,-7.3054386273899435e-09,-2.125854174261281e-22
133,0.13749999999999996,-0.4875,-7.670081500680372e-09,-7.670081500680493e-09,1.2076836943274204e-22
134,0.15000000000000002,-0.4875,1.1866654344418259e-08,1.1866654344418415e-08,-1.555099551599692e-22
135,0.16249999999999998,-0.4875,-7.200754293997824e-10,-7.200754293995564e-10,-2.260271023801148e-22
136,0.17500000000000004,-0.4875,-9.010994664211214e-09,-9.010994664211133e-09,-8.106370003019671e-23
137,0.1875,-0.4875,1.0261673753759924e-08,1.026167375375979e-08,1.3400325923359048e-22
138,0.19999999999999996,-0.4875,2.9637577561066516e-09,2.9637577561066603e-09,-8.68539643180679e-24
139,0.21250000000000002,-0.4875,-6.429901120653329e-09,-6.4299011206535255e-09,1.9686898578762059e-22
140,0.22499999999999998,-0.4875,5.799493481609725e-09,5.79949348160985e-09,-1.2490427249550718e-22
141,0.23750000000000004,-0.4875,3.745889467868423e-09,3.745889467868275e-09,1.4806532964699195e-22
142,0.25,-0.4875,-4.7219927442752825e-09,-4.7219927442751915e-09,-9.098986738083304e-23
