node,x,y,d_F1,d_compatible,d_compatible_minus_F1
204,0.012499999999999956,-0.475,0.0059522806664635925,0.006248815605597226,0.00029653493913363305
205,0.025000000000000022,-0.475,0.006680974619819067,0.006710991403459687,3.0016783640620173e-05
206,0.03749999999999998,-0.475,0.007202936594469878,0.007202936594469878,0.0
207,0.050000000000000044,-0.475,0.007212941379463798,0.007478708692283115,0.0002657673128193174
208,0.0625,-0.475,0.007818532933941559,0.007904115635677006,8.55827017354465e-05
209,0.07499999999999996,-0.475,0.008403886626868414,0.008403886626868414,0.0
210,0.08750000000000002,-0.475,0.00840418718099616,0.008617752164674907,0.00021356498367874725
211,0.09999999999999998,-0.475,0.008863406893587134,0.008983062061314953,0.00011965516772781924
212,0.11250000000000004,-0.475,0.00947233123458931,0.00947233123458931,0.0
213,0.125,-0.475,0.009467075715117762,0.00962304008050151,0.00015596436538374732
214,0.13749999999999996,-0.475,0.009767007474550686,0.009897056484831775,0.00013004901028108862
215,0.15000000000000002,-0.475,0.010200108865795428,0.010200108865795428,0.0
216,0.16249999999999998,-0.475,0.010348323906736297,0.0104314829959592,8.315908922290269e-05
217,0.17500000000000004,-0.475,0.01052499193564624,0.010644707181528656,0.00011971524588241626
218,0.1875,-0.475,0.010875665409653906,0.01089327688193515,1.7611472281244336e-05
219,0.19999999999999996,-0.475,0.011037966767034365,0.011082916711344603,4.494994431023837e-05
220,0.21250000000000002,-0.475,0.011136683267774412,0.011237195959982823,0.0001005126922084109
221,0.22499999999999998,-0.475,0.011393622918268639,0.011420557746906358,2.6934828637718497e-05
222,0.23750000000000004,-0.475,0.011549874382704946,0.011564918081255662,1.5043698550716578e-05
223,0.25,-0.475,0.011553092944370538,0.011673477887145924,0.0001203849427753867
224,0.26249999999999996,-0.475,0.011784253945551267,0.011809053968056645,2.480002250537794e-05
225,0.275,-0.475,0.011928958731092362,0.011928958731092362,0.0
226,0.2875,-0.475,0.011929313250608677,0.011999712932670407,7.039968206173051e-05
227,0.30000000000000004,-0.475,0.01208869801534868,0.012107885194174314,1.918717882563349e-05
228,0.3125,-0.475,0.012237737721406258,0.012237737721406258,0.0
229,0.32499999999999996,-0.475,0.012237903314374382,0.012291227013475986,5.332369910160395e-05
230,0.3375,-0.475,0.012355392228253954,0.012388678573974285,3.328634572033126e-05
231,0.35,-0.475,0.012505847084659606,0.012505847084659606,0.0
232,0.36250000000000004,-0.475,0.012544804060879702,0.012587321019152395,4.251695827269322e-05
233,0.375,-0.475,0.01264342404780999,0.012701838406105947,5.841435829595683e-05
234,0.38749999999999996,-0.475,0.012846721123738705,0.012846721123738705,0.0
235,0.4,-0.475,0.012929515330517024,0.012962163444092435,3.2648113575410934e-05
236,0.4125,-0.475,0.013023748354239285,0.013110962888035774,8.72145337964883e-05
237,0.42500000000000004,-0.475,0.013308967261498045,0.013308967261498045,0.0
238,0.4375,-0.475,0.013481005768723433,0.013481570981399973,5.652126765405552e-07
239,0.44999999999999996,-0.475,0.01355563065087053,0.013661002049580774,0.00010537139871024358
240,0.4625,-0.475,0.013856748256771393,0.01389886165441456,4.211339764316653e-05
241,0.475,-0.475,0.014108303602910184,0.014108303602910184,0.0
242,0.48750000000000004,-0.475,0.014105943291843379,0.014154951417411408,4.900812556802962e-05
243,0.5,-0.475,0.014085706507864906,0.014168857263837414,8.31507559725074e-05
244,-0.5,-0.4625,0.00033243094986190103,0.0003714437020513714,3.9012752189470376e-05
245,-0.4875,-0.4625,0.00033240158734008246,0.00035844959507079526,2.6048007730712804e-05
246,-0.475,-0.4625,0.00033238755024108345,0.00033962085743097784,7.2333071898943884e-06
247,-0.4625,-0.4625,0.00028078911334106406,0.000297150159301755,1.636104596069093e-05
248,-0.45,-0.4625,0.00021009731971499395,0.0002351475275742998,2.5050207859305843e-05
249,-0.4375,-0.4625,0.0001457314197645156,0.0001751148313177754,2.93834115532598e-05
250,-0.425,-0.4625,0.00014061999568012906,0.00014061999568012906,0.0
251,-0.4125,-0.4625,9.704022386124139e-05,9.704022386124139e-05,0.0
252,-0.4,-0.4625,3.9320606754970434e-05,5.908459477291226e-05,1.9763988017941828e-05
253,-0.3875,-0.4625,3.763580698654627e-05,4.0545724328753124e-05,2.909917342206851e-06
254,-0.375,-0.4625,3.562141667008765e-05,3.562141667008765e-05,0.0
255,-0.3625,-0.4625,2.1475071333060935e-05,2.4572873204753226e-05,3.097801871692291e-06
256,-0.35,-0.4625,2.1877317246046362e-05,2.7663480734720098e-05,5.786163488673735e-06
