step,frame,time,penalty_active_count,minimum_gap,maximum_penalty_energy_density,penalty_energy,penalty_residual_magnitude,penalty_tangent_magnitude,elastic_energy,local_crack_energy,gradient_crack_energy,history_driven_term,total_diagnostic_energy,incremental_diagnostic_imbalance
MONOTONIC,10,0.14562499523162842,0,0.023214932531118393,0.0,0.0,0.0,0.0,6.477503240603257e-06,4.930607421556488e-07,7.573268457061743e-09,4.545239619255882e-06,6.978137251215968e-06,-5.436180632390244e-08
MONOTONIC,11,0.16562500596046448,0,0.02573654241859913,0.0,0.0,0.0,0.0,7.900437712669372e-06,8.337858809682074e-07,1.2850110494699861e-08,5.7100749079836554e-06,8.74707370413228e-06,-7.470178747812566e-08
MONOTONIC,12,0.18562500178813934,0,0.027333172038197517,0.0,0.0,0.0,0.0,9.277595697494695e-06,1.2932562109199349e-06,2.0002008749031575e-08,6.858701983583161e-06,1.0590853917163662e-05,-1.0984922108100592e-07
MONOTONIC,13,0.2056249976158142,0,0.02865997701883316,0.0,0.0,0.0,0.0,1.0571381145564377e-05,1.8834788919775747e-06,2.9294066930596333e-08,7.946003824326909e-06,1.248415410447255e-05,-1.345386548924466e-07
MONOTONIC,14,0.22562499344348907,0,0.02924060821533203,0.0,0.0,0.0,0.0,1.1739160360593811e-05,2.6001254285802136e-06,4.067374411498293e-08,8.946360531263054e-06,1.4379959533289007e-05,-1.7301752271005555e-07
MONOTONIC,15,0.24562500417232513,0,0.02952512539923191,0.0,0.0,0.0,0.0,1.276504955021665e-05,3.441940125776456e-06,5.4267659513129734e-08,9.83440569470986e-06,1.626125733550624e-05,-1.9870450229508417e-07
MONOTONIC,16,0.265625,0,0.02934233844280243,0.0,0.0,0.0,0.0,1.3629829272395002e-05,4.3962573166936636e-06,6.987560395756983e-08,1.060046736383811e-05,1.8095962193046236e-05,-2.3095305812680228e-07
MONOTONIC,17,0.28562501072883606,0,0.028839323669672012,0.0,0.0,0.0,0.0,1.433328723505838e-05,5.450011431821622e-06,8.751668161295359e-08,1.1238934966968372e-05,1.9870815348492957e-05,-2.550607383393832e-07
MONOTONIC,18,0.30562499165534973,0,0.028152229264378548,0.0,0.0,0.0,0.0,1.4877614675788208e-05,6.589414115296678e-06,1.069327186833391e-07,1.1749084210896401e-05,2.1573961509768226e-05,-2.741099012137376e-07
MONOTONIC,19,0.3256250023841858,0,0.02713019587099552,0.0,0.0,0.0,0.0,1.5268916649802124e-05,7.793117046821858e-06,1.280941796935053e-07,1.2140869254653811e-05,2.319012787631749e-05,-2.9527004540816403e-07
MONOTONIC,20,0.34562501311302185,0,0.02615376003086567,0.0,0.0,0.0,0.0,1.5525179116229994e-05,9.051688952604307e-06,1.5075465333609371e-07,1.2415754221729e-05,2.4727622722170394e-05,-2.987400707065128e-07
MONOTONIC,21,0.3656249940395355,0,0.02484116330742836,0.0,0.0,0.0,0.0,1.5651435324980412e-05,1.0339296062011272e-05,1.7490176868761864e-07,1.2593821673362977e-05,2.6165633155679302e-05,-3.165586528946777e-07
MONOTONIC,22,0.3856250047683716,0,0.023731142282485962,0.0,0.0,0.0,0.0,1.5675202991405963e-05,1.1653276154538622e-05,2.0033000210446513e-07,1.2674564060580452e-05,2.752880914804905e-05,-3.05983319674114e-07
MONOTONIC,23,0.40562498569488525,0,0.022296113893389702,0.0,0.0,0.0,0.0,1.5596724337956403e-05,1.2966427707578993e-05,2.2711079061252807e-07,1.2683274422306567e-05,2.8790262836147924e-05,-3.20587028648158e-07
MONOTONIC,24,0.4256249964237213,0,0.021153774112462997,0.0,0.0,0.0,0.0,1.5447752097679772e-05,1.428276574006304e-05,2.550707192710888e-07,1.2615947541780768e-05,2.99855885570139e-05,-2.996240695917817e-07
MONOTONIC,25,0.4456250071525574,0,0.01970524713397026,0.0,0.0,0.0,0.0,1.5223052013607232e-05,1.5575868857558816e-05,2.844388731091385e-07,1.2499375978950408e-05,3.108335974427519e-05,-3.113864368972565e-07
MONOTONIC,26,0.46562498807907104,0,0.01858917996287346,0.0,0.0,0.0,0.0,1.4954801958811005e-05,1.6854982974473392e-05,3.1503549874685195e-07,1.2326256031519736e-05,3.212482043203125e-05,-2.841653096855834e-07
