index,x0_mm,x1_mm,dx_mm
424,0.377,0.378,0.001
425,0.378,0.379,0.001
426,0.379,0.38,0.001
427,0.38,0.381,0.001
428,0.381,0.382,0.001
429,0.382,0.383,0.001
430,0.383,0.384,0.001
431,0.384,0.385,0.001
432,0.385,0.386,0.001
433,0.386,0.387,0.001
434,0.387,0.388,0.001
435,0.388,0.389,0.001
436,0.389,0.39,0.001
437,0.39,0.391,0.001
438,0.391,0.392,0.001
439,0.392,0.393,0.001
440,0.393,0.394,0.001
441,0.394,0.395,0.001
442,0.395,0.396,0.001
443,0.396,0.397,0.001
444,0.397,0.398,0.001
445,0.398,0.399,0.001
446,0.399,0.4,0.001
447,0.4,0.401,0.001
448,0.401,0.402,0.001
449,0.402,0.403,0.001
450,0.403,0.404,0.001
451,0.404,0.405,0.001
452,0.405,0.406,0.001
453,0.406,0.407,0.001
454,0.407,0.408,0.001
455,0.408,0.409,0.001
456,0.409,0.41,0.001
457,0.41,0.411,0.001
458,0.411,0.412,0.001
459,0.412,0.413,0.001
460,0.413,0.414,0.001
461,0.414,0.415,0.001
462,0.415,0.416,0.001
463,0.416,0.417,0.001
464,0.417,0.418,0.001
465,0.418,0.419,0.001
466,0.419,0.42,0.001
467,0.42,0.421,0.001
468,0.421,0.422,0.001
469,0.422,0.423,0.001
470,0.423,0.424,0.001
471,0.424,0.425,0.001
472,0.425,0.426,0.001
473,0.426,0.427,0.001
474,0.427,0.428,0.001
475,0.428,0.429,0.001
476,0.429,0.43,0.001
477,0.43,0.431,0.001
478,0.431,0.432,0.001
479,0.432,0.433,0.001
480,0.433,0.434,0.001
481,0.434,0.435,0.001
482,0.435,0.436,0.001
483,0.436,0.437,0.001
484,0.437,0.438,0.001
485,0.438,0.439,0.001
486,0.439,0.44,0.001
487,0.44,0.441,0.001
488,0.441,0.442,0.001
489,0.442,0.443,0.001
490,0.443,0.444,0.001
491,0.444,0.445,0.001
492,0.445,0.446,0.001
493,0.446,0.447,0.001
494,0.447,0.448,0.001
495,0.448,0.449,0.001
496,0.449,0.45,0.001
497,0.45,0.451,0.001
498,0.451,0.452,0.001
499,0.452,0.453,0.001
500,0.453,0.454,0.001
501,0.454,0.455,0.001
502,0.455,0.456,0.001
503,0.456,0.457,0.001
504,0.457,0.458,0.001
505,0.458,0.459,0.001
506,0.459,0.46,0.001
507,0.46,0.461,0.001
508,0.461,0.462,0.001
509,0.462,0.463,0.001
510,0.463,0.464,0.001
511,0.464,0.465,0.001
512,0.465,0.466,0.001
513,0.466,0.467,0.001
514,0.467,0.468,0.001
515,0.468,0.469,0.001
516,0.469,0.47,0.001
517,0.47,0.471,0.001
518,0.471,0.472,0.001
519,0.472,0.473,0.001
520,0.473,0.474,0.001
521,0.474,0.475,0.001
