node,x,y,active_lower_bound,d_F1,d_lower_bound,bound_error,residual_Kd_minus_f,multiplier_if_active
5447,0.25,0.32499999999999996,True,0.012097347289396326,0.012097347289396328,-1.734723475976807e-18,-5.293955920339377e-23,-5.293955920339377e-23
5448,0.26249999999999996,0.32499999999999996,True,0.012129801304328378,0.012129801304328378,0.0,0.0,0.0
5449,0.275,0.32499999999999996,True,0.01216286889968282,0.01216286889968282,0.0,5.293955920339377e-23,5.293955920339377e-23
5450,0.2875,0.32499999999999996,True,0.01218563756325133,0.01218563756325133,0.0,1.0587911840678754e-22,1.0587911840678754e-22
5451,0.30000000000000004,0.32499999999999996,True,0.012200160748674117,0.012200160748674117,0.0,-2.6469779601696886e-22,-2.6469779601696886e-22
5452,0.3125,0.32499999999999996,True,0.012208359957561823,0.012208359957561823,0.0,1.5881867761018131e-22,1.5881867761018131e-22
5453,0.32499999999999996,0.32499999999999996,True,0.012213270459499324,0.012213270459499326,-1.734723475976807e-18,-7.411538288475128e-22,-7.411538288475128e-22
5454,0.3375,0.32499999999999996,True,0.012218284823954848,0.012218284823954848,0.0,-5.293955920339377e-23,-5.293955920339377e-23
5455,0.35,0.32499999999999996,True,0.012231019263922175,0.012231019263922175,0.0,1.6656454001908993e-10,1.6656454001908993e-10
5456,0.36250000000000004,0.32499999999999996,True,0.012246077569978073,0.012246077569978073,0.0,-4.235164736271502e-22,-4.235164736271502e-22
5457,0.375,0.32499999999999996,True,0.012264274109733245,0.012264274109733244,1.734723475976807e-18,2.117582368135751e-22,2.117582368135751e-22
5458,0.38749999999999996,0.32499999999999996,True,0.012291753220101058,0.012291753220101058,0.0,1.0587911840678754e-22,1.0587911840678754e-22
5459,0.4,0.32499999999999996,True,0.012323665143748136,0.012323665143748136,0.0,-5.293955920339377e-23,-5.293955920339377e-23
5460,0.4125,0.32499999999999996,True,0.0123685101376878,0.012368510137687801,-1.734723475976807e-18,-1.5881867761018131e-22,-1.5881867761018131e-22
5461,0.42500000000000004,0.32499999999999996,True,0.012429249849099492,0.012429249849099492,0.0,0.0,0.0
5462,0.4375,0.32499999999999996,True,0.012495077169898547,0.01249507716989855,-3.469446951953614e-18,1.0587911840678754e-22,1.0587911840678754e-22
5463,0.44999999999999996,0.32499999999999996,True,0.012582112325108197,0.012582112325108193,3.469446951953614e-18,2.117582368135751e-22,2.117582368135751e-22
5464,0.4625,0.32499999999999996,True,0.0126782588979435,0.0126782588979435,0.0,-1.5881867761018131e-22,-1.5881867761018131e-22
5465,0.475,0.32499999999999996,True,0.012780070745762888,0.012780070745762886,1.734723475976807e-18,-1.5881867761018131e-22,-1.5881867761018131e-22
5466,0.48750000000000004,0.32499999999999996,True,0.012842852858553586,0.012842852858553586,0.0,2.117582368135751e-22,2.117582368135751e-22
5467,0.5,0.32499999999999996,True,0.012849574523225672,0.01284957452322567,1.734723475976807e-18,5.293955920339377e-23,5.293955920339377e-23
5468,-0.5,0.3375,True,0.0003022088417488298,0.0003022088417488298,0.0,8.271806125530277e-25,8.271806125530277e-25
5469,-0.4875,0.3375,True,0.00029241682180156125,0.00029241682180156125,0.0,-4.963083675318166e-24,-4.963083675318166e-24
5470,-0.475,0.3375,True,0.0002776424274023159,0.0002776424274023159,0.0,1.9766612371695788e-10,1.9766612371695788e-10
5471,-0.4625,0.3375,True,0.00024192217408036234,0.00024192217408036237,-2.710505431213761e-20,-1.075334796318936e-23,-1.075334796318936e-23
5472,-0.45,0.3375,True,0.00019136022598182273,0.00019136022598182273,0.0,-4.963083675318166e-24,-4.963083675318166e-24
5473,-0.4375,0.3375,True,0.0001563353657266039,0.0001563353657266039,0.0,-6.617444900424222e-24,-6.617444900424222e-24
5474,-0.425,0.3375,True,0.0001259548655332419,0.00012595486553324187,2.710505431213761e-20,-1.8112792813441723e-14,-1.8112792813441723e-14
5475,-0.4125,0.3375,True,9.427479257946794e-05,9.427479257946794e-05,0.0,-9.072746736723988e-14,-9.072746736723988e-14
5476,-0.4,0.3375,True,6.675392277052045e-05,6.675392277052047e-05,-1.3552527156068805e-20,-8.632085840967111e-14,-8.632085840967111e-14
5477,-0.3875,0.3375,True,5.478815812487308e-05,5.4788158124873084e-05,-6.776263578034403e-21,7.158104427334654e-10,7.158104427334654e-10
5478,-0.375,0.3375,True,3.5416806991293994e-05,3.5416806991293994e-05,0.0,-1.7368660017571115e-13,-1.7368660017571115e-13
5479,-0.3625,0.3375,True,2.686574232133007e-05,2.686574232133007e-05,0.0,-6.321611721369856e-13,-6.321611721369856e-13
5480,-0.35,0.3375,True,2.5876158964620155e-05,2.5876158964620158e-05,-3.3881317890172014e-21,-2.6134834699005025e-13,-2.6134834699005025e-13
5481,-0.3375,0.3375,True,3.206019019850507e-05,3.206019019850507e-05,0.0,-4.9602232982016426e-14,-4.9602232982016426e-14
5482,-0.325,0.3375,True,4.672015890194209e-05,4.6720158901942094e-05,-6.776263578034403e-21,4.410656995646935e-10,4.410656995646935e-10
5483,-0.3125,0.3375,True,6.049380562786224e-05,6.049380562786224e-05,0.0,2.481541837659083e-24,2.481541837659083e-24
5484,-0.3,0.3375,True,8.601110691897591e-05,8.601110691897591e-05,0.0,2.481541837659083e-24,2.481541837659083e-24
5485,-0.2875,0.3375,True,0.0001292680679580053,0.0001292680679580053,0.0,-5.790264287871194e-24,-5.790264287871194e-24
5486,-0.275,0.3375,True,0.00018586029680325798,0.00018586029680325798,0.0,2.0026775319017783e-10,2.0026775319017783e-10
5487,-0.2625,0.3375,True,0.00024423587525158685,0.00024423587525158685,0.0,3.31794427131055e-10,3.31794427131055e-10
5488,-0.25,0.3375,True,0.0003042023868029441,0.0003042023868029441,0.0,-1.6543612251060553e-23,-1.6543612251060553e-23
5489,-0.2375,0.3375,True,0.00048664586996600447,0.00048664586996600447,0.0,1.1175298741031705e-08,1.1175298741031705e-08
5490,-0.22499999999999998,0.3375,True,0.0004930979659431902,0.0004930979659431902,0.0,3.308722450212111e-24,3.308722450212111e-24
5491,-0.21250000000000002,0.3375,True,0.0005971172782944895,0.0005971172782944893,2.168404344971009e-19,1.1580528575742387e-23,1.1580528575742387e-23
5492,-0.2,0.3375,True,0.0008113760218348962,0.0008113760218348962,0.0,8.742384393097677e-09,8.742384393097677e-09
5493,-0.1875,0.3375,True,0.0008938648780526413,0.0008938648780526413,0.0,1.9852334701272664e-23,1.9852334701272664e-23
5494,-0.175,0.3375,True,0.0010948282013005116,0.0010948282013005116,0.0,6.617444900424222e-24,6.617444900424222e-24
5495,-0.16249999999999998,0.3375,True,0.0014753467908943056,0.0014753467908943056,0.0,1.6687063800482345e-08,1.6687063800482345e-08
5496,-0.15000000000000002,0.3375,True,0.001559610526355728,0.0015596105263557282,-2.168404344971009e-19,-9.26442286059391e-23,-9.26442286059391e-23
5497,-0.1375,0.3375,True,0.00182963271143065,0.00182963271143065,0.0,-1.3234889800848443e-23,-1.3234889800848443e-23
5498,-0.125,0.3375,True,0.002159961349305045,0.002159961349305045,0.0,3.3224572243902493e-09,3.3224572243902493e-09
5499,-0.11249999999999999,0.3375,True,0.0024442599713201587,0.0024442599713201587,0.0,2.6469779601696886e-23,2.6469779601696886e-23
5500,-0.09999999999999998,0.3375,True,0.002930189103423641,0.002930189103423641,0.0,1.2043903000201743e-08,1.2043903000201743e-08
5501,-0.08750000000000002,0.3375,True,0.0032088162805619215,0.0032088162805619215,0.0,3.970466940254533e-23,3.970466940254533e-23
5502,-0.07500000000000001,0.3375,True,0.003757706826145766,0.003757706826145766,0.0,1.558646196411819e-08,1.558646196411819e-08
5503,-0.0625,0.3375,True,0.004049126824374192,0.004049126824374192,0.0,-5.293955920339377e-23,-5.293955920339377e-23
5504,-0.04999999999999999,0.3375,True,0.004506512367095173,0.004506512367095173,0.0,2.3968671564933725e-09,2.3968671564933725e-09
5505,-0.03749999999999998,0.3375,True,0.004950358455759333,0.004950358455759333,0.0,-2.117582368135751e-22,-2.117582368135751e-22
5506,-0.025000000000000022,0.3375,True,0.005700048943052087,0.005700048943052087,0.0,2.990167296170964e-08,2.990167296170964e-08
5507,-0.012500000000000011,0.3375,True,0.006012720518122704,0.006012720518122704,0.0,5.902667360145975e-09,5.902667360145975e-09
5508,0.0,0.3375,True,0.006404326685044479,0.00640432668504448,-8.673617379884035e-19,0.0,0.0
5509,0.012499999999999956,0.3375,True,0.0068907442387960835,0.0068907442387960835,0.0,-3.970466940254533e-22,-3.970466940254533e-22
5510,0.025000000000000022,0.3375,True,0.0074130497135684835,0.0074130497135684835,0.0,5.131995039241532e-09,5.131995039241532e-09
5511,0.03749999999999998,0.3375,True,0.00784794078537454,0.007847940785374537,1.734723475976807e-18,2.6469779601696886e-22,2.6469779601696886e-22
5512,0.050000000000000044,0.3375,True,0.00833118654907112,0.00833118654907112,0.0,5.337016077885495e-09,5.337016077885495e-09
5513,0.0625,0.3375,True,0.008706628049659361,0.008706628049659361,0.0,-2.6469779601696886e-22,-2.6469779601696886e-22
5514,0.07499999999999996,0.3375,True,0.009179378534488022,0.009179378534488022,0.0,3.1763735522036263e-22,3.1763735522036263e-22
5515,0.08750000000000002,0.3375,True,0.009702741776004605,0.009702741776004605,0.0,1.144140945462866e-08,1.144140945462866e-08
5516,0.09999999999999998,0.3375,True,0.009942945103171936,0.009942945103171936,0.0,0.0,0.0
5517,0.11250000000000004,0.3375,True,0.010294909060586,0.010294909060586,0.0,-5.293955920339377e-23,-5.293955920339377e-23
5518,0.125,0.3375,True,0.010602728015933371,0.010602728015933375,-3.469446951953614e-18,-4.235164736271502e-22,-4.235164736271502e-22
5519,0.13749999999999996,0.3375,True,0.01084676741562914,0.010846767415629139,1.734723475976807e-18,-5.293955920339377e-23,-5.293955920339377e-23
5520,0.15000000000000002,0.3375,True,0.01108175384579536,0.011081753845795364,-3.469446951953614e-18,-1.0587911840678754e-22,-1.0587911840678754e-22
5521,0.16249999999999998,0.3375,True,0.011294167765265848,0.011294167765265845,3.469446951953614e-18,1.039855321162142e-09,1.039855321162142e-09
5522,0.17500000000000004,0.3375,True,0.011450225948183276,0.011450225948183275,1.734723475976807e-18,5.293955920339377e-22,5.293955920339377e-22
5523,0.1875,0.3375,True,0.011603499000383106,0.011603499000383106,0.0,1.0587911840678754e-22,1.0587911840678754e-22
5524,0.19999999999999996,0.3375,True,0.011732004483260422,0.011732004483260422,0.0,2.6469779601696886e-22,2.6469779601696886e-22
5525,0.21250000000000002,0.3375,True,0.011837548570003405,0.011837548570003405,0.0,-2.117582368135751e-22,-2.117582368135751e-22
5526,0.22499999999999998,0.3375,True,0.011926671260980442,0.011926671260980442,0.0,1.5881867761018131e-22,1.5881867761018131e-22
5527,0.23750000000000004,0.3375,True,0.011994968859655933,0.011994968859655933,0.0,1.0587911840678754e-22,1.0587911840678754e-22
5528,0.25,0.3375,True,0.012055964018439546,0.012055964018439546,0.0,2.6469779601696886e-22,2.6469779601696886e-22
5529,0.26249999999999996,0.3375,True,0.01210092861035265,0.01210092861035265,0.0,5.293955920339377e-23,5.293955920339377e-23
5530,0.275,0.3375,True,0.012145364569892824,0.012145364569892826,-1.734723475976807e-18,4.367674810209525e-10,4.367674810209525e-10
5531,0.2875,0.3375,True,0.01217264535856127,0.012172645358561269,1.734723475976807e-18,5.293955920339377e-22,5.293955920339377e-22
5532,0.30000000000000004,0.3375,True,0.012196838724471068,0.012196838724471068,0.0,4.235164736271502e-22,4.235164736271502e-22
5533,0.3125,0.3375,True,0.01221595168104428,0.01221595168104428,0.0,-3.1763735522036263e-22,-3.1763735522036263e-22
5534,0.32499999999999996,0.3375,True,0.012235043640798865,0.012235043640798863,1.734723475976807e-18,1.2391971636112714e-10,1.2391971636112714e-10
5535,0.3375,0.3375,True,0.012260190804837033,0.012260190804837033,0.0,1.1260978166398574e-09,1.1260978166398574e-09
5536,0.35,0.3375,True,0.012267396099130388,0.012267396099130388,0.0,5.293955920339377e-23,5.293955920339377e-23
5537,0.36250000000000004,0.3375,True,0.012295277492593296,0.012295277492593296,0.0,1.0587911840678754e-22,1.0587911840678754e-22
5538,0.375,0.3375,True,0.012387201736974884,0.012387201736974888,-3.469446951953614e-18,6.955076641638187e-09,6.955076641638187e-09
5539,0.38749999999999996,0.3375,True,0.012371597402710016,0.012371597402710014,1.734723475976807e-18,2.117582368135751e-22,2.117582368135751e-22
5540,0.4,0.3375,True,0.01240849599413605,0.012408495994136053,-3.469446951953614e-18,-1.0587911840678754e-21,-1.0587911840678754e-21
5541,0.4125,0.3375,True,0.012494788441222402,0.012494788441222402,0.0,3.2351964527420866e-09,3.2351964527420866e-09
5542,0.42500000000000004,0.3375,True,0.012532796188233448,0.012532796188233447,1.734723475976807e-18,5.293955920339377e-22,5.293955920339377e-22
5543,0.4375,0.3375,True,0.01261031997824214,0.01261031997824214,0.0,1.5881867761018131e-22,1.5881867761018131e-22
5544,0.44999999999999996,0.3375,True,0.012719114491835631,0.01271911449183563,1.734723475976807e-18,1.5881867761018131e-22,1.5881867761018131e-22
5545,0.4625,0.3375,True,0.012821124080664811,0.012821124080664811,0.0,3.705769144237564e-22,3.705769144237564e-22
5546,0.475,0.3375,True,0.012930019596814779,0.012930019596814776,3.469446951953614e-18,6.352747104407253e-22,6.352747104407253e-22
5547,0.48750000000000004,0.3375,True,0.013005981419678223,0.013005981419678223,0.0,1.5881867761018131e-22,1.5881867761018131e-22
5548,0.5,0.3375,True,0.013023716694560544,0.013023716694560544,0.0,5.029258124322408e-22,5.029258124322408e-22
