node,x,y,active_lower_bound,d_lower_bound,d_F0,d_F1,d_F2,d_F3,F3_minus_F1,F3_minus_lower_bound
6206,-0.3875,0.44999999999999996,True,4.761327154465558e-05,4.761327154465558e-05,4.7613271544655576e-05,4.761327154465558e-05,4.7613271544655576e-05,0.0,-6.776263578034403e-21
6207,-0.375,0.44999999999999996,True,3.133828246742433e-05,3.133828246742433e-05,3.133828246742433e-05,3.133828246742433e-05,3.133828246742433e-05,0.0,0.0
6208,-0.3625,0.44999999999999996,True,2.5727323187751104e-05,2.5727323187751104e-05,2.5727323187751104e-05,2.5727323187751104e-05,2.5727323187751104e-05,0.0,0.0
6209,-0.35,0.44999999999999996,True,3.468633651705569e-05,3.468633651705569e-05,3.468633651705569e-05,3.468633651705569e-05,3.468633651705569e-05,0.0,0.0
6210,-0.3375,0.44999999999999996,True,5.15689446386276e-05,5.15689446386276e-05,5.15689446386276e-05,5.15689446386276e-05,5.15689446386276e-05,0.0,0.0
6211,-0.325,0.44999999999999996,True,6.314274535391803e-05,6.314274535391803e-05,6.314274535391803e-05,6.314274535391802e-05,6.314274535391803e-05,0.0,0.0
6212,-0.3125,0.44999999999999996,True,9.303542356743307e-05,9.303542356743307e-05,9.303542356743307e-05,9.303542356743309e-05,9.303542356743307e-05,0.0,0.0
6213,-0.3,0.44999999999999996,True,0.00013798346685746002,0.00013798346685746002,0.00013798346685746002,0.00013798346685746002,0.00013798346685746002,0.0,0.0
6214,-0.2875,0.44999999999999996,True,0.00018383877431599817,0.00018383877431599817,0.00018383877431599817,0.00018383877431599814,0.00018383877431599817,0.0,0.0
6215,-0.275,0.44999999999999996,True,0.0002414449867750159,0.00024144498677501592,0.00024144498677501592,0.00024144498677501592,0.00024144498677501592,0.0,2.710505431213761e-20
6216,-0.2625,0.44999999999999996,True,0.0003255694045653227,0.0003255694045653227,0.0003255694045653226,0.0003255694045653227,0.0003255694045653226,0.0,-1.0842021724855044e-19
6217,-0.25,0.44999999999999996,True,0.0004121674163863431,0.0004121674163863431,0.0004121674163863431,0.0004121674163863431,0.0004121674163863431,0.0,0.0
6218,-0.2375,0.44999999999999996,True,0.0005027183437200931,0.0005027183437200931,0.0005027183437200931,0.0005027183437200931,0.0005027183437200931,0.0,0.0
6219,-0.22499999999999998,0.44999999999999996,True,0.0006367075313284636,0.0006367075313284635,0.0006367075313284635,0.0006367075313284636,0.0006367075313284635,0.0,-1.0842021724855044e-19
6220,-0.21250000000000002,0.44999999999999996,True,0.0007899886337355885,0.0007899886337355885,0.0007899886337355885,0.0007899886337355885,0.0007899886337355885,0.0,0.0
6221,-0.2,0.44999999999999996,True,0.000904568942843639,0.0009045689428436388,0.000904568942843639,0.0009045689428436391,0.000904568942843639,0.0,0.0
6222,-0.1875,0.44999999999999996,True,0.0010852254563550243,0.001085225456355024,0.0010852254563550243,0.001085225456355024,0.0010852254563550243,0.0,0.0
6223,-0.175,0.44999999999999996,True,0.0013731031319819127,0.0013731031319819127,0.0013731031319819127,0.001373103131981913,0.0013731031319819127,0.0,0.0
6224,-0.16249999999999998,0.44999999999999996,True,0.0014843975129605986,0.0014843975129605986,0.0014843975129605986,0.001484397512960599,0.0014843975129605986,0.0,0.0
6225,-0.15000000000000002,0.44999999999999996,True,0.0017236296187865346,0.0017236296187865346,0.0017236296187865346,0.0017236296187865348,0.0017236296187865346,0.0,0.0
6226,-0.1375,0.44999999999999996,True,0.002267136729117547,0.002267136729117547,0.002267136729117547,0.0022671367291175475,0.002267136729117547,0.0,0.0
6227,-0.125,0.44999999999999996,True,0.00249575759284766,0.00249575759284766,0.00249575759284766,0.0024957575928476598,0.00249575759284766,0.0,0.0
6228,-0.11249999999999999,0.44999999999999996,True,0.002609096385540437,0.002609096385540437,0.002609096385540437,0.0026090963855404372,0.002609096385540437,0.0,0.0
6229,-0.09999999999999998,0.44999999999999996,True,0.002886349499545476,0.002886349499545477,0.002886349499545476,0.002886349499545476,0.002886349499545476,0.0,0.0
6230,-0.08750000000000002,0.44999999999999996,True,0.003248833275620962,0.0032488332756209605,0.003248833275620961,0.003248833275620961,0.003248833275620961,0.0,-8.673617379884035e-19
6231,-0.07500000000000001,0.44999999999999996,True,0.0035757426032471387,0.0035757426032471387,0.0035757426032471387,0.0035757426032471387,0.0035757426032471387,0.0,0.0
6232,-0.0625,0.44999999999999996,True,0.003946054664429712,0.003946054664429712,0.003946054664429712,0.003946054664429712,0.003946054664429712,0.0,0.0
6233,-0.04999999999999999,0.44999999999999996,True,0.00436792672623686,0.00436792672623686,0.00436792672623686,0.00436792672623686,0.00436792672623686,0.0,0.0
6234,-0.03749999999999998,0.44999999999999996,True,0.00474939564883773,0.004749395648837729,0.004749395648837729,0.004749395648837729,0.004749395648837729,0.0,-8.673617379884035e-19
6235,-0.025000000000000022,0.44999999999999996,True,0.005125589722638903,0.005125589722638903,0.005125589722638903,0.005125589722638904,0.005125589722638903,0.0,0.0
6236,-0.012500000000000011,0.44999999999999996,True,0.00558990518705221,0.005589905187052208,0.005589905187052209,0.005589905187052209,0.005589905187052209,0.0,-8.673617379884035e-19
6237,0.0,0.44999999999999996,True,0.005947397638733174,0.005947397638733176,0.005947397638733175,0.005947397638733175,0.005947397638733175,0.0,8.673617379884035e-19
6238,0.012499999999999956,0.44999999999999996,True,0.006354355466224277,0.006354355466224276,0.006354355466224277,0.006354355466224278,0.006354355466224277,0.0,0.0
6239,0.025000000000000022,0.44999999999999996,True,0.006846757164846728,0.006846757164846727,0.006846757164846727,0.006846757164846727,0.006846757164846727,0.0,-8.673617379884035e-19
6240,0.03749999999999998,0.44999999999999996,True,0.007175604331690724,0.007175604331690722,0.007175604331690724,0.007175604331690724,0.007175604331690724,0.0,0.0
6241,0.050000000000000044,0.44999999999999996,True,0.007564831097981959,0.007564831097981959,0.007564831097981959,0.00756483109798196,0.007564831097981959,0.0,0.0
6242,0.0625,0.44999999999999996,True,0.008001952055656087,0.008001952055656087,0.008001952055656087,0.008001952055656087,0.008001952055656087,0.0,0.0
6243,0.07499999999999996,0.44999999999999996,True,0.008345521729216284,0.008345521729216283,0.008345521729216283,0.008345521729216286,0.008345521729216283,0.0,-1.734723475976807e-18
6244,0.08750000000000002,0.44999999999999996,True,0.00861880576380561,0.008618805763805611,0.008618805763805611,0.008618805763805611,0.008618805763805611,0.0,1.734723475976807e-18
6245,0.09999999999999998,0.44999999999999996,True,0.009085456420009602,0.009085456420009602,0.009085456420009602,0.009085456420009602,0.009085456420009602,0.0,0.0
6246,0.11250000000000004,0.44999999999999996,True,0.0096391883552602,0.0096391883552602,0.0096391883552602,0.0096391883552602,0.0096391883552602,0.0,0.0
6247,0.125,0.44999999999999996,True,0.009794234894470252,0.009794234894470254,0.009794234894470252,0.009794234894470254,0.009794234894470252,0.0,0.0
6248,0.13749999999999996,0.44999999999999996,True,0.010025949567775513,0.010025949567775513,0.010025949567775517,0.010025949567775515,0.010025949567775517,0.0,3.469446951953614e-18
6249,0.15000000000000002,0.44999999999999996,True,0.010304819898532002,0.010304819898532,0.010304819898532,0.010304819898532002,0.010304819898532,0.0,-1.734723475976807e-18
