frame_tag,step,frame_index,element,integration_point,odb_integration_point,uel_integration_point,expected_sdv15,odb_sdv15,sdv15_error,expected_sdv16,odb_sdv16,sdv16_error,odb_sdv12,odb_sdv13
F0_ingested,INGEST_TRANSFERRED_STATE,1,11,2,2,2,2.596662627419381e-05,2.596662627419381e-05,0.0,1.1992541714221305e-06,1.1992541714221305e-06,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,11,3,4,3,2.4463835000455416e-05,2.4463835000455416e-05,0.0,1.0193065510904266e-06,1.0193065510904266e-06,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,11,4,3,4,2.9593540053463933e-05,2.9593540053463933e-05,0.0,1.5278495366464154e-06,1.5278495366464154e-06,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,12,1,1,1,2.5746553301617763e-05,2.5746553301617763e-05,0.0,1.0289851479563328e-06,1.0289851479563328e-06,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,12,2,2,2,2.911114282305196e-05,2.911114282305196e-05,0.0,1.4098135467947205e-06,1.4098135467947205e-06,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,12,3,4,3,2.468671686850137e-05,2.468671686850137e-05,0.0,9.754908560604001e-07,9.754908560604001e-07,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,12,4,3,4,2.314905569064239e-05,2.314905569064239e-05,0.0,8.365778839581504e-07,8.365778839581504e-07,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,13,1,1,1,3.379209437800408e-05,3.379209437800408e-05,0.0,1.7346888398107377e-06,1.7346888398107377e-06,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,13,2,2,2,4.321610233246763e-05,4.321610233246762e-05,-6.776263578034403e-21,2.5527585100260607e-06,2.5527585100260607e-06,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,13,3,4,3,4.126712367417182e-05,4.126712367417181e-05,-6.776263578034403e-21,2.3123948622099154e-06,2.3123948622099154e-06,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,13,4,3,4,2.9541438553100255e-05,2.9541438553100255e-05,0.0,1.2907621280249903e-06,1.2907621280249903e-06,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,14,1,1,1,5.0794456316832636e-05,5.0794456316832636e-05,0.0,3.3396992725890736e-06,3.3396992725890736e-06,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,14,2,2,2,6.207489648539634e-05,6.207489648539634e-05,0.0,4.324993514441356e-06,4.324993514441356e-06,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,14,3,4,3,6.575739707293469e-05,6.575739707293469e-05,0.0,4.714422655930473e-06,4.714422655930473e-06,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,14,4,3,4,5.0971160512680496e-05,5.097116051268049e-05,-6.776263578034403e-21,3.3982989303300276e-06,3.3982989303300276e-06,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,15,1,1,1,7.411027396422225e-05,7.411027396422225e-05,0.0,4.8001538599327245e-06,4.8001538599327245e-06,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,15,2,2,2,9.571109655608112e-05,9.571109655608112e-05,0.0,7.545510539540331e-06,7.545510539540331e-06,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,15,3,4,3,8.648689205440823e-05,8.648689205440823e-05,0.0,6.42710074455326e-06,6.42710074455326e-06,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,15,4,3,4,7.527380865814118e-05,7.527380865814118e-05,0.0,5.255008986726017e-06,5.255008986726017e-06,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,16,1,1,1,0.00011146517668161539,0.00011146517668161539,0.0,8.228578829724928e-06,8.228578829724928e-06,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,16,2,2,2,0.00013290530141922723,0.00013290530141922723,0.0,1.013644028313071e-05,1.013644028313071e-05,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,16,3,4,3,0.00012565216919393729,0.00012565216919393729,0.0,9.288957116680473e-06,9.288957116680473e-06,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,16,4,3,4,9.998573307597873e-05,9.998573307597873e-05,0.0,7.018783138959445e-06,7.018783138959445e-06,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,17,1,1,1,0.00015224926247667795,0.00015224926247667795,0.0,1.2157401586986393e-05,1.2157401586986393e-05,0.0,0.0,0.0
F0_ingested,INGEST_TRANSFERRED_STATE,1,17,2,2,2,0.0001836578221676552,0.00018365782216765518,-2.710505431213761e-20,1.4986857341088272e-05,1.4986857341088272e-05,0.0,0.0,0.0
