element,integration_point,odb_integration_point,uel_integration_point,left,right,sdv15_delta,sdv16_delta
51,4,3,4,F0_ingested,F1_equilibrated,0.0,0.0
52,1,1,1,F0_ingested,F1_equilibrated,0.0,0.0
52,2,2,2,F0_ingested,F1_equilibrated,-3.469446951953614e-18,0.0
52,3,4,3,F0_ingested,F1_equilibrated,0.0,0.0
52,4,3,4,F0_ingested,F1_equilibrated,-1.734723475976807e-18,0.0
53,1,1,1,F0_ingested,F1_equilibrated,0.0,0.0
53,2,2,2,F0_ingested,F1_equilibrated,-1.734723475976807e-18,0.0
53,3,4,3,F0_ingested,F1_equilibrated,-3.469446951953614e-18,0.0
53,4,3,4,F0_ingested,F1_equilibrated,0.0,0.0
54,1,1,1,F0_ingested,F1_equilibrated,-3.469446951953614e-18,0.0
54,2,2,2,F0_ingested,F1_equilibrated,1.734723475976807e-18,0.0
54,3,4,3,F0_ingested,F1_equilibrated,-3.469446951953614e-18,0.0
54,4,3,4,F0_ingested,F1_equilibrated,-3.469446951953614e-18,0.0
55,1,1,1,F0_ingested,F1_equilibrated,1.734723475976807e-18,0.0
55,2,2,2,F0_ingested,F1_equilibrated,1.734723475976807e-18,0.0
55,3,4,3,F0_ingested,F1_equilibrated,0.0,0.0
55,4,3,4,F0_ingested,F1_equilibrated,-3.469446951953614e-18,0.0
56,1,1,1,F0_ingested,F1_equilibrated,1.734723475976807e-18,0.0
56,2,2,2,F0_ingested,F1_equilibrated,1.734723475976807e-18,0.0
56,3,4,3,F0_ingested,F1_equilibrated,1.734723475976807e-18,0.0
56,4,3,4,F0_ingested,F1_equilibrated,1.734723475976807e-18,0.0
57,1,1,1,F0_ingested,F1_equilibrated,3.469446951953614e-18,0.0
57,2,2,2,F0_ingested,F1_equilibrated,0.0,0.0
57,3,4,3,F0_ingested,F1_equilibrated,0.0,0.0
57,4,3,4,F0_ingested,F1_equilibrated,1.734723475976807e-18,0.0
58,1,1,1,F0_ingested,F1_equilibrated,-3.469446951953614e-18,0.0
58,2,2,2,F0_ingested,F1_equilibrated,0.0,0.0
58,3,4,3,F0_ingested,F1_equilibrated,0.0,0.0
58,4,3,4,F0_ingested,F1_equilibrated,0.0,0.0
59,1,1,1,F0_ingested,F1_equilibrated,1.734723475976807e-18,0.0
59,2,2,2,F0_ingested,F1_equilibrated,0.0,0.0
59,3,4,3,F0_ingested,F1_equilibrated,0.0,0.0
59,4,3,4,F0_ingested,F1_equilibrated,1.734723475976807e-18,0.0
60,1,1,1,F0_ingested,F1_equilibrated,0.0,0.0
60,2,2,2,F0_ingested,F1_equilibrated,0.0,0.0
60,3,4,3,F0_ingested,F1_equilibrated,0.0,0.0
60,4,3,4,F0_ingested,F1_equilibrated,0.0,0.0
61,1,1,1,F0_ingested,F1_equilibrated,0.0,0.0
61,2,2,2,F0_ingested,F1_equilibrated,0.0,0.0
61,3,4,3,F0_ingested,F1_equilibrated,0.0,0.0
61,4,3,4,F0_ingested,F1_equilibrated,0.0,0.0
62,1,1,1,F0_ingested,F1_equilibrated,0.0,0.0
62,2,2,2,F0_ingested,F1_equilibrated,0.0,0.0
62,3,4,3,F0_ingested,F1_equilibrated,0.0,0.0
62,4,3,4,F0_ingested,F1_equilibrated,0.0,0.0
63,1,1,1,F0_ingested,F1_equilibrated,0.0,0.0
63,2,2,2,F0_ingested,F1_equilibrated,0.0,0.0
63,3,4,3,F0_ingested,F1_equilibrated,0.0,0.0
63,4,3,4,F0_ingested,F1_equilibrated,0.0,0.0
64,1,1,1,F0_ingested,F1_equilibrated,0.0,0.0
64,2,2,2,F0_ingested,F1_equilibrated,-1.734723475976807e-18,0.0
64,3,4,3,F0_ingested,F1_equilibrated,0.0,0.0
64,4,3,4,F0_ingested,F1_equilibrated,0.0,0.0
65,1,1,1,F0_ingested,F1_equilibrated,0.0,0.0
65,2,2,2,F0_ingested,F1_equilibrated,0.0,0.0
65,3,4,3,F0_ingested,F1_equilibrated,0.0,0.0
65,4,3,4,F0_ingested,F1_equilibrated,0.0,0.0
66,1,1,1,F0_ingested,F1_equilibrated,0.0,0.0
66,2,2,2,F0_ingested,F1_equilibrated,-1.734723475976807e-18,0.0
66,3,4,3,F0_ingested,F1_equilibrated,0.0,0.0
66,4,3,4,F0_ingested,F1_equilibrated,0.0,0.0
67,1,1,1,F0_ingested,F1_equilibrated,-1.734723475976807e-18,0.0
67,2,2,2,F0_ingested,F1_equilibrated,0.0,0.0
67,3,4,3,F0_ingested,F1_equilibrated,0.0,0.0
67,4,3,4,F0_ingested,F1_equilibrated,-1.734723475976807e-18,0.0
68,1,1,1,F0_ingested,F1_equilibrated,0.0,0.0
68,2,2,2,F0_ingested,F1_equilibrated,0.0,0.0
68,3,4,3,F0_ingested,F1_equilibrated,0.0,0.0
68,4,3,4,F0_ingested,F1_equilibrated,0.0,0.0
69,1,1,1,F0_ingested,F1_equilibrated,0.0,0.0
69,2,2,2,F0_ingested,F1_equilibrated,-1.734723475976807e-18,0.0
69,3,4,3,F0_ingested,F1_equilibrated,0.0,0.0
69,4,3,4,F0_ingested,F1_equilibrated,0.0,0.0
70,1,1,1,F0_ingested,F1_equilibrated,0.0,0.0
70,2,2,2,F0_ingested,F1_equilibrated,0.0,0.0
70,3,4,3,F0_ingested,F1_equilibrated,0.0,0.0
70,4,3,4,F0_ingested,F1_equilibrated,0.0,0.0
71,1,1,1,F0_ingested,F1_equilibrated,1.734723475976807e-18,0.0
71,2,2,2,F0_ingested,F1_equilibrated,0.0,0.0
71,3,4,3,F0_ingested,F1_equilibrated,0.0,0.0
71,4,3,4,F0_ingested,F1_equilibrated,0.0,0.0
72,1,1,1,F0_ingested,F1_equilibrated,0.0,0.0
72,2,2,2,F0_ingested,F1_equilibrated,1.734723475976807e-18,0.0
72,3,4,3,F0_ingested,F1_equilibrated,0.0,0.0
72,4,3,4,F0_ingested,F1_equilibrated,1.734723475976807e-18,0.0
73,1,1,1,F0_ingested,F1_equilibrated,0.0,0.0
73,2,2,2,F0_ingested,F1_equilibrated,0.0,0.0
73,3,4,3,F0_ingested,F1_equilibrated,0.0,0.0
73,4,3,4,F0_ingested,F1_equilibrated,0.0,0.0
74,1,1,1,F0_ingested,F1_equilibrated,0.0,0.0
74,2,2,2,F0_ingested,F1_equilibrated,0.0,0.0
74,3,4,3,F0_ingested,F1_equilibrated,1.734723475976807e-18,0.0
74,4,3,4,F0_ingested,F1_equilibrated,0.0,0.0
75,1,1,1,F0_ingested,F1_equilibrated,0.0,0.0
75,2,2,2,F0_ingested,F1_equilibrated,1.734723475976807e-18,0.0
75,3,4,3,F0_ingested,F1_equilibrated,0.0,0.0
75,4,3,4,F0_ingested,F1_equilibrated,1.734723475976807e-18,0.0
76,1,1,1,F0_ingested,F1_equilibrated,0.0,0.0
