node,x,y,F1_phase_residual,F1_phase_residual_abs
4876,0.19999999999999996,0.23750000000000004,-1.8090517341164998e-09,1.8090517341164998e-09
4877,0.21250000000000002,0.23750000000000004,-1.741186223168512e-09,1.741186223168512e-09
4878,0.22499999999999998,0.23750000000000004,-2.686656473404285e-09,2.686656473404285e-09
4879,0.23750000000000004,0.23750000000000004,2.6663662094364328e-09,2.6663662094364328e-09
4880,0.25,0.23750000000000004,-2.4116057350255093e-09,2.4116057350255093e-09
4881,0.26249999999999996,0.23750000000000004,3.0465372595727583e-10,3.0465372595727583e-10
4882,0.275,0.23750000000000004,3.0218488591084384e-09,3.0218488591084384e-09
4883,0.2875,0.23750000000000004,4.041941005936479e-09,4.041941005936479e-09
4884,0.30000000000000004,0.23750000000000004,-2.612041833038929e-09,2.612041833038929e-09
4885,0.3125,0.23750000000000004,5.557424367197687e-09,5.557424367197687e-09
4886,0.32499999999999996,0.23750000000000004,-1.9340766165936188e-09,1.9340766165936188e-09
4887,0.3375,0.23750000000000004,7.454926617883548e-09,7.454926617883548e-09
4888,0.35,0.23750000000000004,-3.479507090452792e-09,3.479507090452792e-09
4889,0.36250000000000004,0.23750000000000004,7.1572154215695865e-09,7.1572154215695865e-09
4890,0.375,0.23750000000000004,-1.955753556470874e-09,1.955753556470874e-09
4891,0.38749999999999996,0.23750000000000004,4.647227464288407e-10,4.647227464288407e-10
4892,0.4,0.23750000000000004,-5.778310016721529e-09,5.778310016721529e-09
4893,0.4125,0.23750000000000004,-8.610931513319886e-09,8.610931513319886e-09
4894,0.42500000000000004,0.23750000000000004,4.006977571607951e-09,4.006977571607951e-09
4895,0.4375,0.23750000000000004,-8.224111332609422e-09,8.224111332609422e-09
4896,0.44999999999999996,0.23750000000000004,2.9478287289211345e-09,2.9478287289211345e-09
4897,0.4625,0.23750000000000004,2.6476629300583747e-08,2.6476629300583747e-08
4898,0.475,0.23750000000000004,1.981538489917795e-09,1.981538489917795e-09
4899,0.48750000000000004,0.23750000000000004,8.153383924755139e-09,8.153383924755139e-09
4900,0.5,0.23750000000000004,2.684989128129019e-10,2.684989128129019e-10
4901,-0.5,0.25,-2.4117006328888843e-10,2.4117006328888843e-10
4902,-0.4875,0.25,-2.0172295159012053e-10,2.0172295159012053e-10
4903,-0.475,0.25,7.236048445855995e-10,7.236048445855995e-10
4904,-0.4625,0.25,1.6721064959016328e-09,1.6721064959016328e-09
4905,-0.45,0.25,-1.4390409373795996e-09,1.4390409373795996e-09
4906,-0.4375,0.25,6.21568607854829e-10,6.21568607854829e-10
4907,-0.425,0.25,2.1253641009096198e-09,2.1253641009096198e-09
4908,-0.4125,0.25,-2.2018881953914554e-09,2.2018881953914554e-09
4909,-0.4,0.25,-5.782738086190497e-10,5.782738086190497e-10
4910,-0.3875,0.25,-8.623486259225947e-11,8.623486259225947e-11
4911,-0.375,0.25,3.4768526404181307e-10,3.4768526404181307e-10
4912,-0.3625,0.25,2.3458166923976314e-10,2.3458166923976314e-10
4913,-0.35,0.25,-9.390092425229877e-10,9.390092425229877e-10
4914,-0.3375,0.25,2.041433071992852e-10,2.041433071992852e-10
4915,-0.325,0.25,-8.229073065156198e-11,8.229073065156198e-11
4916,-0.3125,0.25,-1.5233227045906638e-10,1.5233227045906638e-10
4917,-0.3,0.25,-1.3151356804235997e-09,1.3151356804235997e-09
4918,-0.2875,0.25,1.4785605864385501e-09,1.4785605864385501e-09
4919,-0.275,0.25,8.242939907649243e-10,8.242939907649243e-10
4920,-0.2625,0.25,-9.47793625419589e-10,9.47793625419589e-10
4921,-0.25,0.25,-4.741996742219343e-09,4.741996742219343e-09
4922,-0.2375,0.25,5.058162504794706e-09,5.058162504794706e-09
4923,-0.22499999999999998,0.25,3.6425415467585015e-09,3.6425415467585015e-09
4924,-0.21250000000000002,0.25,1.6314442256288124e-09,1.6314442256288124e-09
4925,-0.2,0.25,2.0056950108558398e-10,2.0056950108558398e-10
4926,-0.1875,0.25,-1.745560106779395e-09,1.745560106779395e-09
4927,-0.175,0.25,-1.1063499049205997e-08,1.1063499049205997e-08
4928,-0.16249999999999998,0.25,1.849859511428828e-08,1.849859511428828e-08
4929,-0.15000000000000002,0.25,-1.0037698438836924e-09,1.0037698438836924e-09
4930,-0.1375,0.25,3.2907540058390118e-09,3.2907540058390118e-09
4931,-0.125,0.25,3.1098611908995866e-09,3.1098611908995866e-09
4932,-0.11249999999999999,0.25,-2.7221217539047594e-08,2.7221217539047594e-08
4933,-0.09999999999999998,0.25,1.9374893853332304e-08,1.9374893853332304e-08
4934,-0.08750000000000002,0.25,1.6803371498164717e-08,1.6803371498164717e-08
4935,-0.07500000000000001,0.25,-7.118519253918878e-09,7.118519253918878e-09
4936,-0.0625,0.25,2.8352178766060464e-08,2.8352178766060464e-08
4937,-0.04999999999999999,0.25,-2.9374663138369253e-08,2.9374663138369253e-08
4938,-0.03749999999999998,0.25,1.9256586313895493e-08,1.9256586313895493e-08
4939,-0.025000000000000022,0.25,-4.064504286776518e-08,4.064504286776518e-08
4940,-0.012500000000000011,0.25,2.0548037171814633e-08,2.0548037171814633e-08
4941,0.0,0.25,-2.4962605801668632e-08,2.4962605801668632e-08
4942,0.012499999999999956,0.25,1.690113808849388e-08,1.690113808849388e-08
4943,0.025000000000000022,0.25,1.0257480012694818e-08,1.0257480012694818e-08
4944,0.03749999999999998,0.25,7.1464151855266834e-09,7.1464151855266834e-09
4945,0.050000000000000044,0.25,1.3020827880856548e-08,1.3020827880856548e-08
4946,0.0625,0.25,1.1859711914244681e-08,1.1859711914244681e-08
4947,0.07499999999999996,0.25,8.49797857605362e-09,8.49797857605362e-09
4948,0.08750000000000002,0.25,-1.205999439202632e-08,1.205999439202632e-08
4949,0.09999999999999998,0.25,-2.378538286144357e-08,2.378538286144357e-08
4950,0.11250000000000004,0.25,1.9207640730011883e-09,1.9207640730011883e-09
4951,0.125,0.25,-7.798103088610331e-09,7.798103088610331e-09
4952,0.13749999999999996,0.25,1.9275459457956727e-08,1.9275459457956727e-08
4953,0.15000000000000002,0.25,-7.791333711801056e-09,7.791333711801056e-09
4954,0.16249999999999998,0.25,6.294397448701242e-10,6.294397448701242e-10
4955,0.17500000000000004,0.25,2.7766401369888262e-09,2.7766401369888262e-09
4956,0.1875,0.25,-3.2571379589674894e-09,3.2571379589674894e-09
