node,x,y,F1_d,F3_d,F3_minus_F1_d,F1_phase_residual
611,0.03749999999999998,-0.4125,0.007245070003954585,0.007319522179870406,7.4452175915821e-05,4.904286083035295e-09
612,0.050000000000000044,-0.4125,0.007679459789042941,0.007741320748463081,6.186095942014008e-05,4.6133076999464626e-09
613,0.0625,-0.4125,0.007857359844884403,0.008145521396812478,0.00028816155192807474,-2.541965870398454e-08
614,0.07499999999999996,-0.4125,0.008493475633792335,0.008546635684843429,5.316005105109392e-05,6.86927507132521e-09
615,0.08750000000000002,-0.4125,0.008716019189947946,0.00891431988964654,0.00019830069969859268,-1.5383916053058207e-08
616,0.09999999999999998,-0.4125,0.00908080687558328,0.009269967411642124,0.00018916053605884386,-1.2714339003049328e-08
617,0.11250000000000004,-0.4125,0.009631791399845798,0.009605175901403775,-2.6615498442022698e-05,1.3164335297934392e-08
618,0.125,-0.4125,0.00969317708379153,0.009912808952118083,0.00021963186832655267,-1.1174907053845244e-08
619,0.13749999999999996,-0.4125,0.010035239163548051,0.010206789031428454,0.00017154986788040297,-3.9205868817541665e-09
620,0.15000000000000002,-0.4125,0.010477273821797549,0.010483738999959807,6.465178162258153e-06,1.2815070114655301e-08
621,0.16249999999999998,-0.4125,0.010704322295624707,0.010725253695557158,2.093139993245008e-05,8.610749942315812e-09
622,0.17500000000000004,-0.4125,0.010761595439451033,0.01094283445322714,0.0001812390137761067,-6.615579164716987e-09
623,0.1875,-0.4125,0.011042647791943493,0.01114363180565017,0.00010098401370667656,2.5799607257168038e-09
624,0.19999999999999996,-0.4125,0.011254250007097052,0.01132521107188579,7.09610647887382e-05,5.921229755823984e-09
625,0.21250000000000002,-0.4125,0.011306708525258016,0.011487170694629062,0.000180462169371046,-9.971204918826559e-09
626,0.22499999999999998,-0.4125,0.011548732078369303,0.011631672606781818,8.294052841251523e-05,3.150100133208436e-09
627,0.23750000000000004,-0.4125,0.011662304293953643,0.011759882353317432,9.757805936378913e-05,6.291226561795958e-10
628,0.25,-0.4125,0.011723327750265269,0.01187348812478937,0.00015016037452410085,-5.0073700698774e-09
629,0.26249999999999996,-0.4125,0.011909657939940393,0.011974711207613448,6.505326767305454e-05,5.71213494798328e-09
630,0.275,-0.4125,0.011960407624251922,0.012065395481689199,0.00010498785743727652,-7.08855684052114e-10
631,0.2875,-0.4125,0.012024622447449045,0.012147568517743458,0.00012294607029441317,-3.4464329328588235e-09
632,0.30000000000000004,-0.4125,0.01215924621039084,0.012223068830021572,6.382261963073198e-05,3.250545587001146e-09
633,0.3125,-0.4125,0.012195385282357103,0.01229398871444817,9.860343209106698e-05,-1.4820938715356268e-09
634,0.32499999999999996,-0.4125,0.012232692733870596,0.012362629322092323,0.00012993658822172717,-2.195791091736635e-09
635,0.3375,-0.4125,0.012275009803475477,0.012431561895437222,0.00015655209196174455,-7.972032558715183e-09
636,0.35,-0.4125,0.012432124919730815,0.012502862878833594,7.073795910277937e-05,2.0564241665909454e-10
637,0.36250000000000004,-0.4125,0.012505375774171008,0.012578445084858572,7.306931068756448e-05,1.7076845397076886e-09
638,0.375,-0.4125,0.012505235189103245,0.012661512671581393,0.00015627748247814752,-8.853885432843776e-09
639,0.38749999999999996,-0.4125,0.012661891466843073,0.012754397586930671,9.250612008759873e-05,-2.275304097367579e-09
640,0.4,-0.4125,0.012810393351045616,0.012858499852865843,4.810650182022688e-05,2.752375837823884e-09
641,0.4125,-0.4125,0.012808855253156393,0.012978440790212258,0.00016958553705586493,-9.957627340270586e-09
642,0.42500000000000004,-0.4125,0.013007964823625616,0.013116841776855898,0.00010887695323028197,-4.0913863768568356e-09
643,0.4375,-0.4125,0.01325388187475247,0.013271832309461834,1.7950434709363208e-05,7.230407593028795e-09
644,0.44999999999999996,-0.4125,0.013250307496946256,0.013447187964163686,0.00019688046721742965,-1.1700139370777483e-08
645,0.4625,-0.4125,0.013464057118799621,0.013644384335288057,0.00018032721648843578,-8.480443359450704e-09
646,0.475,-0.4125,0.013754397791355745,0.01384501297338704,9.061518203129504e-05,3.9996530833299165e-09
647,0.48750000000000004,-0.4125,0.013751831493150787,0.014017502663646741,0.00026567117049595447,-6.347687791034853e-09
648,0.5,-0.4125,0.01378968236645179,0.014103820284574804,0.00031413791812301417,-1.031698442426551e-09
649,-0.5,-0.4,0.00033047943864376395,0.00040727436148877815,7.67949228450142e-05,-7.426524153743854e-10
650,-0.4875,-0.4,0.00033015505760011505,0.0003832508787722799,5.3095821172164845e-05,-9.75138182335057e-10
651,-0.475,-0.4,0.0003301980511947516,0.000338523559448314,8.325508253562391e-06,1.8292785377677202e-09
652,-0.4625,-0.4,0.00026785295720810006,0.0002795069777978803,1.1654020589780254e-05,7.518141165496475e-10
653,-0.45,-0.4,0.00017192276148291288,0.00021602546139466456,4.4102699911751676e-05,-3.4961361617724886e-09
654,-0.4375,-0.4,0.00016782186560327414,0.00016627471466672825,-1.5471509365458857e-06,1.1348678785214063e-09
655,-0.425,-0.4,0.00013166106961348052,0.0001239110794775441,-7.749990135936413e-06,1.312452566504027e-09
656,-0.4125,-0.4,6.1028940660853795e-05,8.618681745676301e-05,2.5157876795909216e-05,-2.728082361411022e-09
657,-0.4,-0.4,4.873723178085256e-05,5.6787276267351115e-05,8.050044486498557e-06,-1.7479624883405294e-10
658,-0.3875,-0.4,4.078837343843327e-05,3.6865010170732875e-05,-3.923363267700395e-06,5.811124129804552e-10
659,-0.375,-0.4,2.653336114773742e-05,2.4277794940609427e-05,-2.2555662071279917e-06,2.888675905152763e-10
660,-0.3625,-0.4,2.058943167349546e-05,1.9542538787047418e-05,-1.046892886448043e-06,4.166073869587841e-11
661,-0.35,-0.4,2.4849570623389694e-05,2.2187645940571606e-05,-2.6619246828180884e-06,4.2542115094728736e-10
662,-0.3375,-0.4,2.6267613322520478e-05,3.119435611196222e-05,4.92674278944174e-06,-2.5739975552907227e-10
663,-0.325,-0.4,5.2465324491105e-05,5.067739280662684e-05,-1.7879316844781582e-06,4.322271400123002e-10
664,-0.3125,-0.4,8.406906369589628e-05,7.757771296963959e-05,-6.491350726256688e-06,1.5301588992703077e-09
665,-0.3,-0.4,9.722405732769644e-05,0.00011071199275182239,1.348793542412595e-05,-1.5102863044291033e-09
666,-0.2875,-0.4,0.0001632553903857304,0.00015912238505566976,-4.1330053300606346e-06,6.813571633652528e-10
667,-0.275,-0.4,0.00022479255132051685,0.0002159110114185755,-8.88153990194135e-06,2.569134029148061e-09
668,-0.2625,-0.4,0.0002442364990334041,0.0002808797624355027,3.6643263402098575e-05,-3.201013489373746e-09
669,-0.25,-0.4,0.00037014406801235853,0.0003664680117607403,-3.6760562516182553e-06,1.752589035813786e-09
670,-0.2375,-0.4,0.0004718082363309534,0.00046405317431689455,-7.755062014058842e-06,2.890211515741982e-09
