element,integration_point,odb_integration_point,uel_integration_point,left,right,sdv15_delta,sdv16_delta
52,4,3,4,F1_equilibrated,F3_release_last,0.00013924303975041546,1.259490323040778e-05
53,1,1,1,F1_equilibrated,F3_release_last,7.775011432741182e-05,1.0023289373842334e-05
53,2,2,2,F1_equilibrated,F3_release_last,4.8946228241954215e-05,1.704339001703701e-05
53,3,4,3,F1_equilibrated,F3_release_last,8.100099007214874e-05,1.0691785435855091e-05
53,4,3,4,F1_equilibrated,F3_release_last,4.0354531790963086e-05,3.0647867472517612e-06
54,1,1,1,F1_equilibrated,F3_release_last,5.8147612738727525e-05,8.162323904327006e-06
54,2,2,2,F1_equilibrated,F3_release_last,0.00011209014876935146,1.2639148323260194e-05
54,3,4,3,F1_equilibrated,F3_release_last,0.0001578276422992686,1.756648520908927e-05
54,4,3,4,F1_equilibrated,F3_release_last,0.0001124778151652215,1.3712649212153146e-05
55,1,1,1,F1_equilibrated,F3_release_last,0.00012251538261599804,1.237513282902709e-05
55,2,2,2,F1_equilibrated,F3_release_last,9.705511513519519e-05,8.980597404041613e-06
55,3,4,3,F1_equilibrated,F3_release_last,7.448344378929023e-05,6.0827801865971035e-06
55,4,3,4,F1_equilibrated,F3_release_last,0.0001476470811721583,1.459983688122308e-05
56,1,1,1,F1_equilibrated,F3_release_last,0.00010358620340272968,8.668573173598731e-06
56,2,2,2,F1_equilibrated,F3_release_last,0.0001468897358591504,1.250468233412105e-05
56,3,4,3,F1_equilibrated,F3_release_last,9.664240082533221e-05,7.298918399186978e-06
56,4,3,4,F1_equilibrated,F3_release_last,6.081678088014873e-05,3.585792162921807e-06
57,1,1,1,F1_equilibrated,F3_release_last,0.0001550041874662459,6.249235108073039e-06
57,2,2,2,F1_equilibrated,F3_release_last,0.00013386974907596792,1.1261674776104607e-05
57,3,4,3,F1_equilibrated,F3_release_last,0.00015250064162429001,1.5180088625754793e-05
57,4,3,4,F1_equilibrated,F3_release_last,0.00012120901727069242,1.007131229622117e-05
58,1,1,1,F1_equilibrated,F3_release_last,0.00011927319254173563,1.1844248175153175e-05
58,2,2,2,F1_equilibrated,F3_release_last,0.00010052909686493645,9.503262258305683e-06
58,3,4,3,F1_equilibrated,F3_release_last,9.061107251596284e-05,8.284400871267717e-06
58,4,3,4,F1_equilibrated,F3_release_last,0.0001443019470372068,1.4350279120898916e-05
59,1,1,1,F1_equilibrated,F3_release_last,0.00010082776585057865,8.290616216574502e-06
59,2,2,2,F1_equilibrated,F3_release_last,0.0001203878403708003,9.940861900356156e-06
59,3,4,3,F1_equilibrated,F3_release_last,8.623523739365382e-05,5.90474260961176e-06
59,4,3,4,F1_equilibrated,F3_release_last,7.505214455984059e-05,4.911299955925787e-06
60,1,1,1,F1_equilibrated,F3_release_last,0.00012439866181381334,4.809652322486759e-06
60,2,2,2,F1_equilibrated,F3_release_last,0.00011579635525599957,9.61770299432829e-06
60,3,4,3,F1_equilibrated,F3_release_last,0.0001317990837266629,1.251336369553508e-05
60,4,3,4,F1_equilibrated,F3_release_last,0.00010144053391634121,7.3637489674091734e-06
61,1,1,1,F1_equilibrated,F3_release_last,0.0001095487018966182,1.0777048509522363e-05
61,2,2,2,F1_equilibrated,F3_release_last,0.00010108210204851781,9.751585740074833e-06
61,3,4,3,F1_equilibrated,F3_release_last,9.926050234656397e-05,9.624433776642388e-06
61,4,3,4,F1_equilibrated,F3_release_last,0.0001312149460280642,1.3066814057119402e-05
62,1,1,1,F1_equilibrated,F3_release_last,9.990662773500317e-05,8.460171442416752e-06
62,2,2,2,F1_equilibrated,F3_release_last,0.00010516177203559289,8.876010277839887e-06
62,3,4,3,F1_equilibrated,F3_release_last,7.902905099542445e-05,5.800109869475312e-06
62,4,3,4,F1_equilibrated,F3_release_last,8.527733391627129e-05,6.429487988258596e-06
63,1,1,1,F1_equilibrated,F3_release_last,0.00010462771924208206,1.0897844140007407e-05
63,2,2,2,F1_equilibrated,F3_release_last,9.791351557569654e-05,7.919997406380906e-06
63,3,4,3,F1_equilibrated,F3_release_last,0.00011145356115193836,1.023704509112459e-05
63,4,3,4,F1_equilibrated,F3_release_last,8.60429499441144e-05,8.032199822086226e-06
64,1,1,1,F1_equilibrated,F3_release_last,9.571406678425716e-05,9.379970729095312e-06
64,2,2,2,F1_equilibrated,F3_release_last,9.641926460377849e-05,9.367377087260648e-06
64,3,4,3,F1_equilibrated,F3_release_last,0.00010081269195881884,1.0009536511038997e-05
64,4,3,4,F1_equilibrated,F3_release_last,0.00011541110159719523,1.1520462420954065e-05
65,1,1,1,F1_equilibrated,F3_release_last,9.619038016089355e-05,8.340738089827882e-06
65,2,2,2,F1_equilibrated,F3_release_last,9.485985841435271e-05,8.126649010846811e-06
65,3,4,3,F1_equilibrated,F3_release_last,7.385144045469333e-05,5.713134004601541e-06
65,4,3,4,F1_equilibrated,F3_release_last,8.96768143179745e-05,7.3412368128220745e-06
66,1,1,1,F1_equilibrated,F3_release_last,9.009547838019494e-05,9.266359328271526e-06
66,2,2,2,F1_equilibrated,F3_release_last,7.840947180685551e-05,5.742260551778924e-06
66,3,4,3,F1_equilibrated,F3_release_last,9.273375586086458e-05,7.983221291452645e-06
66,4,3,4,F1_equilibrated,F3_release_last,7.467054547241787e-05,6.736629115988496e-06
67,1,1,1,F1_equilibrated,F3_release_last,7.720651873115159e-05,7.570097658574949e-06
67,2,2,2,F1_equilibrated,F3_release_last,8.56059963825432e-05,8.349296720869606e-06
67,3,4,3,F1_equilibrated,F3_release_last,9.722492206249052e-05,9.785328869411306e-06
67,4,3,4,F1_equilibrated,F3_release_last,9.877718285396242e-05,9.9019212305236e-06
68,1,1,1,F1_equilibrated,F3_release_last,8.716302315238574e-05,7.702094749166034e-06
68,2,2,2,F1_equilibrated,F3_release_last,8.301742174494399e-05,7.2393662281001765e-06
68,3,4,3,F1_equilibrated,F3_release_last,6.535159190459994e-05,5.337978374133452e-06
68,4,3,4,F1_equilibrated,F3_release_last,8.826856196107562e-05,7.670968996883803e-06
69,1,1,1,F1_equilibrated,F3_release_last,7.460099205229206e-05,8.045069761437006e-06
69,2,2,2,F1_equilibrated,F3_release_last,5.57524799210795e-05,1.138589237309408e-05
69,3,4,3,F1_equilibrated,F3_release_last,7.447787625968622e-05,9.156474878918054e-06
69,4,3,4,F1_equilibrated,F3_release_last,6.16563888078403e-05,5.615115487144851e-06
70,1,1,1,F1_equilibrated,F3_release_last,5.5580773673137226e-05,5.771541671998823e-06
70,2,2,2,F1_equilibrated,F3_release_last,7.396017561100976e-05,7.396275742416972e-06
70,3,4,3,F1_equilibrated,F3_release_last,9.65093933069771e-05,1.0014141078181502e-05
70,4,3,4,F1_equilibrated,F3_release_last,8.381671066902754e-05,8.82775252624324e-06
71,1,1,1,F1_equilibrated,F3_release_last,7.747951573054863e-05,6.983173518094327e-06
71,2,2,2,F1_equilibrated,F3_release_last,6.871512980837283e-05,5.952093414587738e-06
71,3,4,3,F1_equilibrated,F3_release_last,5.328640112968984e-05,4.431395496361191e-06
71,4,3,4,F1_equilibrated,F3_release_last,8.832882152123508e-05,8.152022140982393e-06
72,1,1,1,F1_equilibrated,F3_release_last,7.929463124171053e-05,6.351306110985878e-06
72,2,2,2,F1_equilibrated,F3_release_last,0.0001169627525985182,9.743397782768304e-06
72,3,4,3,F1_equilibrated,F3_release_last,8.725899953149208e-05,6.7827734405194115e-06
72,4,3,4,F1_equilibrated,F3_release_last,5.299974319148901e-05,3.5968146922620275e-06
73,1,1,1,F1_equilibrated,F3_release_last,0.00011904808029345772,2.9313627513266605e-06
73,2,2,2,F1_equilibrated,F3_release_last,8.707718014964311e-05,6.3980608883843024e-06
73,3,4,3,F1_equilibrated,F3_release_last,0.00011105156399189055,1.069520097593253e-05
73,4,3,4,F1_equilibrated,F3_release_last,0.00010281393803411414,7.1033324514451195e-06
74,1,1,1,F1_equilibrated,F3_release_last,6.991347743516736e-05,6.643822099602339e-06
74,2,2,2,F1_equilibrated,F3_release_last,5.499226971701632e-05,5.012332517690234e-06
74,3,4,3,F1_equilibrated,F3_release_last,4.337205454840211e-05,4.161282657234779e-06
74,4,3,4,F1_equilibrated,F3_release_last,9.512415931530946e-05,9.582595055755922e-06
75,1,1,1,F1_equilibrated,F3_release_last,6.276376127321501e-05,4.646186464482387e-06
75,2,2,2,F1_equilibrated,F3_release_last,9.891707877349512e-05,7.969611618981838e-06
75,3,4,3,F1_equilibrated,F3_release_last,5.625955070713909e-05,3.5727266931438913e-06
75,4,3,4,F1_equilibrated,F3_release_last,3.295831405769091e-05,1.332674740568262e-06
76,1,1,1,F1_equilibrated,F3_release_last,0.00010891032187392881,1.3490714330610405e-05
76,2,2,2,F1_equilibrated,F3_release_last,0.00010005905225641751,4.69992186870544e-06
76,3,4,3,F1_equilibrated,F3_release_last,0.00012862903807323023,1.1250970515848434e-05
76,4,3,4,F1_equilibrated,F3_release_last,8.18944439464047e-05,9.495482404178876e-06
77,1,1,1,F1_equilibrated,F3_release_last,0.00010108452890175874,6.469751711056949e-06
77,2,2,2,F1_equilibrated,F3_release_last,0.00011273745281631213,4.846298394638616e-06
77,3,4,3,F1_equilibrated,F3_release_last,0.00011133818847290644,5.411995267825273e-06
77,4,3,4,F1_equilibrated,F3_release_last,0.00013651846564125686,1.1942493466237086e-05
78,1,1,1,F1_equilibrated,F3_release_last,0.00013039782392665344,3.5135438073922564e-06
78,2,2,2,F1_equilibrated,F3_release_last,0.00016699393116606336,6.394399917792953e-06
78,3,4,3,F1_equilibrated,F3_release_last,0.00012018098701563514,0.0
78,4,3,4,F1_equilibrated,F3_release_last,0.00010696057426881275,0.0
79,1,1,1,F1_equilibrated,F3_release_last,0.0002162063438295031,1.321378345564713e-05
79,2,2,2,F1_equilibrated,F3_release_last,0.00031406104834965504,2.7741632790193472e-05
79,3,4,3,F1_equilibrated,F3_release_last,0.00026165856576688094,2.2790060598799596e-05
79,4,3,4,F1_equilibrated,F3_release_last,0.00016163218890825892,6.858681007882025e-06
80,1,1,1,F1_equilibrated,F3_release_last,0.0003609773854365457,4.1032029363256926e-05
