step,step_time,variable,value
Step-1,0.3330000042915344,ALLAE,0.0
Step-1,0.33399999141693115,ALLAE,0.0
Step-1,0.33500000834465027,ALLAE,0.0
Step-1,0.335999995470047,ALLAE,0.0
Step-1,0.3370000123977661,ALLAE,0.0
Step-1,0.33799999952316284,ALLAE,0.0
Step-1,0.33899998664855957,ALLAE,0.0
Step-1,0.3400000035762787,ALLAE,0.0
Step-1,0.3409999907016754,ALLAE,0.0
Step-1,0.34200000762939453,ALLAE,0.0
Step-1,0.34299999475479126,ALLAE,0.0
Step-1,0.3440000116825104,ALLAE,0.0
Step-1,0.3449999988079071,ALLAE,0.0
Step-1,0.34599998593330383,ALLAE,0.0
Step-1,0.34700000286102295,ALLAE,0.0
Step-1,0.3479999899864197,ALLAE,0.0
Step-1,0.3490000069141388,ALLAE,0.0
Step-1,0.3499999940395355,ALLAE,0.0
Step-1,0.35100001096725464,ALLAE,0.0
Step-1,0.35199999809265137,ALLAE,0.0
Step-1,0.3529999852180481,ALLAE,0.0
Step-1,0.3540000021457672,ALLAE,0.0
Step-1,0.35499998927116394,ALLAE,0.0
Step-1,0.35600000619888306,ALLAE,0.0
Step-1,0.3569999933242798,ALLAE,0.0
Step-1,0.3580000102519989,ALLAE,0.0
Step-1,0.35899999737739563,ALLAE,0.0
Step-1,0.36000001430511475,ALLAE,0.0
Step-1,0.3610000014305115,ALLAE,0.0
Step-1,0.3619999885559082,ALLAE,0.0
Step-1,0.3630000054836273,ALLAE,0.0
Step-1,0.36399999260902405,ALLAE,0.0
Step-1,0.36500000953674316,ALLAE,0.0
Step-1,0.3659999966621399,ALLAE,0.0
Step-1,0.367000013589859,ALLAE,0.0
Step-1,0.36800000071525574,ALLAE,0.0
Step-1,0.36899998784065247,ALLAE,0.0
Step-1,0.3700000047683716,ALLAE,0.0
Step-1,0.3709999918937683,ALLAE,0.0
Step-1,0.3720000088214874,ALLAE,0.0
Step-1,0.37299999594688416,ALLAE,0.0
Step-1,0.37400001287460327,ALLAE,0.0
Step-1,0.375,ALLAE,0.0
Step-1,0.37599998712539673,ALLAE,0.0
Step-1,0.37700000405311584,ALLAE,0.0
Step-1,0.3779999911785126,ALLAE,0.0
Step-1,0.3790000081062317,ALLAE,0.0
Step-1,0.3799999952316284,ALLAE,0.0
Step-1,0.38100001215934753,ALLAE,0.0
Step-1,0.38199999928474426,ALLAE,0.0
Step-1,0.382999986410141,ALLAE,0.0
Step-1,0.3840000033378601,ALLAE,0.0
Step-1,0.38499999046325684,ALLAE,0.0
Step-1,0.38600000739097595,ALLAE,0.0
Step-1,0.3869999945163727,ALLAE,0.0
Step-1,0.3880000114440918,ALLAE,0.0
Step-1,0.3889999985694885,ALLAE,0.0
Step-1,0.38999998569488525,ALLAE,0.0
Step-1,0.39100000262260437,ALLAE,0.0
Step-1,0.3919999897480011,ALLAE,0.0
Step-1,0.3930000066757202,ALLAE,0.0
Step-1,0.39399999380111694,ALLAE,0.0
Step-1,0.39500001072883606,ALLAE,0.0
Step-1,0.3959999978542328,ALLAE,0.0
Step-1,0.3970000147819519,ALLAE,0.0
Step-1,0.39800000190734863,ALLAE,0.0
Step-1,0.39899998903274536,ALLAE,0.0
Step-1,0.4000000059604645,ALLAE,0.0
Step-1,0.4009999930858612,ALLAE,0.0
Step-1,0.4020000100135803,ALLAE,0.0
Step-1,0.40299999713897705,ALLAE,0.0
Step-1,0.40400001406669617,ALLAE,0.0
Step-1,0.4050000011920929,ALLAE,0.0
