step,frame,step_time,target_abs_u,rp_u1,rp_rf1,element,integration_point,sdv14,sdv15,sdv16
Step-1,50,0.5,0.005,0.004999999888241291,0.22533376514911652,10081,3,0.004626602400094271,0.004645525012165308,0.0004121912061236799
Step-1,50,0.5,0.005,0.004999999888241291,0.22533376514911652,10081,4,0.004484965465962887,0.004503307864069939,0.00040948353125713766
Step-1,50,0.5,0.005,0.004999999888241291,0.22533376514911652,10082,1,0.00473088538274169,0.004750235006213188,0.00043232267489656806
Step-1,50,0.5,0.005,0.004999999888241291,0.22533376514911652,10082,2,0.0048741549253463745,0.004894091747701168,0.00043513061245903373
Step-1,50,0.5,0.005,0.004999999888241291,0.22533376514911652,10082,3,0.004713854286819696,0.004733134992420673,0.0004313685349188745
Step-1,50,0.5,0.005,0.004999999888241291,0.22533376514911652,10082,4,0.004857161082327366,0.004877028521150351,0.000434164481703192
Step-1,50,0.5,0.005,0.004999999888241291,0.22533376514911652,10083,1,0.004002893343567848,0.004019262734800577,0.0003646807454060763
Step-1,50,0.5,0.005,0.004999999888241291,0.22533376514911652,10083,2,0.0041405754163861275,0.0041575077921152115,0.00036719400668516755
Step-1,50,0.5,0.005,0.004999999888241291,0.22533376514911652,10083,3,0.0039865500293672085,0.004002852831035852,0.00036372721660882235
Step-1,50,0.5,0.005,0.004999999888241291,0.22533376514911652,10083,4,0.0041240812279284,0.004140946548432112,0.00036623101914301515
Step-1,50,0.5,0.005,0.004999999888241291,0.22533376514911652,10084,1,0.0035360923502594233,0.0035505532287061214,0.00032122861011885107
Step-1,50,0.5,0.005,0.004999999888241291,0.22533376514911652,10084,2,0.0036689129192382097,0.003683916525915265,0.0003235538606531918
Step-1,50,0.5,0.005,0.004999999888241291,0.22533376514911652,10084,3,0.0035202596336603165,0.003534656250849366,0.00032030403963290155
Step-1,50,0.5,0.005,0.004999999888241291,0.22533376514911652,10084,4,0.003653123741969466,0.0036680633202195168,0.00032261607702821493
Step-1,50,0.5,0.005,0.004999999888241291,0.22533376514911652,10085,1,0.0028691382613033056,0.0028808750212192535,0.000259019696386531
Step-1,50,0.5,0.005,0.004999999888241291,0.22533376514911652,10085,2,0.0029939385131001472,0.00300618470646441,0.000261076376773417
Step-1,50,0.5,0.005,0.004999999888241291,0.22533376514911652,10085,3,0.0028540717903524637,0.0028657473158091307,0.0002581019070930779
