element,fracture_energy_local_term,fracture_energy_gradient_term,total_fracture_energy
211,4.818242434314234e-12,2.938501261236066e-14,4.8476274469265944e-12
212,7.1807884582119535e-12,4.529783258151089e-14,7.226086290793464e-12
213,6.892342056857949e-12,2.3552857322903457e-14,6.915894914180852e-12
214,6.372086389626234e-12,3.052767215228573e-14,6.40261406177852e-12
215,4.897501133019342e-12,8.377739564308305e-15,4.905878872583651e-12
216,3.739775661240568e-11,2.477484863645796e-14,3.7422531461042135e-11
217,5.69272193123747e-12,6.138674705497982e-14,5.754108678292449e-12
218,5.041853651626377e-12,4.1863646560624144e-14,5.083717298187001e-12
219,3.699603569040484e-12,2.844506530513481e-14,3.728048634345619e-12
220,3.5279436380451105e-12,2.446928895297625e-14,3.5524129269980866e-12
221,6.338661397663456e-12,3.481916442160315e-14,6.3734805620850594e-12
222,4.038333765117092e-12,2.4539619632784877e-14,4.062873384749877e-12
223,1.0529126655661317e-11,2.2405930337792707e-14,1.055153258599911e-11
224,8.701401641167156e-12,1.3897485302569174e-14,8.715299126469725e-12
225,4.5401146792692766e-11,3.584793186934297e-14,4.543699472456211e-11
226,1.5834249760991835e-12,4.0225081586924496e-14,1.623650057686108e-12
227,1.93071053427349e-12,3.704874800587112e-14,1.967759282279361e-12
228,6.689813807011282e-13,1.748530722093566e-14,6.864666879220639e-13
229,2.417479680196392e-12,2.0487405021822398e-14,2.4379670852182145e-12
230,6.906098883173271e-12,3.7091942237136795e-14,6.943190825410408e-12
231,6.079774056745684e-12,3.8235309154707515e-14,6.1180093659003914e-12
232,1.0878916880228219e-11,2.930719106232299e-14,1.0908224071290542e-11
233,1.2597566259827647e-11,2.7736394699374076e-14,1.262530265452702e-11
234,4.032806369097987e-11,3.3947064603558635e-14,4.0362010755583426e-11
235,8.757390574713419e-14,8.39962277110672e-15,9.597352851824091e-14
236,7.628110547229238e-14,8.19543688362893e-15,8.44765423559213e-14
237,4.136661634780899e-13,2.051223787663869e-14,4.341784013547286e-13
238,9.42467937695303e-14,9.30925878158131e-15,1.035560525511116e-13
239,4.406177163321246e-13,1.1599428164270471e-14,4.522171444963951e-13
240,6.68991582903278e-12,3.7751527991920833e-14,6.727667357024701e-12
241,5.046958609349506e-12,3.391360338535744e-14,5.0808722127348636e-12
242,1.111010976735329e-11,4.1864710341948435e-14,1.1151974477695237e-11
243,2.2604563042411963e-11,4.154993750414621e-14,2.264611297991611e-11
244,1.3353141055286644e-11,2.0308164518932273e-14,1.3373449219805575e-11
245,2.8596957175976043e-11,2.851128482613881e-14,2.8625468460802183e-11
246,3.682732594685455e-15,5.2841720400004264e-15,8.966904634685882e-15
247,1.5924218413271355e-14,6.186317871951779e-15,2.2110536285223134e-14
248,2.162269463622345e-13,6.832524485193553e-15,2.2305947084742805e-13
249,1.3998142302253421e-11,4.597715348358534e-14,1.4044119455737007e-11
250,2.4512739211996658e-11,5.468928808288899e-14,2.4567428500079546e-11
251,2.543006148361739e-11,3.970795485517625e-14,2.5469769438472567e-11
252,2.2444896725325176e-11,2.97171234979334e-14,2.247461384882311e-11
253,6.889881469429585e-11,6.106054189970423e-14,6.895987523619556e-11
254,3.331115858905452e-15,4.239872237464417e-15,7.570988096369869e-15
255,1.0335637801432822e-14,2.386002269790463e-15,1.2721640071223285e-14
256,1.1572847171443251e-14,2.3357533651674573e-15,1.3908600536610708e-14
257,4.4009870462454925e-15,3.145823455936316e-15,7.54681050218181e-15
258,1.8552036891350818e-13,1.021836126032954e-14,1.9573873017383773e-13
259,1.4692673923161026e-12,2.8495941922755337e-14,1.497763334238858e-12
260,1.747491589892875e-11,6.381509237501291e-14,1.7538730991303762e-11
261,3.4574343429554585e-11,6.003955765008359e-14,3.463438298720467e-11
262,1.3913202691672839e-12,3.9018246078593947e-16,1.3917104516280698e-12
263,3.0778766275336993e-12,1.5548088437861838e-13,3.2333575119123177e-12
264,1.353704629855292e-12,5.179868209079824e-15,1.3588844980643717e-12
265,9.022229826252929e-13,1.9708716579296755e-14,9.219316992045896e-13
266,1.2460068364453884e-12,2.53518142541732e-15,1.2485420178708058e-12
267,1.161692834365878e-12,9.598055227445592e-16,1.1626526398886226e-12
268,1.1491636230983003e-12,4.592982962479589e-16,1.1496229213945483e-12
269,1.1404978982088618e-12,3.2363411515612e-16,1.140821532324018e-12
270,1.159027377043794e-12,7.509748346852854e-16,1.1597783518784793e-12
271,1.0666238430858307e-12,4.9092611780182356e-17,1.0666729356976108e-12
272,1.0797512791538806e-12,7.396296377369272e-17,1.0798252421176543e-12
273,1.0568313287001746e-12,3.1739235831228395e-17,1.0568630679360058e-12
274,1.0494048607061443e-12,2.0015507791408313e-17,1.0494248762139356e-12
275,1.0402728044856344e-12,8.416834324607893e-18,1.040281221319959e-12
276,1.0376284456299937e-12,6.901363570703644e-18,1.0376353469935644e-12
277,1.03597012980688e-12,7.492359656522931e-18,1.0359776221665365e-12
278,1.0352125679609808e-12,1.83202923536865e-17,1.0352308882533345e-12
279,1.0344917923448617e-12,1.3477372822458464e-17,1.034505269717684e-12
280,1.041057266111202e-12,3.8059025358793925e-17,1.0410953251365607e-12
281,1.0440034273237401e-12,4.593283999436672e-17,1.0440493601637344e-12
282,1.0542707259607082e-12,6.322717899125353e-17,1.0543339531396994e-12
283,1.060987448730697e-12,7.252239638159147e-17,1.0610599711270787e-12
284,1.066941608837281e-12,8.207159072481867e-17,1.0670236804280058e-12
285,1.072516235733074e-12,9.181534053973006e-17,1.0726080510736137e-12
286,1.0851785448068042e-12,1.1195781973358518e-16,1.0852905026265378e-12
287,1.092766561790493e-12,1.2234672023555422e-16,1.0928889085107284e-12
288,1.0995639337472991e-12,1.3275320036564034e-16,1.0996966869476648e-12
289,1.1275336111758686e-12,1.6531673246212264e-16,1.1276989279083308e-12
290,1.137682612262629e-12,1.7640058922469615e-16,1.1378590128518537e-12
291,1.1487929250649024e-12,1.8762685235083743e-16,1.1489805519172533e-12
292,1.1599633619387803e-12,1.988959569220125e-16,1.1601622578957024e-12
293,1.1715983495461556e-12,2.1022174025113407e-16,1.1718085712864068e-12
294,1.181208395316347e-12,2.211599336107852e-16,1.1814295552499577e-12
