element,bulk_energy_from_SDV12,bulk_energy_from_stress_strain,undamaged_bulk_energy_from_SDV13,relative_sdv12_vs_stress_strain
3344,2.9296010945047464e-08,2.929601208186675e-08,2.9934585168416083e-08,3.880457461524638e-08
3345,2.51388966116023e-08,2.5138896098667484e-08,2.5911232322542904e-08,2.0404030649515738e-08
3346,1.472220029041157e-07,1.4722200479640704e-07,1.5316097759872069e-07,1.2853318722554654e-08
3347,1.1140817735722412e-07,1.1140817908857565e-07,1.1364328616417718e-07,1.554061420464916e-08
3348,1.418794930904836e-07,1.4187949434784436e-07,1.4480669911404796e-07,8.862174055278974e-09
3349,7.514470969836702e-08,7.514471099763863e-08,7.801666761245343e-08,1.729026021158712e-08
3350,1.1732911423921694e-07,1.1732911051825134e-07,1.222507213692693e-07,3.171391529219406e-08
3351,1.0194155061742081e-07,1.0194155329279256e-07,1.063360271019755e-07,2.624417288362475e-08
3352,1.514312901799504e-07,1.5143128800685754e-07,1.579696229630881e-07,1.4350355564164885e-08
3353,2.3655845561986705e-07,2.3655845810195552e-07,2.447273483676049e-07,1.0492495110903496e-08
3354,1.154351449110258e-07,1.1543514106129731e-07,1.1772655003295441e-07,3.334970903250387e-08
3355,1.4251320480610508e-07,1.4251319945204437e-07,1.4880498704801702e-07,3.7568874574229565e-08
3356,6.483781163345163e-08,6.483781206673302e-08,6.717555120197375e-08,6.682541764896489e-09
3357,3.3241944793975554e-07,3.324194351764616e-07,3.388566163660413e-07,3.839514810668725e-08
3358,8.138980008009171e-08,8.138980035695422e-08,8.302839134495808e-08,3.4016856094286342e-09
3359,1.8724252625610232e-07,1.872425248200391e-07,1.9111664641556028e-07,7.669535660029502e-09
3360,3.228902438366567e-07,3.2289024458942883e-07,3.2657034952451836e-07,2.3313559822352476e-09
3361,1.362853794612812e-07,1.3628538065937172e-07,1.3901769787620026e-07,8.791042083953604e-09
3362,1.2853256797237407e-07,1.2853256947732435e-07,1.2907637065707885e-07,1.1708707636228607e-08
3363,2.2318534153207657e-07,2.231853449801017e-07,2.2772802013778426e-07,1.544915558164471e-08
3364,2.987657018461164e-08,2.987657096392712e-08,3.051252370394369e-08,2.6084502237348113e-08
3365,4.700895600637062e-08,4.70089561209277e-08,4.82403791380464e-08,2.4369202442154875e-09
3366,4.414032662202225e-08,4.414032485658415e-08,4.527955578322141e-08,3.999603620413316e-08
3367,2.6120180070702306e-08,2.6120180275889863e-08,2.689471723759947e-08,7.855518424030932e-09
3368,8.278244913311477e-08,8.278245011979787e-08,8.557962408908345e-08,1.1918988816913247e-08
3369,6.655793226348233e-08,6.65579333978302e-08,6.818814171840854e-08,1.7043015235186054e-08
