node,x,y,phase_d,source
64,0.2227722704410553,0.0,-0.0007664898294024169,U
65,0.21782177686691284,0.0,-0.0007629772881045938,U
66,0.21287128329277039,0.0,-0.0007595504866912961,U
67,0.20792078971862793,0.0,-0.0007562116370536387,U
68,0.20297029614448547,0.0,-0.0007529630092903972,U
69,0.19801980257034302,0.0,-0.000749806989915669,U
70,0.19306930899620056,0.0,-0.0007467460818588734,U
71,0.1881188154220581,0.0,-0.0007437829044647515,U
72,0.18316832184791565,0.0,-0.0007409202517010272,U
73,0.1782178282737732,0.0,-0.0007381610339507461,U
74,0.17326731979846954,0.0,-0.0007355083944275975,U
75,0.1683168262243271,0.0,-0.0007329655345529318,U
76,0.16336633265018463,0.0,-0.0007305358303710818,U
77,0.15841583907604218,0.0,-0.0007282232400029898,U
78,0.15346534550189972,0.0,-0.000726031546946615,U
79,0.14851485192775726,0.0,-0.000723965116776526,U
80,0.1435643583536148,0.0,-0.0007220283732749522,U
81,0.13861386477947235,0.0,-0.000720226380508393,U
82,0.1336633712053299,0.0,-0.0007185646099969745,U
83,0.12871287763118744,0.0,-0.000717048707883805,U
84,0.12376237660646439,0.0,-0.0007156851352192461,U
85,0.11881188303232193,0.0,-0.0007144807605072856,U
86,0.11386138945817947,0.0,-0.0007134434417821467,U
87,0.10891088843345642,0.0,-0.0007125813863240182,U
88,0.10396039485931396,0.0,-0.0007119039073586464,U
89,0.09900990128517151,0.0,-0.0007114217733033001,U
90,0.09405940771102905,0.0,-0.0007111466256901622,U
91,0.0891089141368866,0.0,-0.0007110918522812426,U
92,0.08415841311216354,0.0,-0.0007112731109373271,U
93,0.07920791953802109,0.0,-0.0007117082132026553,U
94,0.07425742596387863,0.0,-0.0007124169496819377,U
95,0.06930693238973618,0.0,-0.0007134242332540452,U
96,0.06435643881559372,0.0,-0.0007147583528421819,U
97,0.059405941516160965,0.0,-0.0007164549897424877,U
98,0.05445544421672821,0.0,-0.0007185561116784811,U
99,0.049504950642585754,0.0,-0.0007211162010207772,U
100,0.0445544570684433,0.0,-0.0007242013234645128,U
101,0.039603959769010544,0.0,-0.0007278972771018744,U
102,0.03465346619486809,0.0,-0.0007323253666982055,U
103,0.029702970758080482,0.0,-0.000737645837944001,U
