element,integration_point,x,y,H
1901,3,0.1852676197886467,-0.13576727360486984,0.0011461920803412795
1901,4,0.1852676197886467,-0.13576727360486984,0.0011526633752509952
1902,1,0.11884127929806709,-0.05857168696820736,0.0012122881598770618
1902,2,0.11884127929806709,-0.05857168696820736,0.0012126826914027333
1902,3,0.11884127929806709,-0.05857168696820736,0.0012086915085092187
1902,4,0.11884127929806709,-0.05857168696820736,0.0012085021007806063
1903,1,0.1921420358121395,-0.1267060749232769,0.001120194559916854
1903,2,0.1921420358121395,-0.1267060749232769,0.0011124663287773728
1903,3,0.1921420358121395,-0.1267060749232769,0.0011128494516015053
1903,4,0.1921420358121395,-0.1267060749232769,0.0011069336906075478
1904,1,0.13259877637028694,-0.061195340007543564,0.001151987467892468
1904,2,0.13259877637028694,-0.061195340007543564,0.001139228348620236
1904,3,0.13259877637028694,-0.061195340007543564,0.0011589954374358058
1904,4,0.13259877637028694,-0.061195340007543564,0.0011460392270237207
1905,1,0.17567409574985504,-0.06783279217779636,0.001022660406306386
1905,2,0.17567409574985504,-0.06783279217779636,0.0010276762768626213
1905,3,0.17567409574985504,-0.06783279217779636,0.0010202804114669561
1905,4,0.17567409574985504,-0.06783279217779636,0.0010258848778903484
1906,1,0.17057844623923302,-0.06891803815960884,0.0010343596804887056
1906,2,0.17057844623923302,-0.06891803815960884,0.00103532534558326
1906,3,0.17057844623923302,-0.06891803815960884,0.0010443326318636537
1906,4,0.17057844623923302,-0.06891803815960884,0.0010430727852508426
1907,1,0.19904004037380219,-0.06497008539736271,0.0009754397324286401
1907,2,0.19904004037380219,-0.06497008539736271,0.0009781294502317905
1907,3,0.19904004037380219,-0.06497008539736271,0.0009762436966411769
1907,4,0.19904004037380219,-0.06497008539736271,0.000978224677965045
1908,1,0.4424776956439018,0.0027946941554546356,0.0008272450068034232
1908,2,0.4424776956439018,0.0027946941554546356,0.0008238452137447894
1908,3,0.4424776956439018,0.0027946941554546356,0.0008264261414296925
1908,4,0.4424776956439018,0.0027946941554546356,0.0008230126113630831
1909,1,0.4473728910088539,0.0028990331338718534,0.0008212455431930721
1909,2,0.4473728910088539,0.0028990331338718534,0.00081757822772488
1909,3,0.4473728910088539,0.0028990331338718534,0.0008202748140320182
1909,4,0.4473728910088539,0.0028990331338718534,0.0008166099432855844
1910,1,0.38337328284978867,0.002453793422318995,0.0008713255519978702
1910,2,0.38337328284978867,0.002453793422318995,0.0008702953928150237
1910,3,0.38337328284978867,0.002453793422318995,0.000871211988851428
1910,4,0.38337328284978867,0.002453793422318995,0.0008701834012754261
1911,1,0.3927226588129997,0.007396102882921696,0.0008675677236169577
1911,2,0.3927226588129997,0.007396102882921696,0.0008662436157464981
1911,3,0.3927226588129997,0.007396102882921696,0.0008674258715473115
1911,4,0.3927226588129997,0.007396102882921696,0.0008661026367917657
1912,1,0.40824321657419205,0.05490978620946407,0.0008749153348617256
1912,2,0.40824321657419205,0.05490978620946407,0.0008735473966225982
1912,3,0.40824321657419205,0.05490978620946407,0.0008710426627658308
1912,4,0.40824321657419205,0.05490978620946407,0.000869732175488025
1913,1,0.3843720182776451,0.13538521528244019,0.0009627266554161906
1913,2,0.3843720182776451,0.13538521528244019,0.0009557479061186314
1913,3,0.3843720182776451,0.13538521528244019,0.0009533439297229052
1913,4,0.3843720182776451,0.13538521528244019,0.0009451257064938545
1914,1,0.3006071075797081,0.18253649398684502,0.0010599083034321666
1914,2,0.3006071075797081,0.18253649398684502,0.0010596233187243342
1914,3,0.3006071075797081,0.18253649398684502,0.0010506631806492805
1914,4,0.3006071075797081,0.18253649398684502,0.0010501709766685963
1915,1,0.2328079491853714,0.23488196730613708,0.0011261224281042814
1915,2,0.2328079491853714,0.23488196730613708,0.0011365615064278245
1915,3,0.2328079491853714,0.23488196730613708,0.00111843878403306
1915,4,0.2328079491853714,0.23488196730613708,0.0011280184844508767
1916,1,0.1979338899254799,0.2993296682834625,0.0010959304636344314
1916,2,0.1979338899254799,0.2993296682834625,0.001093764090910554
1916,3,0.1979338899254799,0.2993296682834625,0.0010959483915939927
1916,4,0.1979338899254799,0.2993296682834625,0.0010933931916952133
1917,1,0.12081167288124561,0.32743004709482193,0.000932498776819557
1917,2,0.12081167288124561,0.32743004709482193,0.000953364884480834
1917,3,0.12081167288124561,0.32743004709482193,0.0009652687003836036
1917,4,0.12081167288124561,0.32743004709482193,0.0009899429278448224
1918,1,0.05806691851466894,0.4054665043950081,0.0007079322240315378
1918,2,0.05806691851466894,0.4054665043950081,0.0007543035899288952
1918,3,0.05806691851466894,0.4054665043950081,0.0006890452932566404
1918,4,0.05806691851466894,0.4054665043950081,0.0007323382305912673
1919,1,-0.0021655200980603695,0.4519493654370308,0.0005544974119402468
1919,2,-0.0021655200980603695,0.4519493654370308,0.0005472243647091091
1919,3,-0.0021655200980603695,0.4519493654370308,0.0004923060769215226
1919,4,-0.0021655200980603695,0.4519493654370308,0.0004888259572908282
1920,1,-0.00047622574493288994,0.48385879397392273,0.0004898248007521033
1920,2,-0.00047622574493288994,0.48385879397392273,0.0004909326671622694
1920,3,-0.00047622574493288994,0.48385879397392273,0.0005524660227820277
1920,4,-0.00047622574493288994,0.48385879397392273,0.0005554043455049396
1921,1,-0.0784344682469964,0.4828757345676422,0.0003276215575169772
1921,2,-0.0784344682469964,0.4828757345676422,0.0003312203334644437
1921,3,-0.0784344682469964,0.4828757345676422,0.0002751057327259332
1921,4,-0.0784344682469964,0.4828757345676422,0.0002789344289340079
1922,1,-0.0733444606885314,0.4505980312824249,0.0003359235997777432
1922,2,-0.0733444606885314,0.4505980312824249,0.00034194946056231856
1922,3,-0.0733444606885314,0.4505980312824249,0.0002841649402398616
1922,4,-0.0733444606885314,0.4505980312824249,0.0002942653954960406
1923,1,-0.09426191635429859,0.41610051691532135,0.0002789332065731287
1923,2,-0.09426191635429859,0.41610051691532135,0.00025795804685913026
1923,3,-0.09426191635429859,0.41610051691532135,0.00027252075960859656
1923,4,-0.09426191635429859,0.41610051691532135,0.00024428253527730703
1924,1,-0.0939698088914156,0.3463173508644104,0.00027668740949593484
1924,2,-0.0939698088914156,0.3463173508644104,0.00023737020092085004
1924,3,-0.0939698088914156,0.3463173508644104,0.000283173518255353
1924,4,-0.0939698088914156,0.3463173508644104,0.00024250586284324527
1925,1,-0.08946463279426098,0.2958949953317642,0.00029054918559268117
1925,2,-0.08946463279426098,0.2958949953317642,0.00024218826729338616
1925,3,-0.08946463279426098,0.2958949953317642,0.0002945327141787857
1925,4,-0.08946463279426098,0.2958949953317642,0.0002465528959874064
1926,1,-0.12478318810462952,0.24688419327139854,0.00014564766024705023
1926,2,-0.12478318810462952,0.24688419327139854,0.0001534395123599097
1926,3,-0.12478318810462952,0.24688419327139854,0.00015474227257072926
1926,4,-0.12478318810462952,0.24688419327139854,0.0001659372792346403
1927,1,-0.14910956844687462,0.19259553775191307,6.641587970079854e-05
1927,2,-0.14910956844687462,0.19259553775191307,8.494232315570116e-05
1927,3,-0.14910956844687462,0.19259553775191307,7.618215749971569e-05
1927,4,-0.14910956844687462,0.19259553775191307,8.895740029402077e-05
1928,1,-0.1333763562142849,0.1536376141011715,9.53631752054207e-05
1928,2,-0.1333763562142849,0.1536376141011715,6.56386255286634e-05
1928,3,-0.1333763562142849,0.1536376141011715,0.0001030360217555426
1928,4,-0.1333763562142849,0.1536376141011715,7.521982479374856e-05
1929,1,-0.12300640717148781,0.10317118838429451,5.187502029002644e-05
1929,2,-0.12300640717148781,0.10317118838429451,7.522434316342697e-05
1929,3,-0.12300640717148781,0.10317118838429451,3.992777783423662e-05
1929,4,-0.12300640717148781,0.10317118838429451,6.38154087937437e-05
1930,1,-0.17471075430512428,0.014566291586106672,9.076760761672631e-05
1930,2,-0.17471075430512428,0.014566291586106672,5.253767085378058e-05
1930,3,-0.17471075430512428,0.014566291586106672,8.9133987785317e-05
1930,4,-0.17471075430512428,0.014566291586106672,4.8027883167378604e-05
1931,1,-0.14298189245164394,0.04370281100273132,2.571410186646972e-05
1931,2,-0.14298189245164394,0.04370281100273132,2.6226187401334755e-05
1931,3,-0.14298189245164394,0.04370281100273132,8.117890502035152e-06
1931,4,-0.14298189245164394,0.04370281100273132,1.1372057088010479e-05
1932,1,-0.10192752070724964,0.0156197107587559,5.689238241757266e-05
1932,2,-0.10192752070724964,0.0156197107587559,4.0339131373912096e-05
1932,3,-0.10192752070724964,0.0156197107587559,0.00012962528853677213
1932,4,-0.10192752070724964,0.0156197107587559,0.0001326224737567827
1933,1,-0.05508045945316553,0.007847997902217685,8.199938019970432e-05
1933,2,-0.05508045945316553,0.007847997902217685,0.00010616052168188617
1933,3,-0.05508045945316553,0.007847997902217685,0.00026079590315930545
1933,4,-0.05508045945316553,0.007847997902217685,0.0002446579746901989
1934,1,-0.03191181877627969,0.08097160421311855,0.000963913626037538
1934,2,-0.03191181877627969,0.08097160421311855,0.0008514433284290135
1934,3,-0.03191181877627969,0.08097160421311855,0.0009477953426539898
1934,4,-0.03191181877627969,0.08097160421311855,0.0008299238979816437
1935,1,-0.02781203342601657,0.12566343508660793,0.0007063193479552865
1935,2,-0.02781203342601657,0.12566343508660793,0.000738317787181586
1935,3,-0.02781203342601657,0.12566343508660793,0.000862694054376334
1935,4,-0.02781203342601657,0.12566343508660793,0.0009026234038174152
1936,1,-0.09982913173735142,0.18893416225910187,0.00018799476674757898
1936,2,-0.09982913173735142,0.18893416225910187,0.00022395710402633995
1936,3,-0.09982913173735142,0.18893416225910187,0.0001904884702526033
1936,4,-0.09982913173735142,0.18893416225910187,0.0002346525143366307
1937,1,-0.05188484862446785,0.2231220118701458,0.00040742562850937247
1937,2,-0.05188484862446785,0.2231220118701458,0.0004824067873414606
1937,3,-0.05188484862446785,0.2231220118701458,0.0003991257690358907
1937,4,-0.05188484862446785,0.2231220118701458,0.000457992369774729
