physical_element,source_storage_ip,previous_kstep,previous_kinc,current_kstep,current_kinc,previous_time2,current_time2,previous_phase_after_u1,current_phase_after_u1,phase_drop,previous_sdv16_history,current_sdv16_history,sdv16_drop,current_u2_mm,centroid_x,centroid_y,abs_centroid_y,relative_drop,magnitude_bin,before_or_at_peak,after_peak,phase_overshoot_in_transition,near_crack_axis_abs_y_le_0p02,near_notch_left_half_x_le_0
17001,1,2,166,2,167,1.9764705882352906,1.982352941176467,0.9988142321776956,0.9987663380060656,4.7894171629980775e-05,174.6923772288159,174.6923772288159,0.0,0.0069647058823529345,0.0285,0.0005,0.0005,4.7951030418897844e-05,"(1e-5,1e-4]",False,True,False,True,False
17001,1,2,167,2,168,1.982352941176467,1.9882352941176435,0.9987663380060656,0.9987312417552158,3.509625084985313e-05,174.6923772288159,174.6923772288159,0.0,0.006976470588235287,0.0285,0.0005,0.0005,3.5139601240385403e-05,"(1e-5,1e-4]",False,True,False,True,False
17001,1,2,168,2,169,1.9882352941176435,1.99411764705882,0.9987312417552158,0.9987057417890731,2.5499966142650266e-05,174.6923772288159,174.6923772288159,0.0,0.006988235294117641,0.0285,0.0005,0.0005,2.5532360535588596e-05,"(1e-5,1e-4]",False,True,False,True,False
17001,1,2,169,2,170,1.99411764705882,1.9999999999999964,0.9987057417890731,0.9986850694280895,2.067236098357572e-05,174.6923772288159,174.6923772288159,0.0,0.006999999999999993,0.0285,0.0005,0.0005,2.06991510297552e-05,"(1e-5,1e-4]",False,True,False,True,False
17003,2,2,162,2,163,1.9529411764705848,1.9588235294117613,0.9990574199365464,0.9990535369032719,3.883033274476588e-06,168.27007811218067,168.27007811218067,0.0,0.006917647058823523,0.0305,0.0005,0.0005,3.886696797390497e-06,"(1e-6,1e-5]",False,True,False,True,False
17003,2,2,163,2,164,1.9588235294117613,1.9647058823529377,0.9990535369032719,0.9990200174095678,3.3519493704115e-05,168.27007811218067,168.27007811218067,0.0,0.006929411764705876,0.0305,0.0005,0.0005,3.355124872288035e-05,"(1e-5,1e-4]",False,True,False,True,False
17003,2,2,164,2,165,1.9647058823529377,1.9705882352941142,0.9990200174095678,0.998959227216212,6.07901933558086e-05,168.27007811218067,168.27007811218067,0.0,0.006941176470588228,0.0305,0.0005,0.0005,6.0849825125062e-05,"(1e-5,1e-4]",False,True,False,True,False
17003,2,2,165,2,166,1.9705882352941142,1.9764705882352906,0.998959227216212,0.9988821976983088,7.702951790322654e-05,168.27007811218067,168.27007811218067,0.0,0.006952941176470582,0.0305,0.0005,0.0005,7.710977165492909e-05,"(1e-5,1e-4]",False,True,False,True,False
17003,2,2,166,2,167,1.9764705882352906,1.982352941176467,0.9988821976983088,0.9988102303291309,7.196736917791657e-05,168.27007811218067,168.27007811218067,0.0,0.0069647058823529345,0.0305,0.0005,0.0005,7.204790449138908e-05,"(1e-5,1e-4]",False,True,False,True,False
17003,2,2,167,2,168,1.982352941176467,1.9882352941176435,0.9988102303291309,0.9987514531062752,5.8777222855632694e-05,168.27007811218067,168.27007811218067,0.0,0.006976470588235287,0.0305,0.0005,0.0005,5.8847237514041333e-05,"(1e-5,1e-4]",False,True,False,True,False
17003,2,2,168,2,169,1.9882352941176435,1.99411764705882,0.9987514531062752,0.9987095136159316,4.19394903435899e-05,168.27007811218067,168.27007811218067,0.0,0.006988235294117641,0.0305,0.0005,0.0005,4.199191922389844e-05,"(1e-5,1e-4]",False,True,False,True,False
17003,2,2,169,2,170,1.99411764705882,1.9999999999999964,0.9987095136159316,0.9986786053619405,3.0908253991102086e-05,168.27007811218067,168.27007811218067,0.0,0.006999999999999993,0.0305,0.0005,0.0005,3.09481922117629e-05,"(1e-5,1e-4]",False,True,False,True,False
17008,2,2,167,2,168,1.982352941176467,1.9882352941176435,0.9990146541991848,0.9989875643679966,2.7089831188154e-05,166.55762756113646,166.55762756113646,0.0,0.006976470588235287,0.035500000000000004,0.0005,0.0005,2.7116550367190907e-05,"(1e-5,1e-4]",False,True,False,True,False
17008,2,2,168,2,169,1.9882352941176435,1.99411764705882,0.9989875643679966,0.9989320099964718,5.555437152482412e-05,166.55762756113646,166.55762756113646,0.0,0.006988235294117641,0.035500000000000004,0.0005,0.0005,5.5610673752450814e-05,"(1e-5,1e-4]",False,True,False,True,False
