node,x,y,d
444,-0.025000000000000022,-0.4375,0.00494855371585869
445,-0.012500000000000011,-0.4375,0.005311610880955461
446,0.0,-0.4375,0.0059594291491999836
447,0.012499999999999956,-0.4375,0.006202904226640683
448,0.025000000000000022,-0.4375,0.006569427401619071
449,0.03749999999999998,-0.4375,0.0074451721957616585
450,0.050000000000000044,-0.4375,0.00744151046251586
451,0.0625,-0.4375,0.007491778515046818
452,0.07499999999999996,-0.4375,0.00857321338501739
453,0.08750000000000002,-0.4375,0.00856760404058194
454,0.09999999999999998,-0.4375,0.008588932761884317
455,0.11250000000000004,-0.4375,0.00958456900471985
456,0.125,-0.4375,0.009578152266435342
457,0.13749999999999996,-0.4375,0.009837894330135991
458,0.15000000000000002,-0.4375,0.010267446009026336
459,0.16249999999999998,-0.4375,0.010479871283892418
460,0.17500000000000004,-0.4375,0.010518191290553668
461,0.1875,-0.4375,0.01091291748135162
462,0.19999999999999996,-0.4375,0.01113868241336632
463,0.21250000000000002,-0.4375,0.011154260922128694
464,0.22499999999999998,-0.4375,0.011430293741330293
465,0.23750000000000004,-0.4375,0.011601477049189082
466,0.25,-0.4375,0.011606580562127114
467,0.26249999999999996,-0.4375,0.0118226146009672
468,0.275,-0.4375,0.01194286215968038
469,0.2875,-0.4375,0.011943788094200904
470,0.30000000000000004,-0.4375,0.012117367237980245
471,0.3125,-0.4375,0.012228931041440206
472,0.32499999999999996,-0.4375,0.012229283260440153
473,0.3375,-0.4375,0.012347789131653283
474,0.35,-0.4375,0.012490266088463743
475,0.36250000000000004,-0.4375,0.012526113224940485
476,0.375,-0.4375,0.01259715438569321
477,0.38749999999999996,-0.4375,0.012790047730009963
478,0.4,-0.4375,0.012889528513935001
479,0.4125,-0.4375,0.012949567076500905
480,0.42500000000000004,-0.4375,0.01320126071920854
481,0.4375,-0.4375,0.013398877085718124
482,0.44999999999999996,-0.4375,0.013455522656212453
483,0.4625,-0.4375,0.013719824259334022
484,0.475,-0.4375,0.013954908384922419
485,0.48750000000000004,-0.4375,0.013971666490730143
486,0.5,-0.4375,0.01393123640720839
487,-0.5,-0.425,0.00033188687765811826
488,-0.4875,-0.425,0.00033232857273098087
489,-0.475,-0.425,0.0003325187772070497
490,-0.4625,-0.425,0.0002935191167666284
491,-0.45,-0.425,0.00021829611527056548
492,-0.4375,-0.425,0.00014747899845679523
493,-0.425,-0.425,0.0001207995554519049
494,-0.4125,-0.425,0.00010371806746911296
495,-0.4,-0.425,7.981826946960903e-05
496,-0.3875,-0.425,3.474003545969582e-05
497,-0.375,-0.425,2.5008535326697337e-05
498,-0.3625,-0.425,2.1473937764881437e-05
499,-0.35,-0.425,2.488644148071135e-05
500,-0.3375,-0.425,2.5190982905121715e-05
501,-0.325,-0.425,5.5947585050697665e-05
502,-0.3125,-0.425,8.834199125022448e-05
503,-0.3,-0.425,8.842341163024369e-05
504,-0.2875,-0.425,0.00018084723211134708
505,-0.275,-0.425,0.00023932421574516136
506,-0.2625,-0.425,0.00023874832745957947
507,-0.25,-0.425,0.00041623152083347675
508,-0.2375,-0.425,0.0005302307433610377
509,-0.22499999999999998,-0.425,0.0005312663388941633
510,-0.21250000000000002,-0.425,0.0007314121985955255
511,-0.2,-0.425,0.0009254259545538491
512,-0.1875,-0.425,0.0010256018200560301
513,-0.175,-0.425,0.0010491983884269474
514,-0.16249999999999998,-0.425,0.0016601927535486868
515,-0.15000000000000002,-0.425,0.001660086502158576
516,-0.1375,-0.425,0.0016602282024591724
517,-0.125,-0.425,0.0022853172360422225
518,-0.11249999999999999,-0.425,0.002570575564622834
519,-0.09999999999999998,-0.425,0.00266993048390052
520,-0.08750000000000002,-0.425,0.0031262707430873486
521,-0.07500000000000001,-0.425,0.003603676606701944
522,-0.0625,-0.425,0.0037765458995184633
523,-0.04999999999999999,-0.425,0.004102421115627182
524,-0.03749999999999998,-0.425,0.004613864810574633
525,-0.025000000000000022,-0.425,0.005077211506153628
526,-0.012500000000000011,-0.425,0.005175875505033512
527,0.0,-0.425,0.006361903831446804
528,0.012499999999999956,-0.425,0.00642819385426537
529,0.025000000000000022,-0.425,0.006461585534471351
530,0.03749999999999998,-0.425,0.007283008833501329
531,0.050000000000000044,-0.425,0.007633366322072937
532,0.0625,-0.425,0.007927205768570377
533,0.07499999999999996,-0.425,0.008487385634832575
534,0.08750000000000002,-0.425,0.00868567071260618
535,0.09999999999999998,-0.425,0.009054956303913973
536,0.11250000000000004,-0.425,0.009612732572338115
537,0.125,-0.425,0.009610475194896937
538,0.13749999999999996,-0.425,0.00960131382553343
539,0.15000000000000002,-0.425,0.010596854899223202
540,0.16249999999999998,-0.425,0.010627958694896699
541,0.17500000000000004,-0.425,0.010645945951138956
542,0.1875,-0.425,0.011056758724903
543,0.19999999999999996,-0.425,0.011233545892310275
544,0.21250000000000002,-0.425,0.011227938465853092
545,0.22499999999999998,-0.425,0.011533111442097139
546,0.23750000000000004,-0.425,0.01165029706962099
547,0.25,-0.425,0.011642002015253363
548,0.26249999999999996,-0.425,0.011877965062756003
549,0.275,-0.425,0.011955761640753574
550,0.2875,-0.425,0.011952817060752899
551,0.30000000000000004,-0.425,0.01220847197536999
552,0.3125,-0.425,0.012212356158896022
553,0.32499999999999996,-0.425,0.012217073667608803
554,0.3375,-0.425,0.012362906422061289
555,0.35,-0.425,0.01251870722247595
556,0.36250000000000004,-0.425,0.012518630305763301
557,0.375,-0.425,0.0125157084935121
558,0.38749999999999996,-0.425,0.01285421552869645
559,0.4,-0.425,0.012853996543989442
560,0.4125,-0.425,0.012848378600490727
561,0.42500000000000004,-0.425,0.013124093043991649
562,0.4375,-0.425,0.013330433150316656
563,0.44999999999999996,-0.425,0.013324766412429443
564,0.4625,-0.425,0.013623284734138957
565,0.475,-0.425,0.013874780802385194
566,0.48750000000000004,-0.425,0.013872073149699859
567,0.5,-0.425,0.013864250780258634
568,-0.5,-0.4125,0.0003312105246455805
569,-0.4875,-0.4125,0.0003313419267112662
570,-0.475,-0.4125,0.00033151655922951617
571,-0.4625,-0.4125,0.00025415139420244975
