step,frame,step_time,rp_u2,rp_rf2,rp_u1,rp_rf1,max_sdv14,max_sdv15,max_sdv16,description
Step-1,12,0.11999999731779099,0.0,0.0,0.0012000000569969416,0.0554165355861187,0.006350680720061064,0.0064593530260026455,0.0037314770743250847,Increment    120: Step Time =   0.1200
Step-1,13,0.12999999523162842,0.0,0.0,0.0013000000035390258,0.060019876807928085,0.007479633204638958,0.007597699295729399,0.004395287949591875,Increment    130: Step Time =   0.1300
Step-1,14,0.14000000059604645,0.0,0.0,0.00139999995008111,0.06461966037750244,0.008702775463461876,0.008830292150378227,0.00511618098244071,Increment    140: Step Time =   0.1400
Step-1,15,0.15000000596046448,0.0,0.0,0.001500000013038516,0.06921560317277908,0.010020692832767963,0.010157721117138863,0.00589502090588212,Increment    150: Step Time =   0.1500
Step-1,16,0.1599999964237213,0.0,0.0,0.0015999999595806003,0.07380741834640503,0.011434022337198257,0.011580628342926502,0.006732753943651915,Increment    160: Step Time =   0.1600
Step-1,17,0.17000000178813934,0.0,0.0,0.0017000000225380063,0.07839483767747879,0.012943452224135399,0.01309970859438181,0.007630408275872469,Increment    170: Step Time =   0.1700
Step-1,18,0.18000000715255737,0.0,0.0,0.0017999999690800905,0.08297756314277649,0.014549726620316505,0.014715710654854774,0.008589099161326885,Increment    180: Step Time =   0.1800
Step-1,19,0.1899999976158142,0.0,0.0,0.0019000000320374966,0.08755531907081604,0.016253646463155746,0.016429441049695015,0.009610033594071865,Increment    190: Step Time =   0.1900
Step-1,20,0.20000000298023224,0.0,0.0,0.0020000000949949026,0.09212781488895416,0.018056070432066917,0.01824176497757435,0.010694514028728008,Increment    200: Step Time =   0.2000
Step-1,21,0.20999999344348907,0.0,0.0,0.002099999925121665,0.09669476002454758,0.01995791681110859,0.020153606310486794,0.011843943037092686,Increment    210: Step Time =   0.2100
Step-1,22,0.2199999988079071,0.0,0.0,0.002199999988079071,0.1012558713555336,0.021960167214274406,0.022166041657328606,0.013059832155704498,Increment    220: Step Time =   0.2200
Step-1,23,0.23000000417232513,0.0,0.0,0.002300000051036477,0.10581085085868835,0.02406611107289791,0.024282369762659073,0.014343802817165852,Increment    230: Step Time =   0.2300
Step-1,24,0.23999999463558197,0.0,0.0,0.002400000113993883,0.11035940796136856,0.026275327429175377,0.0265019703656435,0.015697598457336426,Increment    240: Step Time =   0.2400
Step-1,25,0.25,0.0,0.0,0.0024999999441206455,0.11490125209093094,0.028588954359292984,0.028826110064983368,0.017123090103268623,Increment    250: Step Time =   0.2500
Step-1,26,0.25999999046325684,0.0,0.0,0.0026000000070780516,0.11943608522415161,0.03100833296775818,0.031256139278411865,0.01862228289246559,Increment    260: Step Time =   0.2600
Step-1,27,0.27000001072883606,0.0,0.0,0.0027000000700354576,0.1239636018872261,0.03353489190340042,0.03379349783062935,0.020197324454784393,Increment    270: Step Time =   0.2700
Step-1,28,0.2800000011920929,0.0,0.0,0.00279999990016222,0.12848350405693054,0.03617014363408089,0.03643970936536789,0.021850520744919777,Increment    280: Step Time =   0.2800
Step-1,29,0.28999999165534973,0.0,0.0,0.002899999963119626,0.13299548625946045,0.03891570493578911,0.03919639065861702,0.023584339767694473,Increment    290: Step Time =   0.2900
Step-1,30,0.30000001192092896,0.0,0.0,0.003000000026077032,0.13749924302101135,0.04177328199148178,0.042065270245075226,0.025401432067155838,Increment    300: Step Time =   0.3000
Step-1,31,0.3100000023841858,0.0,0.0,0.003100000089034438,0.14199446141719818,0.044744692742824554,0.045048169791698456,0.02730463072657585,Increment    310: Step Time =   0.3100
Step-1,32,0.3199999928474426,0.0,0.0,0.0031999999191612005,0.14648082852363586,0.04783186689019203,0.04814703017473221,0.029296981170773506,Increment    320: Step Time =   0.3200
Step-1,33,0.33000001311302185,0.0,0.0,0.0032999999821186066,0.15095803141593933,0.05103684961795807,0.05136391147971153,0.031381748616695404,Increment    330: Step Time =   0.3300
Step-1,34,0.3400000035762787,0.0,0.0,0.0034000000450760126,0.15542572736740112,0.05436181277036667,0.05470099672675133,0.03356243297457695,Increment    340: Step Time =   0.3400
