element_label,centroid_x,centroid_y,SDV15,EVOL,flag_d_ge_0.5,flag_d_ge_0.95
20589,-0.30243469774723053,-0.4878360778093338,0.000366500025848,,0,0
20590,-0.279191717505455,-0.4878360778093338,0.000472145708045,,0,0
20590,-0.279191717505455,-0.4878360778093338,0.000659036275465,,0,0
20590,-0.279191717505455,-0.4878360778093338,0.000469607446576,,0,0
20590,-0.279191717505455,-0.4878360778093338,0.000655302079394,,0,0
20591,-0.2559487372636795,-0.4878360778093338,0.000825851864647,,0,0
20591,-0.2559487372636795,-0.4878360778093338,0.00109471008182,,0,0
20591,-0.2559487372636795,-0.4878360778093338,0.000821294786874,,0,0
20591,-0.2559487372636795,-0.4878360778093338,0.00108910060953,,0,0
20592,-0.2327057644724846,-0.4878360778093338,0.00132462813053,,0,0
20592,-0.2327057644724846,-0.4878360778093338,0.00168391794432,,0,0
20592,-0.2327057644724846,-0.4878360778093338,0.00131828244776,,0,0
20592,-0.2327057644724846,-0.4878360778093338,0.00167661334854,,0,0
20593,-0.20946279168128967,-0.4878360778093338,0.00198443187401,,0,0
20593,-0.20946279168128967,-0.4878360778093338,0.0024461618159,,0,0
20593,-0.20946279168128967,-0.4878360778093338,0.00197649816982,,0,0
20593,-0.20946279168128967,-0.4878360778093338,0.00243746815249,,0,0
20594,-0.18534129858016968,-0.4878360778093338,0.00284479511902,,0,0
20594,-0.18534129858016968,-0.4878360778093338,0.00347215193324,,0,0
20594,-0.18534129858016968,-0.4878360778093338,0.00283566606231,,0,0
20594,-0.18534129858016968,-0.4878360778093338,0.00346259237267,,0,0
20595,-0.16334910690784454,-0.4878360778093338,0.00391228264198,,0,0
20595,-0.16334910690784454,-0.4878360778093338,0.00448738597333,,0,0
20595,-0.16334910690784454,-0.4878360778093338,0.00390258361585,,0,0
20595,-0.16334910690784454,-0.4878360778093338,0.00447773560882,,0,0
20596,-0.14752879738807678,-0.4878360778093338,0.00485627399758,,0,0
20596,-0.14752879738807678,-0.4878360778093338,0.00528899114579,,0,0
20596,-0.14752879738807678,-0.4878360778093338,0.0048467325978,,0,0
20596,-0.14752879738807678,-0.4878360778093338,0.00527970027179,,0,0
20597,-0.13698192685842514,-0.4878360778093338,0.00556113338098,,0,0
20597,-0.13698192685842514,-0.4878360778093338,0.00587192177773,,0,0
20597,-0.13698192685842514,-0.4878360778093338,0.0055520334281,,0,0
20597,-0.13698192685842514,-0.4878360778093338,0.0058630942367,,0,0
20598,-0.12995067238807678,-0.4878360778093338,0.00606517586857,,0,0
20598,-0.12995067238807678,-0.4878360778093338,0.00628236820921,,0,0
20598,-0.12995067238807678,-0.4878360778093338,0.00605653272942,,0,0
20598,-0.12995067238807678,-0.4878360778093338,0.0062739555724,,0,0
20599,-0.12526316940784454,-0.4878360778093338,0.00641649635509,,0,0
20599,-0.12526316940784454,-0.4878360778093338,0.00656574917957,,0,0
20599,-0.12526316940784454,-0.4878360778093338,0.00640823319554,,0,0
20599,-0.12526316940784454,-0.4878360778093338,0.00655766250566,,0,0
20600,-0.12213817238807678,-0.4878360778093338,0.00665752589703,,0,0
20600,-0.12213817238807678,-0.4878360778093338,0.00675901165232,,0,0
20600,-0.12213817238807678,-0.4878360778093338,0.00664955098182,,0,0
20600,-0.12213817238807678,-0.4878360778093338,0.00675116432831,,0,0
20601,-0.119637630879879,-0.4878360778093338,0.00683390116319,,0,0
20601,-0.119637630879879,-0.4878360778093338,0.00693701719865,,0,0
20601,-0.119637630879879,-0.4878360778093338,0.00682615023106,,0,0
20601,-0.119637630879879,-0.4878360778093338,0.00692940223962,,0,0
20602,-0.11713654547929764,-0.4878360778093338,0.00701308483258,,0,0
20602,-0.11713654547929764,-0.4878360778093338,0.00711778923869,,0,0
20602,-0.11713654547929764,-0.4878360778093338,0.00700557278469,,0,0
20602,-0.11713654547929764,-0.4878360778093338,0.0071104215458,,0,0
20603,-0.11463546007871628,-0.4878360778093338,0.00719501962885,,0,0
20603,-0.11463546007871628,-0.4878360778093338,0.00730131287128,,0,0
20603,-0.11463546007871628,-0.4878360778093338,0.00718776043504,,0,0
20603,-0.11463546007871628,-0.4878360778093338,0.00729420641437,,0,0
20604,-0.11213437095284462,-0.4878360778093338,0.00737970555201,,0,0
20604,-0.11213437095284462,-0.4878360778093338,0.00748758623376,,0,0
20604,-0.11213437095284462,-0.4878360778093338,0.00737271411344,,0,0
20604,-0.11213437095284462,-0.4878360778093338,0.007480755914,,0,0
20605,-0.10963328182697296,-0.4878360778093338,0.00756714073941,,0,0
