node,x,y
602,-0.07500000000000001,-0.4125
603,-0.0625,-0.4125
604,-0.04999999999999999,-0.4125
605,-0.03749999999999998,-0.4125
606,-0.025000000000000022,-0.4125
607,-0.012500000000000011,-0.4125
608,0.0,-0.4125
609,0.012499999999999956,-0.4125
610,0.025000000000000022,-0.4125
611,0.03749999999999998,-0.4125
612,0.050000000000000044,-0.4125
613,0.0625,-0.4125
614,0.07499999999999996,-0.4125
615,0.08750000000000002,-0.4125
616,0.09999999999999998,-0.4125
617,0.11250000000000004,-0.4125
618,0.125,-0.4125
619,0.13749999999999996,-0.4125
620,0.15000000000000002,-0.4125
621,0.16249999999999998,-0.4125
622,0.17500000000000004,-0.4125
623,0.1875,-0.4125
624,0.19999999999999996,-0.4125
625,0.21250000000000002,-0.4125
626,0.22499999999999998,-0.4125
627,0.23750000000000004,-0.4125
628,0.25,-0.4125
629,0.26249999999999996,-0.4125
630,0.275,-0.4125
631,0.2875,-0.4125
632,0.30000000000000004,-0.4125
633,0.3125,-0.4125
634,0.32499999999999996,-0.4125
635,0.3375,-0.4125
636,0.35,-0.4125
637,0.36250000000000004,-0.4125
638,0.375,-0.4125
639,0.38749999999999996,-0.4125
640,0.4,-0.4125
641,0.4125,-0.4125
642,0.42500000000000004,-0.4125
643,0.4375,-0.4125
644,0.44999999999999996,-0.4125
645,0.4625,-0.4125
646,0.475,-0.4125
647,0.48750000000000004,-0.4125
648,0.5,-0.4125
649,-0.5,-0.4
650,-0.4875,-0.4
651,-0.475,-0.4
652,-0.4625,-0.4
653,-0.45,-0.4
654,-0.4375,-0.4
655,-0.425,-0.4
656,-0.4125,-0.4
657,-0.4,-0.4
658,-0.3875,-0.4
659,-0.375,-0.4
660,-0.3625,-0.4
661,-0.35,-0.4
662,-0.3375,-0.4
663,-0.325,-0.4
664,-0.3125,-0.4
665,-0.3,-0.4
666,-0.2875,-0.4
667,-0.275,-0.4
668,-0.2625,-0.4
669,-0.25,-0.4
670,-0.2375,-0.4
671,-0.22499999999999998,-0.4
672,-0.21250000000000002,-0.4
673,-0.2,-0.4
674,-0.1875,-0.4
675,-0.175,-0.4
676,-0.16249999999999998,-0.4
677,-0.15000000000000002,-0.4
678,-0.1375,-0.4
679,-0.125,-0.4
680,-0.11249999999999999,-0.4
681,-0.09999999999999998,-0.4
682,-0.08750000000000002,-0.4
683,-0.07500000000000001,-0.4
684,-0.0625,-0.4
685,-0.04999999999999999,-0.4
686,-0.03749999999999998,-0.4
687,-0.025000000000000022,-0.4
688,-0.012500000000000011,-0.4
689,0.0,-0.4
690,0.012499999999999956,-0.4
691,0.025000000000000022,-0.4
692,0.03749999999999998,-0.4
693,0.050000000000000044,-0.4
694,0.0625,-0.4
695,0.07499999999999996,-0.4
696,0.08750000000000002,-0.4
697,0.09999999999999998,-0.4
698,0.11250000000000004,-0.4
699,0.125,-0.4
700,0.13749999999999996,-0.4
701,0.15000000000000002,-0.4
702,0.16249999999999998,-0.4
703,0.17500000000000004,-0.4
704,0.1875,-0.4
705,0.19999999999999996,-0.4
706,0.21250000000000002,-0.4
707,0.22499999999999998,-0.4
708,0.23750000000000004,-0.4
709,0.25,-0.4
710,0.26249999999999996,-0.4
711,0.275,-0.4
712,0.2875,-0.4
713,0.30000000000000004,-0.4
714,0.3125,-0.4
715,0.32499999999999996,-0.4
716,0.3375,-0.4
717,0.35,-0.4
718,0.36250000000000004,-0.4
719,0.375,-0.4
720,0.38749999999999996,-0.4
721,0.4,-0.4
722,0.4125,-0.4
723,0.42500000000000004,-0.4
724,0.4375,-0.4
725,0.44999999999999996,-0.4
726,0.4625,-0.4
727,0.475,-0.4
728,0.48750000000000004,-0.4
729,0.5,-0.4
730,-0.5,-0.3875
731,-0.4875,-0.3875
732,-0.475,-0.3875
733,-0.4625,-0.3875
734,-0.45,-0.3875
735,-0.4375,-0.3875
736,-0.425,-0.3875
737,-0.4125,-0.3875
738,-0.4,-0.3875
739,-0.3875,-0.3875
740,-0.375,-0.3875
741,-0.3625,-0.3875
742,-0.35,-0.3875
743,-0.3375,-0.3875
744,-0.325,-0.3875
745,-0.3125,-0.3875
746,-0.3,-0.3875
747,-0.2875,-0.3875
748,-0.275,-0.3875
749,-0.2625,-0.3875
750,-0.25,-0.3875
751,-0.2375,-0.3875
752,-0.22499999999999998,-0.3875
753,-0.21250000000000002,-0.3875
754,-0.2,-0.3875
755,-0.1875,-0.3875
756,-0.175,-0.3875
757,-0.16249999999999998,-0.3875
758,-0.15000000000000002,-0.3875
759,-0.1375,-0.3875
760,-0.125,-0.3875
761,-0.11249999999999999,-0.3875
762,-0.09999999999999998,-0.3875
763,-0.08750000000000002,-0.3875
764,-0.07500000000000001,-0.3875
765,-0.0625,-0.3875
766,-0.04999999999999999,-0.3875
767,-0.03749999999999998,-0.3875
768,-0.025000000000000022,-0.3875
769,-0.012500000000000011,-0.3875
770,0.0,-0.3875
771,0.012499999999999956,-0.3875
772,0.025000000000000022,-0.3875
773,0.03749999999999998,-0.3875
774,0.050000000000000044,-0.3875
775,0.0625,-0.3875
776,0.07499999999999996,-0.3875
777,0.08750000000000002,-0.3875
778,0.09999999999999998,-0.3875
779,0.11250000000000004,-0.3875
780,0.125,-0.3875
781,0.13749999999999996,-0.3875
782,0.15000000000000002,-0.3875
783,0.16249999999999998,-0.3875
784,0.17500000000000004,-0.3875
785,0.1875,-0.3875
786,0.19999999999999996,-0.3875
787,0.21250000000000002,-0.3875
788,0.22499999999999998,-0.3875
789,0.23750000000000004,-0.3875
790,0.25,-0.3875
791,0.26249999999999996,-0.3875
792,0.275,-0.3875
793,0.2875,-0.3875
794,0.30000000000000004,-0.3875
795,0.3125,-0.3875
796,0.32499999999999996,-0.3875
797,0.3375,-0.3875
798,0.35,-0.3875
799,0.36250000000000004,-0.3875
800,0.375,-0.3875
801,0.38749999999999996,-0.3875
802,0.4,-0.3875
803,0.4125,-0.3875
804,0.42500000000000004,-0.3875
805,0.4375,-0.3875
806,0.44999999999999996,-0.3875
807,0.4625,-0.3875
808,0.475,-0.3875
809,0.48750000000000004,-0.3875
810,0.5,-0.3875
811,-0.5,-0.375
812,-0.4875,-0.375
813,-0.475,-0.375
814,-0.4625,-0.375
815,-0.45,-0.375
816,-0.4375,-0.375
817,-0.425,-0.375
818,-0.4125,-0.375
819,-0.4,-0.375
820,-0.3875,-0.375
821,-0.375,-0.375
822,-0.3625,-0.375
823,-0.35,-0.375
824,-0.3375,-0.375
825,-0.325,-0.375
826,-0.3125,-0.375
827,-0.3,-0.375
828,-0.2875,-0.375
829,-0.275,-0.375
830,-0.2625,-0.375
831,-0.25,-0.375
832,-0.2375,-0.375
833,-0.22499999999999998,-0.375
834,-0.21250000000000002,-0.375
835,-0.2,-0.375
836,-0.1875,-0.375
837,-0.175,-0.375
838,-0.16249999999999998,-0.375
839,-0.15000000000000002,-0.375
840,-0.1375,-0.375
841,-0.125,-0.375
842,-0.11249999999999999,-0.375
843,-0.09999999999999998,-0.375
844,-0.08750000000000002,-0.375
845,-0.07500000000000001,-0.375
846,-0.0625,-0.375
847,-0.04999999999999999,-0.375
848,-0.03749999999999998,-0.375
849,-0.025000000000000022,-0.375
850,-0.012500000000000011,-0.375
851,0.0,-0.375
852,0.012499999999999956,-0.375
853,0.025000000000000022,-0.375
854,0.03749999999999998,-0.375
855,0.050000000000000044,-0.375
856,0.0625,-0.375
857,0.07499999999999996,-0.375
858,0.08750000000000002,-0.375
859,0.09999999999999998,-0.375
860,0.11250000000000004,-0.375
861,0.125,-0.375
862,0.13749999999999996,-0.375
863,0.15000000000000002,-0.375
864,0.16249999999999998,-0.375
865,0.17500000000000004,-0.375
866,0.1875,-0.375
867,0.19999999999999996,-0.375
868,0.21250000000000002,-0.375
869,0.22499999999999998,-0.375
870,0.23750000000000004,-0.375
871,0.25,-0.375
872,0.26249999999999996,-0.375
873,0.275,-0.375
874,0.2875,-0.375
875,0.30000000000000004,-0.375
876,0.3125,-0.375
877,0.32499999999999996,-0.375
