frame_tag,actual_top_u2_mm,node,x,y,multiplier,d,d_lb,first_violating_frame,union_group_id
F4_segment_end,0.0030999999999999973,3077,0.48750000000000004,-0.03749999999999998,-1.616068464967443e-8,0.00851390001930731,0.008513900019307312,F4_segment_inc_007,1
F4_segment_end,0.0030999999999999973,3126,0.08750000000000002,-0.025000000000000022,-3.309894379032269e-8,0.015256829506427077,0.015256829506427077,F4_segment_inc_003,1
F4_segment_end,0.0030999999999999973,3127,0.09999999999999998,-0.025000000000000022,-2.416316239822143e-8,0.013803408769003364,0.013803408769003364,F4_segment_inc_005,1
F4_segment_end,0.0030999999999999973,3128,0.11250000000000004,-0.025000000000000022,-2.328700954394285e-8,0.012752346202959952,0.012752346202959956,F4_segment_inc_005,1
F4_segment_end,0.0030999999999999973,3129,0.125,-0.025000000000000022,-2.1036867998200163e-8,0.012006152813607946,0.012006152813607947,F4_segment_inc_006,1
F4_segment_end,0.0030999999999999973,3130,0.13749999999999996,-0.025000000000000022,-2.1054762815947377e-8,0.011425865396878288,0.011425865396878288,F4_segment_inc_005,1
F4_segment_end,0.0030999999999999973,3131,0.15000000000000002,-0.025000000000000022,-1.991224984886479e-8,0.011007202843162528,0.011007202843162528,F4_segment_inc_006,1
F4_segment_end,0.0030999999999999973,3132,0.16249999999999998,-0.025000000000000022,-1.9966383222015483e-8,0.010674187567322982,0.010674187567322982,F4_segment_inc_006,1
F4_segment_end,0.0030999999999999973,3133,0.17500000000000004,-0.025000000000000022,-1.851511106875894e-8,0.010437104910960027,0.010437104910960025,F4_segment_inc_006,1
F4_segment_end,0.0030999999999999973,3134,0.1875,-0.025000000000000022,-1.921833879553651e-8,0.010240673727069063,0.010240673727069067,F4_segment_inc_006,1
F4_segment_end,0.0030999999999999973,3135,0.19999999999999996,-0.025000000000000022,-1.7795823450609513e-8,0.010110351480859203,0.010110351480859201,F4_segment_inc_006,1
F4_segment_end,0.0030999999999999973,3136,0.21250000000000002,-0.025000000000000022,-1.897544862048163e-8,0.009998724433308761,0.009998724433308764,F4_segment_inc_006,1
F4_segment_end,0.0030999999999999973,3137,0.22499999999999998,-0.025000000000000022,-1.777712521964781e-8,0.00993302789134581,0.00993302789134581,F4_segment_inc_006,1
F4_segment_end,0.0030999999999999973,3138,0.23750000000000004,-0.025000000000000022,-1.843918686213926e-8,0.009876183915717495,0.009876183915717493,F4_segment_inc_006,1
