step,frame,step_time,u1,rf1,d_max
Step-1,390,0.38999998569488525,0.0038999998942017555,0.17655056715011597,0.0858142301440239
Step-1,400,0.4000000059604645,0.004000000189989805,0.1809258908033371,0.09068282693624496
Step-1,410,0.4099999964237213,0.004100000020116568,0.1852891743183136,0.09572391211986542
Step-1,420,0.41999998688697815,0.00419999985024333,0.18964000046253204,0.10094261914491653
Step-1,430,0.4300000071525574,0.00430000014603138,0.1939779818058014,0.10634450614452362
Step-1,440,0.4399999976158142,0.004399999976158142,0.1983027160167694,0.11193551123142242
Step-1,450,0.44999998807907104,0.0044999998062849045,0.20261378586292267,0.1177220493555069
Step-1,460,0.46000000834465027,0.004600000102072954,0.20691074430942535,0.12371105700731277
Step-1,470,0.4699999988079071,0.004699999932199717,0.21119314432144165,0.12991002202033997
Step-1,480,0.47999998927116394,0.004800000227987766,0.21546052396297455,0.13632704317569733
Step-1,490,0.49000000953674316,0.004900000058114529,0.21971239149570465,0.14297093451023102
Step-1,500,0.5,0.004999999888241291,0.22394822537899017,0.14985127747058868
Step-2,100,0.009999999776482582,0.005249999929219484,0.23443619906902313,0.1690487414598465
Step-2,200,0.019999999552965164,0.005499999970197678,0.24483522772789001,0.1892397552728653
Step-2,300,0.029999999329447746,0.005750000011175871,0.25511014461517334,0.21145324409008026
Step-2,400,0.03999999910593033,0.006000000052154064,0.26524609327316284,0.23607298731803894
Step-2,500,0.05000000074505806,0.0062500000931322575,0.2752266824245453,0.2637178897857666
Step-2,600,0.05999999865889549,0.006500000134110451,0.28503528237342834,0.2946656346321106
Step-2,700,0.07000000029802322,0.006750000175088644,0.2946450114250183,0.32962939143180847
Step-2,800,0.07999999821186066,0.007000000216066837,0.3039977550506592,0.371359646320343
Step-2,900,0.09000000357627869,0.007249999791383743,0.3130258619785309,0.4221546947956085
Step-2,1000,0.10000000149011612,0.007499999832361937,0.321564257144928,0.4876439869403839
Step-2,1100,0.10999999940395355,0.00774999987334013,0.32900094985961914,0.5924781560897827
Step-2,1200,0.11999999731779099,0.00800000037997961,0.3289452791213989,0.9084242582321167
Step-2,1300,0.12999999523162842,0.008249999955296516,0.33346638083457947,0.9805951118469238
Step-2,1400,0.14000000059604645,0.008500000461935997,0.3391011357307434,0.9926801919937134
Step-2,1500,0.15000000596046448,0.008750000037252903,0.3444921374320984,0.9963406324386597
Step-2,1600,0.1599999964237213,0.008999999612569809,0.34948214888572693,0.9977646470069885
Step-2,1700,0.17000000178813934,0.00925000011920929,0.35408419370651245,0.9984723925590515
Step-2,1800,0.18000000715255737,0.009499999694526196,0.358134001493454,0.9989045262336731
Step-2,1900,0.1899999976158142,0.009750000201165676,0.35491839051246643,0.9999661445617676
Step-2,1906,0.19050000607967377,0.009762500412762165,0.35292819142341614,0.9998552203178406
