node,x,y,d_lower_bound_F3
134,0.15000000000000002,-0.4875,0.010213879731070368
135,0.16249999999999998,-0.4875,0.010399979174773474
136,0.17500000000000004,-0.4875,0.010624658639796156
137,0.1875,-0.4875,0.010892513759912636
138,0.19999999999999996,-0.4875,0.011046401675729229
139,0.21250000000000002,-0.4875,0.011210863591568697
140,0.22499999999999998,-0.4875,0.011403014771948368
141,0.23750000000000004,-0.4875,0.011536347414128947
142,0.25,-0.4875,0.011655703838143374
143,0.26249999999999996,-0.4875,0.011786946624081567
144,0.275,-0.4875,0.011913074670691776
145,0.2875,-0.4875,0.011996205475237418
146,0.30000000000000004,-0.4875,0.012101323235882134
147,0.3125,-0.4875,0.01221277544610636
148,0.32499999999999996,-0.4875,0.012290952422098307
149,0.3375,-0.4875,0.012385169109344188
150,0.35,-0.4875,0.012500788796488088
151,0.36250000000000004,-0.4875,0.012587444228675288
152,0.375,-0.4875,0.012699904163489172
153,0.38749999999999996,-0.4875,0.012844974486826807
154,0.4,-0.4875,0.012959393447622498
155,0.4125,-0.4875,0.013105275313801922
156,0.42500000000000004,-0.4875,0.01330926754978122
157,0.4375,-0.4875,0.013466530444107594
158,0.44999999999999996,-0.4875,0.013653547117853219
159,0.4625,-0.4875,0.013884877130938344
160,0.475,-0.4875,0.014080382003856598
161,0.48750000000000004,-0.4875,0.01415771503323927
162,0.5,-0.4875,0.01417757812741455
163,-0.5,-0.475,0.0003706068550580826
164,-0.4875,-0.475,0.0003564125908288907
165,-0.475,-0.475,0.0003322480125820299
166,-0.4625,-0.475,0.0002946925929525225
167,-0.45,-0.475,0.0002283117027662062
168,-0.4375,-0.475,0.00017664371131420262
169,-0.425,-0.475,0.00014359913401749093
170,-0.4125,-0.475,9.51650009525239e-05
171,-0.4,-0.475,6.026979759792082e-05
172,-0.3875,-0.475,4.178102144493684e-05
173,-0.375,-0.475,3.1915654234194186e-05
174,-0.3625,-0.475,2.4890214681798845e-05
175,-0.35,-0.475,2.8125158869873965e-05
176,-0.3375,-0.475,4.610010001017971e-05
177,-0.325,-0.475,7.323480580797893e-05
178,-0.3125,-0.475,9.877170902931277e-05
179,-0.3,-0.475,0.0001474541233675686
180,-0.2875,-0.475,0.00021549283951773096
181,-0.275,-0.475,0.00026222698389002713
182,-0.2625,-0.475,0.0003356870459258744
183,-0.25,-0.475,0.00046262260928220253
184,-0.2375,-0.475,0.0005322152064397421
185,-0.22499999999999998,-0.475,0.0006457638897047357
186,-0.21250000000000002,-0.475,0.0008240561960972916
187,-0.2,-0.475,0.0009552999392285892
188,-0.1875,-0.475,0.0010987802912957936
189,-0.175,-0.475,0.00132102775677763
190,-0.16249999999999998,-0.475,0.0015750792161750165
191,-0.15000000000000002,-0.475,0.001742823167319553
192,-0.1375,-0.475,0.0020035019684268565
193,-0.125,-0.475,0.0023778731403375445
194,-0.11249999999999999,-0.475,0.0025512252535930214
195,-0.09999999999999998,-0.475,0.0028608757516933453
196,-0.08750000000000002,-0.475,0.0033181556062204173
197,-0.07500000000000001,-0.475,0.0035348649243715957
198,-0.0625,-0.475,0.003883202090973743
199,-0.04999999999999999,-0.475,0.004377000856646222
200,-0.03749999999999998,-0.475,0.0046723531571965845
201,-0.025000000000000022,-0.475,0.005035649780639275
202,-0.012500000000000011,-0.475,0.005515750381507026
203,0.0,-0.475,0.0059314217597076935
204,0.012499999999999956,-0.475,0.006248815605597227
205,0.025000000000000022,-0.475,0.006710991403459687
206,0.03749999999999998,-0.475,0.007202936594469877
207,0.050000000000000044,-0.475,0.007478708692283115
208,0.0625,-0.475,0.007904115635677007
209,0.07499999999999996,-0.475,0.008403886626868414
210,0.08750000000000002,-0.475,0.00861775216467491
211,0.09999999999999998,-0.475,0.008983062061314953
212,0.11250000000000004,-0.475,0.00947233123458931
213,0.125,-0.475,0.009623040080501515
214,0.13749999999999996,-0.475,0.009897056484831778
215,0.15000000000000002,-0.475,0.010200108865795428
