node,x,y,initial_release_seed,d_update,residual_Kd_minus_f
2628,-0.0625,-0.09999999999999998,True,0.00013016190003673454,2.6469779601696886e-23
2629,-0.04999999999999999,-0.09999999999999998,True,0.00016682890059923055,1.852884572118782e-22
2636,0.03749999999999998,-0.09999999999999998,True,0.0002185120621212809,5.293955920339377e-22
2637,0.050000000000000044,-0.09999999999999998,False,0.00017984510300253845,-3.1763735522036263e-22
2638,0.0625,-0.09999999999999998,False,0.00014521140201237404,0.0
2709,-0.0625,-0.08750000000000002,False,0.00010999844024716428,-2.117582368135751e-22
2717,0.03749999999999998,-0.08750000000000002,False,0.0001362318375434171,1.0587911840678754e-21
2719,0.0625,-0.08750000000000002,True,0.00016623974773896655,-3.1763735522036263e-22
2720,0.07499999999999996,-0.08750000000000002,False,9.232168204716812e-05,-2.117582368135751e-22
2789,-0.07500000000000001,-0.07500000000000001,False,8.664633677056598e-05,1.3234889800848443e-23
2879,0.03749999999999998,-0.0625,True,0.00029832290048026344,-2.117582368135751e-22
3038,0.0,-0.03749999999999998,True,0.0005255669897393303,2.117582368135751e-22
3043,0.0625,-0.03749999999999998,True,0.00016275760740076112,2.117582368135751e-22
3204,0.050000000000000044,-0.012500000000000011,True,0.00031507000021084586,-1.0587911840678754e-22
3206,0.07499999999999996,-0.012500000000000011,False,9.429969211449327e-05,1.5881867761018131e-22
3324,0.03749999999999998,0.0,True,0.0009128501604487374,6.352747104407253e-22
3326,0.0625,0.0,False,0.0001432079897350537,1.4823076576950256e-21
3405,0.03749999999999998,0.012499999999999956,True,0.0009509868933784485,-5.293955920339377e-22
3407,0.0625,0.012499999999999956,False,0.0001946148228841836,-2.117582368135751e-22
3408,0.07499999999999996,0.012499999999999956,False,0.0001239131875136086,5.293955920339377e-22
3486,0.03749999999999998,0.025000000000000022,True,0.0007137823192052764,-7.411538288475128e-22
3648,0.03749999999999998,0.050000000000000044,True,0.0004843505825080016,7.411538288475128e-22
3888,0.0,0.08750000000000002,True,0.00017404327259371716,2.117582368135751e-22
3890,0.025000000000000022,0.08750000000000002,True,0.00026572736173718567,1.0587911840678754e-22
3893,0.0625,0.08750000000000002,False,8.756635950296632e-05,-1.0587911840678754e-22
3967,-0.025000000000000022,0.09999999999999998,True,0.00010543451086740888,2.117582368135751e-22
3972,0.03749999999999998,0.09999999999999998,True,0.00021194313813120702,4.235164736271502e-22
3973,0.050000000000000044,0.09999999999999998,False,0.00011756986176393938,9.529120656610879e-22
4047,-0.03749999999999998,0.11250000000000004,True,0.00010350101982402327,5.293955920339377e-23
4050,0.0,0.11250000000000004,True,0.00018067974366838511,-5.293955920339377e-23
4051,0.012499999999999956,0.11250000000000004,True,0.00020254062421280403,-1.5881867761018131e-22
4052,0.025000000000000022,0.11250000000000004,False,0.00017639566068148801,-1.5881867761018131e-22
4053,0.03749999999999998,0.11250000000000004,False,0.00015248152163049866,0.0
4054,0.050000000000000044,0.11250000000000004,False,0.00011652984326210314,-3.1763735522036263e-22
4131,0.0,0.125,False,0.0001394162874035279,0.0
