element,integration_point,H_F3
121,1,0.0005357464582307928
121,2,0.0005565462297635864
121,3,0.0005567428293481113
121,4,0.0005359454894942917
122,1,0.0005738633456079417
122,2,0.0005946423954505799
122,3,0.0005948224847499609
122,4,0.0005740464433271396
123,1,0.0006189279107644689
123,2,0.0006426834343273281
123,3,0.0006502993281387534
123,4,0.0006169672115306162
124,1,0.0006495129555064262
124,2,0.0006698012557359085
124,3,0.0006699485976370795
124,4,0.0006496645244311008
125,1,0.0006865142682454897
125,2,0.0007063835194647815
125,3,0.0007065110668386095
125,4,0.0006866460846220191
126,1,0.0007226566622343108
126,2,0.0007505720865852908
126,3,0.0007618552964785996
126,4,0.0007227721425759102
127,1,0.0007587405312566902
127,2,0.0007763128276255249
127,3,0.0007764051314319146
127,4,0.0007610720081122019
128,1,0.0007913716515698517
128,2,0.0008092726659129543
128,3,0.0008093449505594296
128,4,0.0007914479359777985
129,1,0.0008236121493768774
129,2,0.0008454198224200892
129,3,0.0008444346422124513
129,4,0.0008236750556723201
130,1,0.0008560591230476624
130,2,0.0008703431115586985
130,3,0.0008703870140487612
130,4,0.0008604073384732361
131,1,0.0008830203374929032
131,2,0.0008982201471406923
131,3,0.0008982466752712949
131,4,0.0008830499616456607
132,1,0.0009100154247023587
132,2,0.0009242100489106796
132,3,0.0009242250214133561
132,4,0.0009100331848897459
133,1,0.0009351190278904478
133,2,0.0009483654384117325
133,3,0.0009483694017650775
133,4,0.0009351253685187256
134,1,0.0009583998129581633
134,2,0.0009706549541375993
134,3,0.0009706481095974296
134,4,0.0009583948799905985
135,1,0.0009797951071728588
135,2,0.0009910321778432902
135,3,0.000991019013142681
135,4,0.0009797835855404574
136,1,0.0009993255900815998
136,2,0.0010096676103809876
136,3,0.0010096485908492046
136,4,0.0009993079205715884
137,1,0.001017161689053798
137,2,0.0010265716566081188
137,3,0.0010265462730922664
137,4,0.0010171372841804186
138,1,0.001033286887667634
138,2,0.0010418214035378488
138,3,0.0010417927807393984
138,4,0.0010332590169202507
139,1,0.0010478513026567304
139,2,0.0010556596924775577
139,3,0.0010556282386427693
139,4,0.0010478203976219873
140,1,0.0010610731541417023
140,2,0.0010681433630002567
140,3,0.0010681091052289744
140,4,0.0010610392216545788
141,1,0.0010729829839628976
141,2,0.001079403650572805
141,3,0.0010793691244526233
141,4,0.0010729486767120469
142,1,0.0010837865877771577
142,2,0.0010897390582724831
142,3,0.0010897038782126684
142,4,0.0010837515289962379
143,1,0.0010937476848141105
