node,x,y,d_F3,d_D3D_A1,d_update
4194,-0.22499999999999998,0.13749999999999996,6.336493894803895e-05,6.336493894803895e-05,0.0
4195,-0.21250000000000002,0.13749999999999996,8.223258144598642e-05,8.223258144598642e-05,0.0
4196,-0.2,0.13749999999999996,0.00012093411001921225,0.00012093411001921225,0.0
4197,-0.1875,0.13749999999999996,0.00020167999260067807,0.00020167999260067807,0.0
4198,-0.175,0.13749999999999996,0.0002801162622145126,0.0002801162622145126,0.0
4199,-0.16249999999999998,0.13749999999999996,0.00046342206589842166,0.00046342206589842166,0.0
4200,-0.15000000000000002,0.13749999999999996,0.000614615820414075,0.000614615820414075,0.0
4201,-0.1375,0.13749999999999996,0.0009819746582948397,0.0009819746582948397,0.0
4202,-0.125,0.13749999999999996,0.001223628874788395,0.001223628874788395,0.0
4203,-0.11249999999999999,0.13749999999999996,0.0017268926528123236,0.0017268926528123236,0.0
4204,-0.09999999999999998,0.13749999999999996,0.0022833121798386783,0.0022833121798386783,0.0
4205,-0.08750000000000002,0.13749999999999996,0.003062702588768364,0.003062702588768364,0.0
4206,-0.07500000000000001,0.13749999999999996,0.003962983422805211,0.003962983422805211,0.0
4207,-0.0625,0.13749999999999996,0.005080858183121119,0.005080858183121119,0.0
4208,-0.04999999999999999,0.13749999999999996,0.006349670062039171,0.006349670062039171,0.0
4209,-0.03749999999999998,0.13749999999999996,0.008455359140149004,0.008455359140149004,0.0
4210,-0.025000000000000022,0.13749999999999996,0.009162195554934145,0.009162195554934145,0.0
4211,-0.012500000000000011,0.13749999999999996,0.010764074395237326,0.010764074395237326,0.0
4212,0.0,0.13749999999999996,0.011730528942456617,0.01184361766546627,0.00011308872300965292
4213,0.012499999999999956,0.13749999999999996,0.012824313792440614,0.012928088376115508,0.00010377458367489406
4214,0.025000000000000022,0.13749999999999996,0.013810799379506607,0.013810799379506607,0.0
4215,0.03749999999999998,0.13749999999999996,0.014528909251345323,0.014528909251345323,0.0
4216,0.050000000000000044,0.13749999999999996,0.014870183620078631,0.014870183620078631,0.0
4217,0.0625,0.13749999999999996,0.015167339112536706,0.015167339112536706,0.0
4218,0.07499999999999996,0.13749999999999996,0.015061110814430147,0.015061110814430147,0.0
4219,0.08750000000000002,0.13749999999999996,0.014906556581358693,0.014906556581358693,0.0
4220,0.09999999999999998,0.13749999999999996,0.014661142073559291,0.014661142073559291,0.0
4221,0.11250000000000004,0.13749999999999996,0.014461132209474942,0.014461132209474942,0.0
4222,0.125,0.13749999999999996,0.014035128736172554,0.014035128736172554,0.0
4223,0.13749999999999996,0.13749999999999996,0.013688314670263081,0.013688314670263081,0.0
4224,0.15000000000000002,0.13749999999999996,0.013349810383936405,0.013349810383936405,0.0
4225,0.16249999999999998,0.13749999999999996,0.013030038343125033,0.013030038343125033,0.0
4226,0.17500000000000004,0.13749999999999996,0.012738850877518127,0.012738850877518127,0.0
4227,0.1875,0.13749999999999996,0.012468605603991845,0.012468605603991845,0.0
4228,0.19999999999999996,0.13749999999999996,0.01222045153237771,0.01222045153237771,0.0
4229,0.21250000000000002,0.13749999999999996,0.012014051102691556,0.012014051102691556,0.0
4230,0.22499999999999998,0.13749999999999996,0.0118257810107511,0.0118257810107511,0.0
4231,0.23750000000000004,0.13749999999999996,0.011668440468846278,0.011668440468846278,0.0
4232,0.25,0.13749999999999996,0.011634463361164188,0.011634463361164188,0.0
4233,0.26249999999999996,0.13749999999999996,0.011393789581950663,0.011393789581950663,0.0
4234,0.275,0.13749999999999996,0.011269923441283549,0.011269923441283549,0.0
4235,0.2875,0.13749999999999996,0.011167398517332453,0.011167398517332453,0.0
4236,0.30000000000000004,0.13749999999999996,0.01108455463739814,0.01108455463739814,0.0
4237,0.3125,0.13749999999999996,0.010984439965875687,0.010984439965875687,0.0
4238,0.32499999999999996,0.13749999999999996,0.01090783808132267,0.01090783808132267,0.0
4239,0.3375,0.13749999999999996,0.010821380922549676,0.010821380922549676,0.0
