node,x,y,active_F3,initial_active_A1,initial_release_seed
266,-0.22499999999999998,-0.4625,True,True,False
267,-0.21250000000000002,-0.4625,True,True,False
268,-0.2,-0.4625,True,True,False
269,-0.1875,-0.4625,True,True,False
270,-0.175,-0.4625,True,True,False
271,-0.16249999999999998,-0.4625,True,True,False
272,-0.15000000000000002,-0.4625,True,True,False
273,-0.1375,-0.4625,True,True,False
274,-0.125,-0.4625,True,True,False
275,-0.11249999999999999,-0.4625,True,True,False
276,-0.09999999999999998,-0.4625,True,True,False
277,-0.08750000000000002,-0.4625,True,True,False
278,-0.07500000000000001,-0.4625,True,True,False
279,-0.0625,-0.4625,True,True,False
280,-0.04999999999999999,-0.4625,True,True,False
281,-0.03749999999999998,-0.4625,True,True,False
282,-0.025000000000000022,-0.4625,True,True,False
283,-0.012500000000000011,-0.4625,True,True,False
284,0.0,-0.4625,True,True,False
285,0.012499999999999956,-0.4625,True,True,False
286,0.025000000000000022,-0.4625,True,True,False
287,0.03749999999999998,-0.4625,True,True,False
288,0.050000000000000044,-0.4625,True,True,False
289,0.0625,-0.4625,True,True,False
290,0.07499999999999996,-0.4625,True,True,False
291,0.08750000000000002,-0.4625,True,True,False
292,0.09999999999999998,-0.4625,True,True,False
293,0.11250000000000004,-0.4625,True,True,False
294,0.125,-0.4625,True,True,False
295,0.13749999999999996,-0.4625,True,True,False
296,0.15000000000000002,-0.4625,True,True,False
297,0.16249999999999998,-0.4625,True,True,False
298,0.17500000000000004,-0.4625,True,True,False
299,0.1875,-0.4625,True,True,False
300,0.19999999999999996,-0.4625,True,True,False
301,0.21250000000000002,-0.4625,True,True,False
302,0.22499999999999998,-0.4625,True,True,False
303,0.23750000000000004,-0.4625,True,True,False
304,0.25,-0.4625,True,True,False
305,0.26249999999999996,-0.4625,True,True,False
306,0.275,-0.4625,True,True,False
307,0.2875,-0.4625,True,True,False
308,0.30000000000000004,-0.4625,True,True,False
309,0.3125,-0.4625,True,True,False
310,0.32499999999999996,-0.4625,True,True,False
311,0.3375,-0.4625,True,True,False
312,0.35,-0.4625,True,True,False
313,0.36250000000000004,-0.4625,True,True,False
314,0.375,-0.4625,True,True,False
315,0.38749999999999996,-0.4625,True,True,False
316,0.4,-0.4625,True,True,False
317,0.4125,-0.4625,True,True,False
318,0.42500000000000004,-0.4625,True,True,False
319,0.4375,-0.4625,True,True,False
320,0.44999999999999996,-0.4625,True,True,False
321,0.4625,-0.4625,True,True,False
322,0.475,-0.4625,True,True,False
323,0.48750000000000004,-0.4625,True,True,False
324,0.5,-0.4625,True,True,False
325,-0.5,-0.45,True,True,False
326,-0.4875,-0.45,True,True,False
327,-0.475,-0.45,True,True,False
328,-0.4625,-0.45,True,True,False
329,-0.45,-0.45,True,True,False
330,-0.4375,-0.45,False,False,False
331,-0.425,-0.45,True,True,False
332,-0.4125,-0.45,True,True,False
333,-0.4,-0.45,True,True,False
334,-0.3875,-0.45,True,True,False
335,-0.375,-0.45,True,True,False
336,-0.3625,-0.45,True,True,False
337,-0.35,-0.45,True,True,False
338,-0.3375,-0.45,True,True,False
339,-0.325,-0.45,True,True,False
340,-0.3125,-0.45,True,True,False
341,-0.3,-0.45,True,True,False
342,-0.2875,-0.45,True,True,False
343,-0.275,-0.45,True,True,False
344,-0.2625,-0.45,True,True,False
345,-0.25,-0.45,True,True,False
346,-0.2375,-0.45,True,True,False
347,-0.22499999999999998,-0.45,True,True,False
348,-0.21250000000000002,-0.45,True,True,False
349,-0.2,-0.45,True,True,False
350,-0.1875,-0.45,True,True,False
351,-0.175,-0.45,True,True,False
352,-0.16249999999999998,-0.45,True,True,False
353,-0.15000000000000002,-0.45,True,True,False
354,-0.1375,-0.45,True,True,False
355,-0.125,-0.45,True,True,False
356,-0.11249999999999999,-0.45,True,True,False
357,-0.09999999999999998,-0.45,True,True,False
358,-0.08750000000000002,-0.45,True,True,False
359,-0.07500000000000001,-0.45,True,True,False
360,-0.0625,-0.45,True,True,False
361,-0.04999999999999999,-0.45,True,True,False
362,-0.03749999999999998,-0.45,True,True,False
363,-0.025000000000000022,-0.45,True,True,False
364,-0.012500000000000011,-0.45,True,True,False
365,0.0,-0.45,True,True,False
366,0.012499999999999956,-0.45,True,True,False
367,0.025000000000000022,-0.45,True,True,False
368,0.03749999999999998,-0.45,True,True,False
369,0.050000000000000044,-0.45,True,True,False
370,0.0625,-0.45,True,True,False
371,0.07499999999999996,-0.45,True,True,False
372,0.08750000000000002,-0.45,True,True,False
373,0.09999999999999998,-0.45,True,True,False
374,0.11250000000000004,-0.45,True,True,False
375,0.125,-0.45,True,True,False
376,0.13749999999999996,-0.45,True,True,False
377,0.15000000000000002,-0.45,True,True,False
378,0.16249999999999998,-0.45,True,True,False
379,0.17500000000000004,-0.45,True,True,False
380,0.1875,-0.45,True,True,False
381,0.19999999999999996,-0.45,True,True,False
382,0.21250000000000002,-0.45,True,True,False
383,0.22499999999999998,-0.45,True,True,False
384,0.23750000000000004,-0.45,True,True,False
385,0.25,-0.45,True,True,False
386,0.26249999999999996,-0.45,True,True,False
387,0.275,-0.45,True,True,False
388,0.2875,-0.45,True,True,False
389,0.30000000000000004,-0.45,True,True,False
390,0.3125,-0.45,True,True,False
391,0.32499999999999996,-0.45,True,True,False
392,0.3375,-0.45,True,True,False
393,0.35,-0.45,True,True,False
394,0.36250000000000004,-0.45,True,True,False
395,0.375,-0.45,True,True,False
396,0.38749999999999996,-0.45,True,True,False
397,0.4,-0.45,True,True,False
398,0.4125,-0.45,True,True,False
399,0.42500000000000004,-0.45,True,True,False
400,0.4375,-0.45,True,True,False
401,0.44999999999999996,-0.45,True,True,False
402,0.4625,-0.45,True,True,False
403,0.475,-0.45,True,True,False
404,0.48750000000000004,-0.45,True,True,False
405,0.5,-0.45,True,True,False
406,-0.5,-0.4375,True,True,False
407,-0.4875,-0.4375,True,True,False
408,-0.475,-0.4375,True,True,False
409,-0.4625,-0.4375,True,True,False
410,-0.45,-0.4375,True,True,False
411,-0.4375,-0.4375,False,False,False
412,-0.425,-0.4375,False,False,False
413,-0.4125,-0.4375,True,True,False
414,-0.4,-0.4375,True,True,False
415,-0.3875,-0.4375,True,True,False
416,-0.375,-0.4375,True,True,False
417,-0.3625,-0.4375,True,True,False
418,-0.35,-0.4375,True,True,False
419,-0.3375,-0.4375,True,True,False
420,-0.325,-0.4375,True,True,False
421,-0.3125,-0.4375,True,True,False
422,-0.3,-0.4375,True,True,False
423,-0.2875,-0.4375,True,True,False
424,-0.275,-0.4375,True,True,False
425,-0.2625,-0.4375,True,True,False
426,-0.25,-0.4375,True,True,False
427,-0.2375,-0.4375,True,True,False
428,-0.22499999999999998,-0.4375,True,True,False
429,-0.21250000000000002,-0.4375,True,True,False
430,-0.2,-0.4375,True,True,False
431,-0.1875,-0.4375,True,True,False
432,-0.175,-0.4375,True,True,False
433,-0.16249999999999998,-0.4375,True,True,False
434,-0.15000000000000002,-0.4375,True,True,False
435,-0.1375,-0.4375,True,True,False
436,-0.125,-0.4375,True,True,False
437,-0.11249999999999999,-0.4375,True,True,False
438,-0.09999999999999998,-0.4375,True,True,False
439,-0.08750000000000002,-0.4375,True,True,False
440,-0.07500000000000001,-0.4375,True,True,False
441,-0.0625,-0.4375,True,True,False
442,-0.04999999999999999,-0.4375,True,True,False
443,-0.03749999999999998,-0.4375,True,True,False
444,-0.025000000000000022,-0.4375,True,True,False
445,-0.012500000000000011,-0.4375,True,True,False
446,0.0,-0.4375,True,True,False
447,0.012499999999999956,-0.4375,True,True,False
448,0.025000000000000022,-0.4375,True,True,False
449,0.03749999999999998,-0.4375,True,True,False
450,0.050000000000000044,-0.4375,True,True,False
451,0.0625,-0.4375,True,True,False
452,0.07499999999999996,-0.4375,True,True,False
453,0.08750000000000002,-0.4375,True,True,False
454,0.09999999999999998,-0.4375,True,True,False
455,0.11250000000000004,-0.4375,True,True,False
456,0.125,-0.4375,True,True,False
457,0.13749999999999996,-0.4375,True,True,False
458,0.15000000000000002,-0.4375,True,True,False
459,0.16249999999999998,-0.4375,True,True,False
460,0.17500000000000004,-0.4375,True,True,False
461,0.1875,-0.4375,True,True,False
462,0.19999999999999996,-0.4375,True,True,False
463,0.21250000000000002,-0.4375,True,True,False
464,0.22499999999999998,-0.4375,True,True,False
465,0.23750000000000004,-0.4375,True,True,False
466,0.25,-0.4375,True,True,False
467,0.26249999999999996,-0.4375,True,True,False
468,0.275,-0.4375,True,True,False
469,0.2875,-0.4375,True,True,False
470,0.30000000000000004,-0.4375,True,True,False
