step,time,control_rf1,forced_rf1,difference
UNLOAD_RELOAD,0.41999998688697815,0.0007714517696513212,0.0007633367132237654,-8.115056427555824e-06
UNLOAD_RELOAD,0.42500001192092896,0.0007597630454237062,0.0007517709318562993,-7.992113567406958e-06
UNLOAD_RELOAD,0.4399999976158142,0.0007246970817504916,0.0007170737585511233,-7.623323199368315e-06
UNLOAD_RELOAD,0.4449999928474426,0.0007130084262832601,0.0007055080341160647,-7.500392167195439e-06
UNLOAD_RELOAD,0.46000000834465027,0.0006779423902116832,0.0006708108306163196,-7.131559595363601e-06
UNLOAD_RELOAD,0.4650000035762787,0.0006662537227839493,0.0006592451190954307,-7.008603688518633e-06
UNLOAD_RELOAD,0.47999998927116394,0.0006311877205007477,0.0006245480084069644,-6.6397120937832605e-06
UNLOAD_RELOAD,0.48500001430511475,0.0006194990007069392,0.0006129822359071113,-6.516764799827882e-06
UNLOAD_RELOAD,0.5,0.0005844330503350648,0.0006086450464408699,2.4211996105805156e-05
UNLOAD_RELOAD,0.5049999952316284,0.0006136546952575372,0.0006071993166187895,-6.4553786387477885e-06
UNLOAD_RELOAD,0.5199999809265137,0.0007013196300249547,0.0006939420247817907,-7.377605243163998e-06
UNLOAD_RELOAD,0.5249999761581421,0.0007305411816075579,0.0007228562608361244,-7.684920771433481e-06
UNLOAD_RELOAD,0.5400000214576721,0.0008182061847037403,0.0008095990026467183,-8.607182057022013e-06
UNLOAD_RELOAD,0.5450000166893005,0.0008474278199628316,0.0008385131350223674,-8.914684940464213e-06
UNLOAD_RELOAD,0.5600000023841858,0.0009350927257401054,0.0009252557947547757,-9.836930985329673e-06
UNLOAD_RELOAD,0.5649999976158142,0.0009643143635003071,0.0009541700146655785,-1.014434883472859e-05
UNLOAD_RELOAD,0.5799999833106995,0.0010519792767809122,0.0010409126655304135,-1.1066611250498681e-05
UNLOAD_RELOAD,0.5849999785423279,0.0010812008295003805,0.0010698268824853585,-1.1373947015022026e-05
UNLOAD_RELOAD,0.6000000238418579,0.0011688658360071713,0.001156569588143502,-1.2296247863669224e-05
UNLOAD_RELOAD,0.6050000190734863,0.0011980874628534366,0.0011854837084683822,-1.2603754385054344e-05
UNLOAD_RELOAD,0.6200000047683716,0.0012857523433922324,0.0012722263109026244,-1.3526032489608042e-05
UNLOAD_RELOAD,0.625,0.001314973979788192,0.0013011405117140384,-1.3833468074153643e-05
UNLOAD_RELOAD,0.6399999856948853,0.001402638888976071,0.0013878831373403955,-1.4755751635675551e-05
UNLOAD_RELOAD,0.6449999809265137,0.0014318604250973105,0.0014167973458825145,-1.506307921479602e-05
UNLOAD_RELOAD,0.6600000262260437,0.001519525381809217,0.001503539969003932,-1.5985412805285008e-05
UNLOAD_RELOAD,0.6650000214576721,0.0015487470036532613,0.0015324540618166793,-1.629294183658203e-05
UNLOAD_RELOAD,0.6800000071525574,0.0016364118691853946,0.001619196654701227,-1.7215214484167518e-05
UNLOAD_RELOAD,0.6850000023841858,0.0016656334928484284,0.0016481108523294097,-1.752264051901875e-05
UNLOAD_RELOAD,0.699999988079071,0.00175329836383753,0.001734853381094581,-1.8444982742948923e-05
UNLOAD_RELOAD,0.7049999833106995,0.0017622581223264528,0.001763767557349638,1.5094350231852419e-06
UNLOAD_RELOAD,0.7200000286102295,0.0017891375046019675,0.0017620991163108766,-2.7038388291090966e-05
UNLOAD_RELOAD,0.7250000238418579,0.0017764758363227884,0.001761542971507879,-1.4932864814909408e-05
UNLOAD_RELOAD,0.7400000095367432,0.001738490831485251,0.001720443193335086,-1.8047638150164858e-05
UNLOAD_RELOAD,0.7450000047683716,0.0017020267496263841,0.0017067432672774885,4.716517651104368e-06
UNLOAD_RELOAD,0.7599999904632568,0.0015926345040497836,0.0015783644134899077,-1.4270090559875825e-05
UNLOAD_RELOAD,0.7649999856948853,0.0015465218880308385,0.0015355714622273808,-1.095042580345762e-05
UNLOAD_RELOAD,0.7799999713897705,0.001408184039974003,0.0014000721394082614,-8.111900565741653e-06
UNLOAD_RELOAD,0.7850000262260437,0.0013561187744773882,0.001354905160042108,-1.2136144352801245e-06
UNLOAD_RELOAD,0.800000011920929,0.0011999248399661155,0.0011966171703079453,-3.307669658170198e-06
UNLOAD_RELOAD,0.8050000071525574,0.0011517524756072817,0.0011438545070632244,-7.897968544057221e-06
UNLOAD_RELOAD,0.8199999928474426,0.00100723538253078,0.001006121863554199,-1.1135189765809628e-06
UNLOAD_RELOAD,0.824999988079071,0.0009630388913137722,0.000960210982384524,-2.827908929248224e-06
UNLOAD_RELOAD,0.8399999737739563,0.0008304494176627486,0.0008314469555415285,9.975378787799045e-07
UNLOAD_RELOAD,0.8450000286102295,0.0007935621779439821,0.0007885251015977701,-5.037076346211958e-06
UNLOAD_RELOAD,0.8600000143051147,0.000682901777963707,0.0006842038347940615,1.3020568303545588e-06
UNLOAD_RELOAD,0.8650000095367432,0.0006517771818153051,0.0006494300791928254,-2.3471026224797242e-06
UNLOAD_RELOAD,0.8799999952316284,0.0005584033933700994,0.0005602445087333763,1.8411153632769128e-06
