node,x,y,d
61,0.25,-0.5,0.011654636686950551
62,0.26249999999999996,-0.5,0.011780148854860527
63,0.275,-0.5,0.011892727946642562
64,0.2875,-0.5,0.011997535983399813
65,0.30000000000000004,-0.5,0.012097763476913999
66,0.3125,-0.5,0.012196428306094903
67,0.32499999999999996,-0.5,0.012297318076277909
68,0.3375,-0.5,0.012385889323638544
69,0.35,-0.5,0.012485256588679605
70,0.36250000000000004,-0.5,0.012612702346740333
71,0.375,-0.5,0.01270343447221319
72,0.38749999999999996,-0.5,0.012825578344308534
73,0.4,-0.5,0.012960124117624507
74,0.4125,-0.5,0.01311246830659748
75,0.42500000000000004,-0.5,0.013282743627490944
76,0.4375,-0.5,0.013458438400212335
77,0.44999999999999996,-0.5,0.013660368459532776
78,0.4625,-0.5,0.01387758290469011
79,0.475,-0.5,0.014053835680310446
80,0.48750000000000004,-0.5,0.014145228127075473
81,0.5,-0.5,0.014176351325428695
82,-0.5,-0.4875,0.0003693266500612779
83,-0.4875,-0.4875,0.00035261408881754854
84,-0.475,-0.4875,0.00032570289815780034
85,-0.4625,-0.4875,0.0002841910317917291
86,-0.45,-0.4875,0.00022970352961797626
87,-0.4375,-0.4875,0.00017728202411725156
88,-0.425,-0.4875,0.00013461457790779646
89,-0.4125,-0.4875,9.378910255974587e-05
90,-0.4,-0.4875,6.120033354185063e-05
91,-0.3875,-0.4875,4.2004088445708276e-05
92,-0.375,-0.4875,3.150301512857455e-05
93,-0.3625,-0.4875,2.5149851095623715e-05
94,-0.35,-0.4875,2.947592133651235e-05
95,-0.3375,-0.4875,4.569423808375404e-05
96,-0.325,-0.4875,7.298711170083482e-05
97,-0.3125,-0.4875,0.00010009556333776229
98,-0.3,-0.4875,0.00014599297689488547
99,-0.2875,-0.4875,0.00021214068275014837
100,-0.275,-0.4875,0.00026358020362857566
101,-0.2625,-0.4875,0.0003424107995503592
102,-0.25,-0.4875,0.0004521402963518418
103,-0.2375,-0.4875,0.000536275567345149
104,-0.22499999999999998,-0.4875,0.0006503075369197301
105,-0.21250000000000002,-0.4875,0.0008126453691716612
106,-0.2,-0.4875,0.0009429408009238819
107,-0.1875,-0.4875,0.0011031919572023876
108,-0.175,-0.4875,0.0013149768436878637
109,-0.16249999999999998,-0.4875,0.0015462825022044
110,-0.15000000000000002,-0.4875,0.0017462886124010421
111,-0.1375,-0.4875,0.002012150159509423
112,-0.125,-0.4875,0.002327146478552984
113,-0.11249999999999999,-0.4875,0.0025781656879901972
114,-0.09999999999999998,-0.4875,0.002884439054206258
115,-0.08750000000000002,-0.4875,0.003269123896724414
116,-0.07500000000000001,-0.4875,0.003555428487444293
117,-0.0625,-0.4875,0.003910834877626372
118,-0.04999999999999999,-0.4875,0.004368730521025641
119,-0.03749999999999998,-0.4875,0.00466134737915032
120,-0.025000000000000022,-0.4875,0.005031621291247002
121,-0.012500000000000011,-0.4875,0.005541101940046776
122,0.0,-0.4875,0.005881547069422739
123,0.012499999999999956,-0.4875,0.006241494624183704
124,0.025000000000000022,-0.4875,0.006708441718360719
125,0.03749999999999998,-0.4875,0.007141293582901626
126,0.050000000000000044,-0.4875,0.007452502490479826
127,0.0625,-0.4875,0.007868621627685509
128,0.07499999999999996,-0.4875,0.008321589121760866
129,0.08750000000000002,-0.4875,0.008592491410882419
130,0.09999999999999998,-0.4875,0.008952079388732156
131,0.11250000000000004,-0.4875,0.009356665732662178
132,0.125,-0.4875,0.009596990100390113
133,0.13749999999999996,-0.4875,0.009868740513490654
134,0.15000000000000002,-0.4875,0.01021387973107037
135,0.16249999999999998,-0.4875,0.010399979174773475
136,0.17500000000000004,-0.4875,0.010624658639796154
137,0.1875,-0.4875,0.010892513759912636
138,0.19999999999999996,-0.4875,0.011046401675729227
139,0.21250000000000002,-0.4875,0.011210863591568697
140,0.22499999999999998,-0.4875,0.01140301477194837
141,0.23750000000000004,-0.4875,0.011536347414128944
142,0.25,-0.4875,0.011655703838143374
143,0.26249999999999996,-0.4875,0.011786946624081569
144,0.275,-0.4875,0.011913074670691776
145,0.2875,-0.4875,0.011996205475237415
146,0.30000000000000004,-0.4875,0.012101323235882134
147,0.3125,-0.4875,0.012212775446106362
148,0.32499999999999996,-0.4875,0.012290952422098309
149,0.3375,-0.4875,0.012385169109344186
150,0.35,-0.4875,0.012500788796488088
151,0.36250000000000004,-0.4875,0.01258744422867529
152,0.375,-0.4875,0.012699904163489165
153,0.38749999999999996,-0.4875,0.012844974486826807
154,0.4,-0.4875,0.012959393447622498
155,0.4125,-0.4875,0.01310527531380192
156,0.42500000000000004,-0.4875,0.01330926754978122
157,0.4375,-0.4875,0.013466530444107592
158,0.44999999999999996,-0.4875,0.01365354711785322
159,0.4625,-0.4875,0.01388487713093834
160,0.475,-0.4875,0.014080382003856598
161,0.48750000000000004,-0.4875,0.01415771503323927
162,0.5,-0.4875,0.014177578127414556
163,-0.5,-0.475,0.00037060685505808266
164,-0.4875,-0.475,0.0003564125908288907
165,-0.475,-0.475,0.00033224801258203
166,-0.4625,-0.475,0.0002946925929525226
167,-0.45,-0.475,0.0002283117027662062
168,-0.4375,-0.475,0.00017664371131420264
169,-0.425,-0.475,0.00014359913401749093
170,-0.4125,-0.475,9.516500095252391e-05
171,-0.4,-0.475,6.026979759792082e-05
172,-0.3875,-0.475,4.1781021444936835e-05
173,-0.375,-0.475,3.1915654234194186e-05
174,-0.3625,-0.475,2.489021468179884e-05
175,-0.35,-0.475,2.8125158869873965e-05
176,-0.3375,-0.475,4.610010001017972e-05
177,-0.325,-0.475,7.323480580797892e-05
178,-0.3125,-0.475,9.877170902931278e-05
179,-0.3,-0.475,0.0001474541233675686
180,-0.2875,-0.475,0.0002154928395177309
181,-0.275,-0.475,0.0002622269838900271
182,-0.2625,-0.475,0.0003356870459258745
183,-0.25,-0.475,0.0004626226092822026
184,-0.2375,-0.475,0.0005322152064397421
185,-0.22499999999999998,-0.475,0.0006457638897047357
186,-0.21250000000000002,-0.475,0.0008240561960972914
187,-0.2,-0.475,0.0009552999392285891
188,-0.1875,-0.475,0.0010987802912957936
189,-0.175,-0.475,0.00132102775677763
190,-0.16249999999999998,-0.475,0.0015750792161750172
191,-0.15000000000000002,-0.475,0.001742823167319553
192,-0.1375,-0.475,0.002003501968426856
193,-0.125,-0.475,0.002377873140337545
194,-0.11249999999999999,-0.475,0.002551225253593021
195,-0.09999999999999998,-0.475,0.0028608757516933453
196,-0.08750000000000002,-0.475,0.0033181556062204173
197,-0.07500000000000001,-0.475,0.0035348649243715966
198,-0.0625,-0.475,0.003883202090973742
199,-0.04999999999999999,-0.475,0.0043770008566462225
200,-0.03749999999999998,-0.475,0.004672353157196583
201,-0.025000000000000022,-0.475,0.005035649780639275
202,-0.012500000000000011,-0.475,0.0055157503815070254
203,0.0,-0.475,0.005931421759707695
204,0.012499999999999956,-0.475,0.006248815605597226
205,0.025000000000000022,-0.475,0.006710991403459687
206,0.03749999999999998,-0.475,0.007202936594469878
207,0.050000000000000044,-0.475,0.007478708692283115
208,0.0625,-0.475,0.007904115635677006
209,0.07499999999999996,-0.475,0.008403886626868414
210,0.08750000000000002,-0.475,0.008617752164674907
211,0.09999999999999998,-0.475,0.008983062061314953
212,0.11250000000000004,-0.475,0.00947233123458931
213,0.125,-0.475,0.00962304008050151
214,0.13749999999999996,-0.475,0.009897056484831775
215,0.15000000000000002,-0.475,0.010200108865795428
216,0.16249999999999998,-0.475,0.0104314829959592
217,0.17500000000000004,-0.475,0.010644707181528656
218,0.1875,-0.475,0.01089327688193515
219,0.19999999999999996,-0.475,0.011082916711344603
220,0.21250000000000002,-0.475,0.011237195959982823
221,0.22499999999999998,-0.475,0.011420557746906358
222,0.23750000000000004,-0.475,0.011564918081255662
223,0.25,-0.475,0.011673477887145924
224,0.26249999999999996,-0.475,0.011809053968056645
225,0.275,-0.475,0.011928958731092362
226,0.2875,-0.475,0.011999712932670407
227,0.30000000000000004,-0.475,0.012107885194174314
