node,x,y,d_lower_bound
44,0.03749999999999998,-0.5,0.0069672179116127084
45,0.050000000000000044,-0.5,0.00744694788783081
46,0.0625,-0.5,0.0078109121044224955
47,0.07499999999999996,-0.5,0.00815232529001359
48,0.08750000000000002,-0.5,0.008585131358349221
49,0.09999999999999998,-0.5,0.008872916466962283
50,0.11250000000000004,-0.5,0.009204306012753207
51,0.125,-0.5,0.009608482824157324
52,0.13749999999999996,-0.5,0.009813642496245237
53,0.15000000000000002,-0.5,0.010098465985473724
54,0.16249999999999998,-0.5,0.010449048215842282
55,0.17500000000000004,-0.5,0.010586855097237353
56,0.1875,-0.5,0.010817534765381099
57,0.19999999999999996,-0.5,0.01093582617996499
58,0.21250000000000002,-0.5,0.011185901150315881
59,0.22499999999999998,-0.5,0.011359381464645046
60,0.23750000000000004,-0.5,0.011467953335878899
61,0.25,-0.5,0.011641593106650343
62,0.26249999999999996,-0.5,0.01176304074074554
63,0.275,-0.5,0.011858216063321523
64,0.2875,-0.5,0.011993775191788628
65,0.30000000000000004,-0.5,0.012080066646862862
66,0.3125,-0.5,0.012166446655128331
67,0.32499999999999996,-0.5,0.012297318076277909
68,0.3375,-0.5,0.012368672818457365
69,0.35,-0.5,0.01245912940384725
70,0.36250000000000004,-0.5,0.012612702346740333
71,0.375,-0.5,0.012686000751439773
72,0.38749999999999996,-0.5,0.012803783564582095
73,0.4,-0.5,0.012869106182987217
74,0.4125,-0.5,0.013098879794355258
75,0.42500000000000004,-0.5,0.013268721448169145
76,0.4375,-0.5,0.01338610727047593
77,0.44999999999999996,-0.5,0.013646570251555495
78,0.4625,-0.5,0.0138310971335053
79,0.475,-0.5,0.013986822471510379
80,0.48750000000000004,-0.5,0.014026933799149991
81,0.5,-0.5,0.014093512957812915
82,-0.5,-0.4875,0.0003323850605070059
83,-0.4875,-0.4875,0.0003189621188236828
84,-0.475,-0.4875,0.00031979312832869323
85,-0.4625,-0.4875,0.0002841910317917291
86,-0.45,-0.4875,0.00020803561243074874
87,-0.4375,-0.4875,0.0001666343105137428
88,-0.425,-0.4875,0.00013272498877912788
89,-0.4125,-0.4875,8.558826301034348e-05
90,-0.4,-0.4875,5.014382265586622e-05
91,-0.3875,-0.4875,4.1185422720723625e-05
92,-0.375,-0.4875,3.150301512857455e-05
93,-0.3625,-0.4875,2.188024451239178e-05
94,-0.35,-0.4875,2.3385325638336866e-05
95,-0.3375,-0.4875,4.5154012873906146e-05
96,-0.325,-0.4875,7.298711170083482e-05
97,-0.3125,-0.4875,8.582317909055843e-05
98,-0.3,-0.4875,0.00013295812454692008
99,-0.2875,-0.4875,0.00021214068275014837
100,-0.275,-0.4875,0.00024851650595570014
101,-0.2625,-0.4875,0.0003101527336622337
102,-0.25,-0.4875,0.0004521402963518418
103,-0.2375,-0.4875,0.000511481061421946
104,-0.22499999999999998,-0.4875,0.0006047726713786936
105,-0.21250000000000002,-0.4875,0.0008126453691716612
106,-0.2,-0.4875,0.0009374062649060704
107,-0.1875,-0.4875,0.0010451611611736354
108,-0.175,-0.4875,0.0013149768436878637
109,-0.16249999999999998,-0.4875,0.0015462825022044
110,-0.15000000000000002,-0.4875,0.0016745205176135858
111,-0.1375,-0.4875,0.001964809504718259
112,-0.125,-0.4875,0.002327146478552984
113,-0.11249999999999999,-0.4875,0.0025231607718885
114,-0.09999999999999998,-0.4875,0.0027965684696512473
115,-0.08750000000000002,-0.4875,0.003269123896724414
116,-0.07500000000000001,-0.4875,0.00353877708336216
117,-0.0625,-0.4875,0.0037895417562071277
118,-0.04999999999999999,-0.4875,0.004368730521025641
119,-0.03749999999999998,-0.4875,0.004606851997801656
120,-0.025000000000000022,-0.4875,0.004891291761466244
121,-0.012500000000000011,-0.4875,0.005541101940046776
122,0.0,-0.4875,0.005881547069422739
123,0.012499999999999956,-0.4875,0.006074758408054136
124,0.025000000000000022,-0.4875,0.006708441718360719
125,0.03749999999999998,-0.4875,0.007141293582901626
126,0.050000000000000044,-0.4875,0.007276807109209844
127,0.0625,-0.4875,0.007824404250979964
128,0.07499999999999996,-0.4875,0.008321589121760866
129,0.08750000000000002,-0.4875,0.008437239103066901
130,0.09999999999999998,-0.4875,0.008849017872686566
131,0.11250000000000004,-0.4875,0.009356665732662178
132,0.125,-0.4875,0.009485398951743391
133,0.13749999999999996,-0.4875,0.009757747870052551
134,0.15000000000000002,-0.4875,0.01021387973107037
135,0.16249999999999998,-0.4875,0.010355729451784352
136,0.17500000000000004,-0.4875,0.010519035479609353
137,0.1875,-0.4875,0.010892513759912636
138,0.19999999999999996,-0.4875,0.011032992353009762
139,0.21250000000000002,-0.4875,0.011125191840208869
140,0.22499999999999998,-0.4875,0.01140301477194837
141,0.23750000000000004,-0.4875,0.011536347414128944
142,0.25,-0.4875,0.011592373885908225
143,0.26249999999999996,-0.4875,0.011783803157749632
144,0.275,-0.4875,0.011913074670691776
145,0.2875,-0.4875,0.011951615761605597
146,0.30000000000000004,-0.4875,0.01208336353852901
147,0.3125,-0.4875,0.012212775446106362
148,0.32499999999999996,-0.4875,0.012253775403450132
149,0.3375,-0.4875,0.012354506090146945
150,0.35,-0.4875,0.012500788796488088
151,0.36250000000000004,-0.4875,0.012558840565441086
152,0.375,-0.4875,0.012648798318781773
153,0.38749999999999996,-0.4875,0.012844974486826807
154,0.4,-0.4875,0.01292001619268728
155,0.4125,-0.4875,0.013028734666535497
156,0.42500000000000004,-0.4875,0.01330926754978122
157,0.4375,-0.4875,0.013464268134851031
158,0.44999999999999996,-0.4875,0.013557621414387868
159,0.4625,-0.4875,0.013854881937125136
160,0.475,-0.4875,0.014080382003856598
161,0.48750000000000004,-0.4875,0.014109811780458729
162,0.5,-0.4875,0.014095696401878256
163,-0.5,-0.475,0.0003323922417386824
164,-0.4875,-0.475,0.00033235821878283613
165,-0.475,-0.475,0.0003317649805963746
166,-0.4625,-0.475,0.0002946925929525226
